DISC-3901	BLD-DISC-39-01	Other	Mad Professor "1" - Reverb/Distortion
DISC-3902	BLD-DISC-39-01	Overdrive	Mad Professor Amber Overdrive
DISC-3903	BLD-DISC-39-01	Overdrive	Mad Professor Big Tweedy Drive
DISC-3904	BLD-DISC-39-01	Overdrive	Mad Professor BlueBerry Bass Overdrive
DISC-3905	BLD-DISC-39-01	Overdrive	Mad Professor Bluebird Overdrive/Delay
DISC-3906	BLD-DISC-39-01	Delay	Mad Professor Deep Blue Delay
DISC-3907	BLD-DISC-39-01	Delay	Mad Professor Deep Blue Delay Deluxe
DISC-3908	BLD-DISC-39-01	Modulation	Mad Professor Double Moon - Chorus / Flanger / Vibrato
DISC-3909	BLD-DISC-39-01	Delay	Mad Professor Dual Blue Delay
DISC-3910	BLD-DISC-39-01	Modulation	Mad Professor Electric Blue Chorus
DISC-3911	BLD-DISC-39-01	Overdrive	Mad Professor Evolution Orange Underdrive
DISC-3912	BLD-DISC-39-01	Fuzz	Mad Professor Fire Red Fuzz
DISC-3913	BLD-DISC-39-01	Compressor	Mad Professor Forest Green Compressor
DISC-3914	BLD-DISC-39-01	Fuzz	Mad Professor Fuzz32
DISC-3915	BLD-DISC-39-01	Overdrive	Mad Professor Golden Cello
DISC-3916	BLD-DISC-39-01	Reverb	Mad Professor Kosmos - Ambient Reverbs & Delays
DISC-3917	BLD-DISC-39-01	Overdrive	Mad Professor Little Green Wonder
DISC-3918	BLD-DISC-39-01	Overdrive	Mad Professor Little Tweedy Drive
DISC-3919	BLD-DISC-39-01	Distortion	Mad Professor Loud 'n Proud
DISC-3920	BLD-DISC-39-01	Modulation	Mad Professor Mellow Yellow Tremolo
DISC-3921	BLD-DISC-39-01	Distortion	Mad Professor Mighty Red Distortion
DISC-3922	BLD-DISC-39-01	Overdrive	Mad Professor Royal Blue Overdrive
DISC-3923	BLD-DISC-39-01	Boost	Mad Professor Ruby Red Booster
DISC-3924	BLD-DISC-39-01	Reverb	Mad Professor Silver Spring Reverb
DISC-3925	BLD-DISC-39-01	Overdrive	Mad Professor Simble Mk2 - Overdrive
DISC-3926	BLD-DISC-39-01	Overdrive	Mad Professor Sky Blue Overdrive
DISC-3927	BLD-DISC-39-01	Filter	Mad Professor Snow White Auto Wah
DISC-3928	BLD-DISC-39-01	Filter	Mad Professor Snow White Bass Auto Wah
DISC-3929	BLD-DISC-39-01	Distortion	Mad Professor Stone Grey Distortion
DISC-3930	BLD-DISC-39-01	Preamp	Mad Professor Super Black - Preamp / Overdrive
DISC-3931	BLD-DISC-39-01	Preamp	Mad Professor Super Black Mini - Preamp / Overdrive
DISC-3932	BLD-DISC-39-01	Overdrive	Mad Professor Supreme - Dual Channel Overdrive
DISC-3933	BLD-DISC-39-01	Overdrive	Mad Professor Sweet Honey Deluxe Overdrive
DISC-3934	BLD-DISC-39-01	Overdrive	Mad Professor Sweet Honey Overdrive
DISC-3935	BLD-DISC-39-01	Modulation	Mad Professor Tiny Orange Phaser
DISC-3936	BLD-DISC-39-02	Fuzz	Bearfoot FX Arctic White Fuzz
DISC-3937	BLD-DISC-39-02	Boost	Bearfoot FX Baby Pink Booster
DISC-3938	BLD-DISC-39-02	Overdrive	Bearfoot FX BlueBerry Bass Overdrive
DISC-3939	BLD-DISC-39-02	Fuzz	Bearfoot FX Burgundy Bosshorn Fuzz
DISC-3940	BLD-DISC-39-02	Fuzz	Bearfoot FX Candiru Apple Fuzz - Silicon Gated Fuzz
DISC-3941	BLD-DISC-39-02	Fuzz	Bearfoot FX Candy Apple Fuzz
DISC-3942	BLD-DISC-39-02	Distortion	Bearfoot FX Dyna Red Distortion
DISC-3943	BLD-DISC-39-02	Distortion	Bearfoot FX Dyna Red Hot Distortion
DISC-3944	BLD-DISC-39-02	Distortion	Bearfoot FX Emerald Green Distortion Machine
DISC-3945	BLD-DISC-39-02	Compressor	Bearfoot FX Ever Green Compressor
DISC-3946	BLD-DISC-39-02	Fuzz	Bearfoot FX Gated Apple Fuzz
DISC-3947	BLD-DISC-39-02	Fuzz	Bearfoot FX Gnarwahl Fuzz +
DISC-3948	BLD-DISC-39-02	Overdrive	Bearfoot FX Honey Bee Overdrive
DISC-3949	BLD-DISC-39-02	Overdrive	Bearfoot FX Honey Beest Overdrive
DISC-3950	BLD-DISC-39-02	Boost	Bearfoot FX Little Red Trebler
DISC-3951	BLD-DISC-39-02	Modulation	Bearfoot FX Mint Green Mini Vibe
DISC-3952	BLD-DISC-39-02	Overdrive	Bearfoot FX Model G
DISC-3953	BLD-DISC-39-02	Distortion	Bearfoot FX Model H
DISC-3954	BLD-DISC-39-02	Distortion	Bearfoot FX Model Hs
DISC-3955	BLD-DISC-39-02	Compressor	Bearfoot FX Pale Green Compressor
DISC-3956	BLD-DISC-39-02	Fuzz	Bearfoot FX Pink Purple Fuzz
DISC-3957	BLD-DISC-39-02	Boost	Bearfoot FX Red Rooster Booster
DISC-3958	BLD-DISC-39-02	Equalizer	Bearfoot FX Sea Blue EQ
DISC-3959	BLD-DISC-39-02	Overdrive	Bearfoot FX Sparkling Yellow OD 1
DISC-3960	BLD-DISC-39-02	Overdrive	Bearfoot FX Sparkling Yellow OD 2
DISC-3961	BLD-DISC-39-02	Overdrive	Bearfoot FX Sparkling Yellow OD 3
DISC-3962	BLD-DISC-39-02	Overdrive	Bearfoot FX Uber Bee OD
DISC-3963	BLD-DISC-39-03	Distortion	One Control (designed by BJF) Anodized Brown Distortion
