REC-015	Arbiter	Fuzz Face	1966-1967 Version 1	1966-1967	Chronology / specimen	Arbiter first presented the Fuzz Face at the British Musical Instrument Industries trade fair in August 1966; production appears to have ramped by September, with early 1966-1967 examples using the first enclosure style.	VERIFIED	https://fuzzboxes.org/fuzzface	Do not equate the thick-print graphic with a conclusively first-built unit; enclosure, pot dates, knobs and other features overlap.
REC-016	Arbiter	Fuzz Face	1968-1969 Version 2/3	1968-1969	Generation / specimen	Second and third enclosure states appear around the 1968-1969 Dallas-Arbiter transition; germanium and early silicon production overlap during this period.	VERIFIED	https://fuzzboxes.org/fuzzface	Enclosure brow geometry is a useful external dating clue; avoid treating pot date codes alone as exact assembly dates.
REC-017	Sola Sound	Tone Bender Professional MKII	1966-1968	Generation / OEM	Sola Sound introduced the MKII in 1966 and manufactured the design as an OEM product for brands including Vox, Marshall and Rotosound.	VERIFIED	https://fuzzboxes.org/tonebendermkii	Preserve Sola Sound as builder/OEM and each branded retail product as a distinct object identity.
REC-018	Sola Sound	Tone Bender Professional MKII	1966 short-board conversion	1966	Variant / specimen	Some early Sola Sound MKII examples were conversions of existing MK1.5 enclosures/boards rather than clean-sheet later builds.	VERIFIED	https://fuzzboxes.org/tonebendermkii	Short-board conversion is a specimen-level state and should not be treated as a separate family.
REC-019	Vox	Tone Bender Professional MKII	1967-1968	OEM / branding	Sola Sound-built Vox-branded MKII production followed the Sola Sound-branded version, with early examples sometimes showing graphics modified over Sola Sound branding.	VERIFIED	https://fuzzboxes.org/features/tonebenders	Preserve Vox as retail brand and Sola Sound as documented builder/OEM relationship.
REC-020	Marshall	Supa Fuzz	1967	OEM / branding	Marshall Supa Fuzz examples from this period are Sola Sound-built Tone Bender MKII family products with Marshall branding.	VERIFIED	https://fuzzboxes.org/timeline	Treat Supa Fuzz as an OEM-branded member of the Tone Bender family, not an unrelated distortion design.
REC-021	Rotosound	Fuzz Box	1966-1968	OEM / branding	Rotosound was among the companies supplied by Sola Sound with the MKII-family fuzz design during the 1966-1968 period.	VERIFIED	https://fuzzboxes.org/tonebendermkii	Brand/OEM relationship is more historically useful than assigning a standalone circuit genealogy.
REC-022	JEN	Tone Bender	Late 1960s	Italian OEM / branding	Jen built Italian Tone Bender-family pedals for Vox and later under Jen and regional brands including Elka, Luxor, Nova and Unicord.	VERIFIED	https://www.effectsdatabase.com/model/jen/diecast/tonebender	Keep the Italian Jen branch separate from British Sola Sound production.
REC-023	Vox	Tone Bender V828	1966 onward	Italian / model	The V828 belongs to the Italian Vox Tone Bender branch; historical evidence distinguishes its die-cast enclosure and JEN-associated production from British Sola Sound Tone Benders.	RESEARCH	https://www.voxshowroom.com/us/misc/v828.html	Early-country-of-production details remain subject to reconciliation; do not overstate a precise first Italian batch date.
REC-024	Teisco	TF-1 Fuzz	Early 1970s	Japanese OEM / family	Teisco TF-1 is documented as a Japanese FY-6 Super Fuzz family product and should remain distinct from the separate Teisco Fuzz Machine lineage.	RESEARCH	https://www.effectsdatabase.com/model/teisco/tf1	Use exact model naming and FY-6-family relationship as the primary identification clues.
REC-025	Univox	U-1095 Super-Fuzz	Late 1960s-1970s	Japanese OEM / family	Univox U-1095 belongs to the Shin-ei/Honey FY-6 Super Fuzz family and is a distinct branded retail object within that lineage.	RESEARCH	https://www.effectsdatabase.com/model/univox/u1095	External enclosure and branding changes should be reconciled before assigning tight sub-periods.
REC-026	Ace Tone	FM-2 Fuzz Master	1968-1970s	Chronology / Japanese	Period advertising and catalog research place the FM-2 in market by March 1968 and show it persisting through later Ace catalogs.	RESEARCH	https://www.tonemachinesblog.com/2025/03/ace-tone-fm-2-fuzz-master-deep-dive.html	Keep the March 1968 ad appearance as stronger evidence than older generic 1969-71 estimates.
