MOD-0031	Electronic Audio Experiments	Halberd V2	Overdrive	2024-present
MOD-0032	Death By Audio	Octave Clang V2	Fuzz	2024-present
MOD-0033	Cornerstone Music Gear	Imperium V2	Overdrive	2025-present
MOD-0034	Drunk Beaver	Disambiguation Muff-Rat V2	Fuzz / Distortion	2025-present
MOD-0035	Aleks K Production	Hot Ice Sweet Distortion V2	Distortion	Nov 2024-present
MOD-0036	Colortone	Parasite JFET Overdrive V2	Overdrive	2024-present
MOD-0037	L0/Rez	Mona Lisa Overdrive V2	Overdrive	2024-present
MOD-0038	Anode Effects	Dragon Drive V2	Overdrive / Distortion	2025
MOD-0039	Browne Amplification	Carbon V2	Overdrive	modern production
MOD-0040	Snouse Electric Company	BlackBox Overdrive 2	Overdrive	modern production
MOD-0041	Mattoverse Electronics	Bad Passenger Fuzz MKII	Fuzz	modern production
MOD-0042	Evil Eye FX	Paladin V2	Overdrive / Distortion	modern production
MOD-0043	Wampler Pedals	Pinnacle Deluxe V2	Distortion / Overdrive	modern production
