MOD-0054	1981 Inventions	LVL	Original	2023-present	Overdrive/boost	2023 debut documented in 2023 coverage; compact two-knob drive/boost identity.	DISCOVERED	https://www.guitar.com/guides/buyers-guide/top-10-pedals-and-effects-of-2023/	Primary launch source should be added if located.
MOD-0055	A Sound Of Failure	Death Driver	Original	2023	Distortion	2023 Effects Database census entry; builder/product requires primary-source verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Census lead.
MOD-0056	A Sound Of Failure	Sonic Harm	Original	2023	Distortion/Fuzz	2023 Effects Database census entry; builder/product requires primary-source verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Census lead.
MOD-0057	Asheville Guitar Pedals	308 Distortion	Original	2023	Distortion	2023 Effects Database census entry; builder/product requires primary-source verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Census lead.
MOD-0058	Asheville Guitar Pedals	Fuzz Driver	Original	2023	Fuzz/Overdrive	2023 Effects Database census entry; builder/product requires primary-source verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Census lead.
MOD-0059	Azor	AP-501 Cattle Fuzz	Original	2023	Fuzz	2023 Effects Database census entry; mass-market/Asian manufacturer attribution requires verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Census lead.
MOD-0060	Azor	AP-502 Tiger Overdrive	Original	2023	Overdrive	2023 Effects Database census entry; mass-market/Asian manufacturer attribution requires verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Census lead.
MOD-0061	Azor	AP-506 Snake Distortion	Original	2023	Distortion	2023 Effects Database census entry; mass-market/Asian manufacturer attribution requires verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Census lead.
MOD-0062	Alexander Pedals	Caroline Corporation Météore-related catalog lead	Original	2023	Distortion-adjacent	2023 census sweep reveals Alexander as active builder; dirt-specific model selection requires primary verification.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231204	Do not promote until dirt model is confirmed.
MOD-0063	Ananashead FX	Vega Booster	Original	2023	Boost/Drive	2023 Effects Database census entry; primary product documentation needed.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231211	Census lead.
MOD-0064	Atmosfera 6	Terror Cosmico	Original	2023	Distortion	Germanium distorter listed in 2023 Effects Database census.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231211	Census lead.
MOD-0065	Audio Fox	Donnie D3	Original	2023	Drive	2023 Effects Database census entry; primary product documentation needed.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231211	Census lead.
MOD-0066	Audio Fox	Teenage Angst Drive	Original	2023	Overdrive	2023 Effects Database census entry; primary product documentation needed.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231211	Census lead.
MOD-0067	Azor	AP302 Black Distortion	Original	2023	Distortion	2023 Effects Database census entry.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231211	Census lead.
MOD-0068	Azor	AP303 Grey Fuzz	Original	2023	Fuzz	2023 Effects Database census entry.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231211	Census lead.
MOD-0069	Azor	AP308 Blue Overdrive	Original	2023	Overdrive	2023 Effects Database census entry.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231211	Census lead.
MOD-0070	Aguilar	Storm King	Original	2023	Bass Distortion/Fuzz	2023 Effects Database census entry; bass-focused dirt included because archive scope can preserve adjacent dirt products while categorizing instrument focus.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231218	Census lead.
MOD-0071	Axiom Effects	DP-1 Distortion Preamp	Original	2023	Distortion	2023 Effects Database census entry.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231218	Census lead.
MOD-0072	Axiom Effects	FP-1 Fuzz Preamp	Original	2023	Fuzz	2023 Effects Database census entry.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231218	Census lead.
MOD-0073	Axiom Effects	OP-1 Overdrive Preamp	Original	2023	Overdrive	2023 Effects Database census entry.	DISCOVERED	https://www.effectsdatabase.com/updates/weekly/20231218	Census lead.
