Builder,Pedal,Type
Amptweaker,Bass BluesFuzz,Fuzz
Amptweaker,Bass BluesFuzz Jr,Fuzz
Amptweaker,Bass TightDrive,Overdrive
Amptweaker,Bass TightDrive Jr,Overdrive
Amptweaker,Bass TightFuzz,Fuzz
Amptweaker,Bass TightFuzz Jr,Fuzz
Amptweaker,Bass TightMetal Jr,Distortion
Amptweaker,Bass TightRock Jr,Distortion
Amptweaker,Bass TightRock Jr,Overdrive
Amptweaker,Big Rock Pro,Distortion
Amptweaker,Big Rock Pro,Overdrive
Amptweaker,Big Rock Pro II,Distortion
Amptweaker,Big Rock Pro II,Overdrive
Amptweaker,BluesFuzz,Fuzz
Amptweaker,BluesFuzz Jr,Fuzz
Amptweaker,Fat Metal,Distortion
Amptweaker,Fat Metal Pro,Distortion
Amptweaker,Fat Metal Pro II,Distortion
Amptweaker,Fat Rock,Distortion
Amptweaker,FatRock Distortion,Distortion
Amptweaker,Tight Drive,Overdrive
Amptweaker,Tight Drive Jr,Overdrive
Amptweaker,Tight Drive Pro,Overdrive
Amptweaker,Tight Metal,Distortion
Amptweaker,Tight Metal Jr,Distortion
Amptweaker,Tight Metal Pro,Distortion
Amptweaker,Tight Metal Pro II,Distortion
Amptweaker,Tight Rock,Distortion
Amptweaker,Tight Rock,Overdrive
Amptweaker,Tight Rock Jr,Distortion
Amptweaker,Tight Rock Jr,Overdrive
Amptweaker,TightBoost,Overdrive
Amptweaker,TightFuzz,Fuzz
Amptweaker,TightFuzz Jr,Fuzz
Amptweaker,TightFuzz Pro,Fuzz
Analog Alien,Alien Bass Station,Distortion
Analog Alien,Alien Bass Station,Fuzz
Analog Alien,Alien Bass Station,Overdrive
Analog Alien,Alien Tone Dragon,Fuzz
Analog Alien,Alien Tone Dragon,Overdrive
Analog Alien,Alien Twister,Distortion
Analog Alien,Alien Twister,Fuzz
Analog Alien,Alien Twister,Overdrive
Analog Alien,Bucket Seat,Overdrive
Analog Alien,FuzzBubble-45,Distortion
Analog Alien,FuzzBubble-45,Fuzz
Analog Alien,FuzzBubble-45,Overdrive
Analog Alien,Joe Walsh Double Classic,Overdrive
Analog Alien,Rumble Seat,Overdrive
Analog Man,Astro Tone,Fuzz
Analog Man,King Of Tone,Distortion
Analog Man,King Of Tone,Overdrive
Analog Man,Peppermint Fuzz,Fuzz
Analog Man,Prince Of Tone,Distortion
Analog Man,Prince Of Tone,Overdrive
Analog Man,Sun Face,Fuzz
Analog Man,Sun Lion,Fuzz
Animal Factory Amplification,Baron Samedi,Fuzz
Animal Factory Amplification,Chemical Burn,Fuzz
Animal Factory Amplification,Dirty Mirror,Fuzz
Animal Factory Amplification,Godeater,Distortion
Animal Factory Amplification,Godeater+,Distortion
Animal Factory Amplification,Godeater,Fuzz
Animal Factory Amplification,Ozymandias,Distortion
Animal Factory Amplification,Ozymandias,Overdrive
Animal Factory Amplification,Pit Viper,Distortion
Animal Factory Amplification,Pit Viper,Overdrive
Audiolithe,Chaosculpt Bass,Fuzz
Audiolithe,Doomer Fuzz,Fuzz
Audiolithe,Extinction Drive,Fuzz
Audiolithe,Extinction Drive,Overdrive
Audiolithe,La Montagne,Fuzz
Audiolithe,The Empress Bass,Overdrive
Barbarossa,CHIMAERA,Overdrive
Barbarossa,CRONUS,Distortion
Barbarossa,CRONUS,Overdrive
Barbarossa,GARGOYLE,Distortion
Barbarossa,GARGOYLE,Overdrive
Barbarossa,URANUS,Overdrive
Barber Electronics,1/2 Gainer,Overdrive
Barber Electronics,B-Custom Cool,Overdrive
Barber Electronics,B-Custom Dual Discrete,Overdrive
Barber Electronics,B-Custom Super Sport,Overdrive
Barber Electronics,Burn Unit,Distortion
Barber Electronics,Burn Unit,Overdrive
Barber Electronics,Burn Unit lineage,Distortion
Barber Electronics,Deep Fryer,Overdrive
Barber Electronics,Direct Drive Compact / Direct Drive v4,Distortion
Barber Electronics,Direct Drive Compact / Direct Drive v4,Overdrive
Barber Electronics,Dirty Bomb,Distortion
Barber Electronics,Exacta,Fuzz
Barber Electronics,FWW BUSS,Distortion
Barber Electronics,FWW BUSS,Overdrive
Barber Electronics,FWW BUSS HG,Distortion
Barber Electronics,FWW BUSS HG,Overdrive
Barber Electronics,FWW Plus,Distortion
Barber Electronics,FWW Plus,Overdrive
Barber Electronics,Gain Changer lineage,Distortion
Barber Electronics,Gain Changer SR,Distortion
Barber Electronics,Gain Changer SR,Overdrive
Barber Electronics,LTD SR,Distortion
Barber Electronics,LTD SR,Overdrive
Barber Electronics,LTD v2,Distortion
Barber Electronics,LTD v2,Overdrive
Barber Electronics,Midnight Standard,Distortion
Barber Electronics,Midnight Standard,Overdrive
Barber Electronics,Pepsiman,Distortion
Barber Electronics,Pepsiman,Overdrive
Barber Electronics,Small Fry,Distortion
Barber Electronics,Small Fry,Overdrive
Barber Electronics,Small Fry Burn Unit,Overdrive
Barber Electronics,Trifecta,Fuzz
Barber Electronics,UnLimiTeD,Distortion
Barber Electronics,UnLimiTeD,Overdrive
Basic Audio,Alter-Destiny,Fuzz
Basic Audio,Blender,Fuzz
Basic Audio,Bye-Bias,Fuzz
Basic Audio,Bye-Bias (Germanium),Fuzz
Basic Audio,DOT,Fuzz
Basic Audio,Eve fuzz,Fuzz
Basic Audio,Face,Fuzz
