Builder,Pedal,Catalog Type,Pedal Info,Picture,PRP Complete,Action,Attempts,Notes
AboveGroundFX,Rocks Hard,Distortion,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Accel Audio,Stompzilla Fuzz,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Add+ Pedals,Der Fuzzer,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
CBS-Arbiter,CBS-Arbiter Fuzz Phazer,Fuzz,DONE,NEEDED,NEEDED,DEEP_REVIEW,0,Parked after 0 automatic attempts; hold for deeper/manual photo research.
Chaser,HM-3 Heavy Metal,Distortion,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Collins,COD-1 Pro Over Drive,Overdrive,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Collins,CSD-1 Pro Super Dust,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Colorsound / Sola Sound,G.B. Fuzz Unit,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Colorsound / Sola Sound,Sola Sound Bum Fuzz Unit,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Colorsound / Sola Sound,Sola Sound Tone Bender,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Columbus,OVD-5 Overdrive,Overdrive,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Companion,FY-6 Super Fuzz,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Compulsive Audio,Face-Off Fuzz,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Compulsive Audio,Tone Oracle,Overdrive,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Conrad,Conrad Sky Hawk - Fuzz and Treble Booster,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Coolmusic,Multiple Distortion,Distortion,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Coolpedals,Steam Machine,Distortion / Overdrive,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Coopersonic,The Germaniac - Vintage Fuzz,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Copilot FX,Terra,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
Copilot FX,Trek,Fuzz,DONE,NEEDED,NEEDED,PHOTO_NEEDED,0,No confirmed photo archived yet.
