Builder,Pedal,Image Source Page,Image URL,Notes
Black Arts Toneworks,Crown of Horns,https://www.blackartstoneworks.com/pedal/crown-of-horns/,https://www.blackartstoneworks.com/wp-content/uploads/2015/10/coh1.jpg,Exact direct product image opened from the manufacturer Crown of Horns page
Black Arts Toneworks,Priestess,https://www.blackartstoneworks.com/pedal/priestess/,https://www.blackartstoneworks.com/wp-content/uploads/2022/01/PriestessBlackSitePhoto_TopDown.jpg,Exact direct product image opened from the manufacturer Priestess page
Black Arts Toneworks,Witch Burner MkII,https://www.blackartstoneworks.com/pedal/witch-burner/,https://www.blackartstoneworks.com/wp-content/uploads/2015/03/webburner.png,Exact direct product image opened from the manufacturer Witch Burner MkII page
Black Arts Toneworks,Son of Pharaoh,https://www.blackartstoneworks.com/pedal/son-of-pharaoh/,https://www.blackartstoneworks.com/wp-content/uploads/2017/12/s-o-p-web.jpg,Exact direct product image opened from the manufacturer Son of Pharaoh page
Black Arts Toneworks,FNORD,https://www.blackartstoneworks.com/pedal/fnord/,https://www.blackartstoneworks.com/wp-content/uploads/2015/01/fnordnew.jpg,Exact direct product image opened from the manufacturer FNORD page
Bispell Audio,TOR,https://www.guitarpedalx.com/news/gpx-blog/bispell-audio-reboots-its-tor-silicon-circuit-oc44-emulating-rangemaster---now-in-v2-edition-with-even-more-granularity-and-versatility,https://d6a2e7ghqts3o.cloudfront.net/AcuCustom/Sitename/DAM/550/2024-GPX-Bispell-Audio-Tor-Rangemaster-V2-700.jpg,Exact direct product image from the exact-model GPX TOR V2 page
Bispell Audio,Gleam,https://www.guitarpedalx.com/news/gpx-blog/bispell-audios-v2-gleam-is-an-incredibly-potent-silicon-4-transistor-multi-fuzz-which-has-you-brilliantly-covered-for-all-the-early-classic-fuzz-types,https://d6a2e7ghqts3o.cloudfront.net/AcuCustom/Sitename/DAM/541/2023-GPX-Bispell-Audio-Gleam-Fuzz-Main-V2-700.jpg,Exact direct product image from the exact-model GPX Gleam V2 page
Buffalo FX,CVIII - BC108 Silicon Fuzz,https://www.effectsdatabase.com/model/buffalofx/cviii,https://files.effectsdatabase.com/gear/thumbs/buffalofx_cviii_001.jpg,Exact Effects Database product photo for Buffalo FX CVIII
CastleRock,CastleRock Bass Overdrive,https://www.zzounds.com/item--CSTCRBOD,https://cf1.zzounds.com/media/productmedia/fit%2C2018by3200/quality%2C85/Overdrive-71b5ea50e5ebccfff3aa2af546da03bb.jpg,Exact zZounds product photo for CastleRock Bass Overdrive
Brotech Electronics,Fatpipe Blues,https://www.brotechelectronics.com/all_product_photos.html,https://www.brotechelectronics.com/images/IMG_1515.JPG,Exact manufacturer product photo showing the Fatpipe Blues pedal on Brotech's official product-photo page

Black Arts Toneworks,Black Forest,https://www.blackartstoneworks.com/pedal/black-forest/,https://www.blackartstoneworks.com/wp-content/uploads/2015/01/bff.png,Exact direct product image opened from the manufacturer Black Forest page
Black Arts Toneworks,Revelation,https://www.blackartstoneworks.com/pedal/revelation/,https://www.blackartstoneworks.com/wp-content/uploads/2015/01/reverlationnew.jpg,Exact direct product image opened from the manufacturer Revelation page
Black Arts Toneworks,Tres Diablos Ruidosos,https://www.blackartstoneworks.com/pedal/tres-diablos-ruidosos/,https://www.blackartstoneworks.com/wp-content/uploads/2017/10/Tres-web.jpg,Exact direct product image opened from the manufacturer Tres Diablos Ruidosos page
Black Arts Toneworks,Coven,https://www.blackartstoneworks.com/pedal/coven/,https://www.blackartstoneworks.com/wp-content/uploads/2015/01/coven2.jpg,Exact direct product image opened from the manufacturer Coven page
Black Arts Toneworks,Skyboost,https://www.blackartstoneworks.com/pedal/skyboost/,https://www.blackartstoneworks.com/wp-content/uploads/2018/08/Sky-site-pic.jpg,Exact direct product image opened from the manufacturer Skyboost page
Acid Fuzz,Acid Fuzzer MkI,https://www.acidfuzz.com/pages/acid-fuzzer-mki,https://cdn.shopify.com/s/files/1/2728/1702/files/MKI-Main.jpg?15304611839848998193=,Exact Acid Fuzz builder image for the full-size Acid Fuzzer MKI
Aether Electronic,Lenore,https://aetherelectronic.wordpress.com/2017/03/05/lenore/,https://aetherelectronic.wordpress.com/wp-content/uploads/2017/03/lenore.jpg?w=662,Exact manufacturer archive image from the Lenore model post
Baja Tech Custom,Das Fuzz Si,https://evolutionmusicstore.com/products/baja-tech-custom-das-fuzz-si,https://evolutionmusicstore.com/cdn/shop/products/tloladprkreohosizwxj_3458807a-1751-443d-bb81-5aa1a6cdcdbe.jpg?v=1571711655&width=300,Exact Evolution Music product image for Baja Tech Custom Das Fuzz Si
Accel Audio,Vintage Scream'in Overdrive,https://reverb.com/item/40602265-accel-vintage-scream-in-ovrdrive,https://rvb-img.reverb.com/i/s--Lk_Xz2zr--/quality%3Dmedium-low%2Cheight%3D800%2Cwidth%3D800%2Cfit%3Dcontain/hiob2qchfo3b1uey6zad.jpg,Exact direct image from the exact-model ended Reverb listing
