Builder,Pedal,Catalog Type,Status,Attempts,Last Failure,Deep Review Cycles
A&M Custom Effects,Crash Central - Crunch Distortion,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
A&M Custom Effects,Crazyboy - Double Fuzz,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":13,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Accel Audio,OD-SS Express Overdrive,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":158,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Add+ Pedals,Distortion,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""mintmuzik.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":600,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":37}]",5
ADV Systems,#distortion,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":141,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
ADV Systems,#overdrive,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":171,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
AJcustom,Distortion,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.effectsdatabase.com"",""sourcePageLoaded"":false,""sourceIdentityMatch"":false,""sourceImageCandidates"":0,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":221,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Alien Amplification,Origami Overdrive,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""produto.mercadolivre.com.br"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":1,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Amptweaker,Tight Drive Jr,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""www.talkbass.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":4,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":0,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
Anarchy Audio Australia,Baa Bzz,,DEEP_REVIEW,1,"no usable exact-model image candidate found [{""sourceHost"":""reverb.com"",""sourcePageLoaded"":true,""sourceIdentityMatch"":true,""sourceImageCandidates"":1,""linkedExternalCandidates"":0,""sourceScreenshotCaptured"":false,""makerFallbackTried"":true,""soldCandidates"":0,""verifiedSoldCandidates"":0,""imageSearchCandidates"":121,""verifiedSearchCandidates"":0,""rawHtmlCandidates"":0}]",5
