Builder,Pedal,Image Source Page,Notes
Black Cat Pedals,OD-Fuzz,https://www.effectsdatabase.com/model/blackcat/odfuzz,Exact Black Cat OD-Fuzz database record
Black Cat Pedals,RGDP - Really Great Dirt Pedal,https://www.effectsdatabase.com/model/blackcat/rgdp,Exact RGDP database record
Blackhawk Amplifiers,Asgard Bass Fuzz,https://reverb.com/au/item/30528369-blackhawk-asgard-bass-fuzz-guitar-distortion,Exact Blackhawk Asgard listing
Blackhawk Amplifiers,Basilisk Fuzz,https://reverb.com/item/77950001-black-hawk-basilisk-fuzz-black,Exact Blackhawk Basilisk sold listing
Blackhawk Amplifiers,Morgul Drive MKII,https://reverb.com/item/77782537-blackhawk-morgul-drive,Exact Blackhawk Morgul Drive listing
BIXONIC,EXP2000DR,https://bixonic-sound.com/products/exp2000dr,Exact BIXONIC manufacturer product page
Biyang,BL-12 Blues,https://reverb.com/p/biyang-classical-bl-12-blues-overdrive,Exact Biyang product record
Biyang,DS-12 Distortion,https://reverb.com/p/biyang-classical-ds-12-distortion,Exact Biyang product record
BlackOutEffectors,A Seriously Special Twosome,https://www.effectsdatabase.com/model/blackout/twosome/special/seriously,Exact Effects Database product record
BlackOutEffectors,A Very Special Twosome,https://www.effectsdatabase.com/model/blackout/twosome/special,Exact Effects Database product record
BlackOutEffectors,Blunderbuss Fuzz,https://www.effectsdatabase.com/model/blackout/blunderbuss,Exact Effects Database product record
BlackOutEffectors,Dual Gain Mantra,https://www.effectsdatabase.com/model/blackout/mantra/dualgain,Exact Effects Database product record
BlackOutEffectors,Fix'd Fuzz,https://www.effectsdatabase.com/model/blackout/fixdfuzz,Exact Effects Database product record
BlackOutEffectors,Fix'd Fuzz Deluxe,https://www.effectsdatabase.com/model/blackout/fixdfuzz/deluxe,Exact Effects Database product record
Blackstar Amplification,HT-DRIVE,https://blackstarampsmedia.com/uk/products/ht-drive,Exact Blackstar manufacturer product page
Blackstar Amplification,LT-DRIVE,https://blackstarampsmedia.com/uk/products/lt-drive,Exact Blackstar manufacturer product page
Blakemore Effects,Bi-Polar Octadrive,https://reverb.com/p/blakemore-effects-bi-polar-octadrive,Exact Reverb product record
Blakemore Effects,Deus Ex Machina,https://reverb.com/p/blakemore-effects-deus-ex-machina,Exact Reverb product record
Bob Burt Cabinets & Pedals,Bob Burt AH-1 Allen Hinds Signature Distortion,https://www.effectsdatabase.com/model/bobburt/ah1,Exact Effects Database product record
Bob Burt Cabinets & Pedals,Bob Burt GR8T Distortion,https://www.effectsdatabase.com/model/bobburt/gr8t,Exact Effects Database product record
Bob Burt Cabinets & Pedals,Bob Burt Overdrive,https://www.effectsdatabase.com/model/bobburt/overdrive,Exact Effects Database product record
Bispell Audio,Gleam,https://reverb.com/en-fr/item/89660904-bispell-audio-gleam-fuzz-guitar-effects-pedal,Exact Bispell Gleam listing
Bispell Audio,Proxy,https://reverb.com/item/76574978-bispell-audio-proxy-vox-ul730-conqueror-beatles-zeppelin-free-shipping-offers-welcome,Exact Bispell Proxy listing
Bispell Audio,Saxon,https://bispellaudio.com/prod/saxon,Exact Bispell manufacturer product page
Bispell Audio,TOR,https://reverb.com/item/44229726-tor-treble-booster-eq-pedal-precise-sound-of-oc44-germanium-using-silicon,Exact Bispell TOR listing
Biyang,BO-1 Bass Over Drive,https://www.effectsdatabase.com/model/biyang/bo1,Exact Effects Database product record
Biyang,DS-1 Distortion,https://www.effectsdatabase.com/model/biyang/ds1,Exact Effects Database product record
Biyang,DS-3 Distortion,https://www.effectsdatabase.com/model/biyang/ds3,Exact Effects Database product record
Biyang,NM-2 New Metal,https://www.effectsdatabase.com/model/biyang/nm2,Exact Effects Database product record
Biyang,OD-8 X-Drive,https://www.effectsdatabase.com/model/biyang/tonefancier/od8,Exact Effects Database product record
Biyang,OTD-100 Distortion,https://www.effectsdatabase.com/model/biyang/tonefancier/otd100,Exact Effects Database product record
BJFE / BJF Electronics,Candy Apple Fuzz (CAF),https://www.bjfe.jp/en/products/bjfcaf,Exact BJFE official product page
BJFE / BJF Electronics,Pink Purple Fuzz (PPF),https://www.bjfe.jp/en/products/bjfppf,Exact BJFE official product page
