Builder,Pedal,Catalog Type,Pedal Info,Picture,PRP Complete,Research Record
1981 Inventions,DRV,Distortion,DONE,DONE,DONE,./research/pedals/1981 Inventions/DRV.md
1981 Inventions,DRV MOD 1,Distortion,DONE,DONE,DONE,./research/pedals/1981 Inventions/DRV MOD 1.md
1981 Inventions,DRV MOD 1 (WHITE),Distortion,DONE,DONE,DONE,./research/pedals/1981 Inventions/DRV MOD 1 (WHITE).md
1981 Inventions,DRV MOD 2,Distortion,DONE,DONE,DONE,./research/pedals/1981 Inventions/DRV MOD 2.md
1981 Inventions,DRV MOD 2 HYPERFADE,Distortion,DONE,DONE,DONE,./research/pedals/1981 Inventions/DRV MOD 2 HYPERFADE.md
1981 Inventions,DRV2,Distortion,DONE,DONE,DONE,./research/pedals/1981 Inventions/DRV2.md
1981 Inventions,Forget and Not Slow Down LVL,Overdrive,DONE,DONE,DONE,./research/pedals/1981 Inventions/Forget and Not Slow Down LVL.md
1981 Inventions,LVL,Overdrive,DONE,DONE,DONE,./research/pedals/1981 Inventions/LVL.md
6 Degrees FX,Amplitude Eleven,Overdrive,DONE,DONE,DONE,./research/pedals/6 Degrees FX/Amplitude Eleven.md
A Sound Of Failure,Death Driver,Overdrive,DONE,DONE,DONE,./research/pedals/A Sound Of Failure/Death Driver.md
A.Y.A,Bass Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/A.Y.A/Bass Fuzz.md
A.Y.A,BM-Fuzz 70,Fuzz,DONE,DONE,DONE,./research/pedals/A.Y.A/BM-Fuzz 70.md
A.Y.A,BM-Fuzz 80,Fuzz,DONE,DONE,DONE,./research/pedals/A.Y.A/BM-Fuzz 80.md
A.Y.A,Drivesta,Overdrive,DONE,DONE,DONE,./research/pedals/A.Y.A/Drivesta.md
A.Y.A,Frontgate Bass Drive,Overdrive,DONE,DONE,DONE,./research/pedals/A.Y.A/Frontgate Bass Drive.md
A/DA,APP-1 Pedal Preamp with D-Torsion Core,Overdrive,DONE,DONE,DONE,./research/pedals/A/DA/APP-1 Pedal Preamp with D-Torsion Core.md
A/DA,Final Phase,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/A/DA/Final Phase.md
A/DA,MP-1 Channel,Overdrive,DONE,DONE,DONE,./research/pedals/A/DA/MP-1 Channel.md
A&M Custom Effects,Crash Central - Crunch Distortion,Distortion,DONE,DONE,DONE,./research/pedals/A&M Custom Effects/Crash Central - Crunch Distortion.md
A&M Custom Effects,Crazyboy - Double Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/A&M Custom Effects/Crazyboy - Double Fuzz.md
A&M Custom Effects,Metal Maniac - Mega Distortion,Distortion,DONE,DONE,DONE,./research/pedals/A&M Custom Effects/Metal Maniac - Mega Distortion.md
A&M Custom Effects,Twin Pro - Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/A&M Custom Effects/Twin Pro - Overdrive.md
Abasi Concepts,Pathos Distortion,Distortion,DONE,DONE,DONE,./research/pedals/Abasi Concepts/Pathos Distortion.md
AbbyTone,Screwed Driver,Overdrive,DONE,DONE,DONE,./research/pedals/AbbyTone/Screwed Driver.md
ABL Pedals,The Szczur,Overdrive,DONE,DONE,DONE,./research/pedals/ABL Pedals/The Szczur.md
ABL Pedals,The Toor,Fuzz,DONE,DONE,DONE,./research/pedals/ABL Pedals/The Toor.md
Abominable Electronics,Cat Dirt Mini - Killer Acid Artwork,Overdrive,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Cat Dirt Mini - Killer Acid Artwork.md
Abominable Electronics,Demon Lung,Fuzz,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Demon Lung.md
Abominable Electronics,Hail Satan,Distortion / Fuzz,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Hail Satan.md
Abominable Electronics,Hail Satan Deluxe,Distortion / Fuzz,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Hail Satan Deluxe.md
Abominable Electronics,Hellmouth,Overdrive,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Hellmouth.md
Abominable Electronics,Oppressive Cult Destroyer,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Oppressive Cult Destroyer.md
Abominable Electronics,Throne Torcher,Distortion,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Throne Torcher.md
Abominable Electronics,Toke Machine,Fuzz,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Toke Machine.md
Abominable Electronics,Yeti Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Abominable Electronics/Yeti Fuzz.md
AboveGroundFX,El Griton Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/AboveGroundFX/El Griton Overdrive.md
AboveGroundFX,Rocks Hard,Distortion,DONE,DONE,DONE,./research/pedals/AboveGroundFX/Rocks Hard.md
Absolutely Analog,Ratzo,Distortion,DONE,DONE,DONE,./research/pedals/Absolutely Analog/Ratzo.md
AC Efectos,Green 808 Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/AC Efectos/Green 808 Overdrive.md
AC Efectos,Triplex Distortion,Distortion,DONE,DONE,DONE,./research/pedals/AC Efectos/Triplex Distortion.md
AC Noises,Arpiona,Fuzz,DONE,DONE,DONE,./research/pedals/AC Noises/Arpiona.md
AC Noises,Combatti,Distortion,DONE,DONE,DONE,./research/pedals/AC Noises/Combatti.md
AC Noises,Esplora,Fuzz,DONE,DONE,DONE,./research/pedals/AC Noises/Esplora.md
AC Noises,Urla,Fuzz,DONE,DONE,DONE,./research/pedals/AC Noises/Urla.md
AC Noises,Vola,Overdrive,DONE,DONE,DONE,./research/pedals/AC Noises/Vola.md
Accel Audio,OD-SS Express Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Accel Audio/OD-SS Express Overdrive.md
Accel Audio,Stompzilla Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Accel Audio/Stompzilla Fuzz.md
Accel Audio,Vintage Scream'in Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Accel Audio/Vintage Scream'in Overdrive.md
Acid Age Electronics,Acid Pig - LM308 Distortion Unit,Distortion,DONE,DONE,DONE,./research/pedals/Acid Age Electronics/Acid Pig - LM308 Distortion Unit.md
Acid Fuzz,Acid Fuzzer MkI,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/Acid Fuzzer MkI.md
Acid Fuzz,Italian Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/Italian Fuzz.md
Acid Fuzz,Mk1.5,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/Mk1.5.md
Acid Fuzz,NKT275 Acid Fuzz Face,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/NKT275 Acid Fuzz Face.md
Acid Fuzz,Professional MkII,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/Professional MkII.md
Acid Fuzz,Selmer Buzz Tone,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/Selmer Buzz Tone.md
Acid Fuzz,Sonic Boom,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/Sonic Boom.md
Acid Fuzz,The Zoink Machine,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/The Zoink Machine.md
