Builder,Pedal,Source URL,Note
D&M,Distortion,https://www.effectsdatabase.com/model/dm/distortion,Exact Effects Database model page
Daredevil Pedals,L.S.D,https://www.effectsdatabase.com/model/daredevil/lsd,Exact Effects Database model page
Daredevil Pedals,L.S.D,https://www.guitarcenter.com/Daredevil-Pedals/LSD-Logan-Square-Destroyer-Fuzz-V2-Effects-Pedal-1500000216927.gc,Exact Guitar Center model page
Dan Drive Pedal Solutions,Secret Machine,https://www.guitarpedalx.com/news/gpx-blog/dandrive-pedal-adds-2-more-compact-pedals-to-the-core-range---the-secret-machine-fuzz-and-working-man-fuzz,Exact Guitar Pedal X model article
Danelectro,Fab Tone / FAB Tone Distortion,https://www.effectsdatabase.com/model/danelectro/original/fabtone,Exact Effects Database model page
Aleatorik,Operation 1,https://aucfree.com/m/items/c645005215,Exact-model historical Japanese auction listing for Operation 1 prototype
Aleatorik,Operation 2,https://reverb.com/de/item/14800562-aleatorik-operation-2,Exact-model Reverb listing from TC Gakki
Aleatorik,Operation 3,https://hitonoko23.hatenablog.jp/,Exact-model Japanese review page for Operation 3 (2018)
Alexander Pedals,Hot Pink Drive,https://www.effectsdatabase.com/model/alexander/hotpinkdrive,Exact Effects Database model page
Alexander Pedals,Hot Pink Drive,https://static1.squarespace.com/static/54a5d748e4b034981b4a71c8/t/5bf2d45af950b74072347df9/1542640731157/Hot%2BPink%2BManual%2BWeb.pdf,Manufacturer manual
Amplified Nation,Bigger Bloom Overdrive,https://amplifiednation.com/product/bigger-bloom-overdrive/,Exact manufacturer product page
Amplified Nation,Bigger Bloom Overdrive,https://amplifiednation.com/wp-content/uploads/2024/11/Amplified-Nation-Manual_Bigger-Bloom.pdf,Manufacturer manual
AmpMojo,Skate Fuzz (SKUZZ),https://www.ampmojo.com/product-page/skate-fuzz-skuzz,Exact manufacturer product page
AmpMojo,Sol Drive,https://www.ampmojo.com/sol-drive,Exact manufacturer product page
Amptweaker,Bass BluesFuzz,https://www.effectsdatabase.com/model/amptweaker/bluesfuzz/bass/jr,Exact Effects Database model page
Amptweaker,Bass BluesFuzz,https://www.rockboard.de/en/pedalPedia/Amptweaker/BluesFuzz-Jr/68974489/,Exact RockBoard pedal reference
Amptweaker,Bass BluesFuzz,https://www.talkbass.com/threads/amptweaker-bass-blues-fuzz-anyone-have-try-one-of-these.1303032/,Exact-model bass user discussion
Bad Penny FX,The Fuzz Controller V1,https://www.pedal-of-the-day.com/2021/09/04/bad-penny-fx-the-fuzz-controller/,Exact-model review
Bad Penny FX,The Fuzz Controller V1,https://www.youtube.com/watch?v=WBcLju0WkyY,Exact-model video/demo
Crown,FW-3 Distortion Wah Volume,https://www.effectsdatabase.com/model/crown/fw3,Exact Effects Database model page
EarthQuaker Devices,Acapulco Gold — Power Amp Distortion,https://www.earthquakerdevices.com/acapulco-gold,Exact manufacturer product page
EarthQuaker Devices,Acapulco Gold — Power Amp Distortion,https://www.manualslib.com/manual/2503390/Earthquaker-Devices-Acapulco-Gold.html,Exact-model manual mirror
Fairfield Circuitry,Barbershop — consolidated across V1 / Millennium Edition,https://www.effectsdatabase.com/model/fairfield/barbershop,Exact Effects Database model page
Fairfield Circuitry,Barbershop — consolidated across V1 / Millennium Edition,https://fairfieldcircuitry.com/pages/faq,Manufacturer FAQ with V1/Millennium comparison
Xotic Effects,AC Booster V2 — Overdrive,https://xotic.us/effects/acbv2/,Exact manufacturer product page
Xotic Effects,AC Booster V2 — Overdrive,https://xotic.us/manuals/pdf/ACB-V2_manual_ENG_Mar2025.pdf,Manufacturer manual
Walrus Audio,385 Overdrive MKII — Overdrive,https://www.walrusaudio.com/products/385-overdrive-mkii,Exact manufacturer product page
Walrus Audio,385 Overdrive MKII — Overdrive,https://www.walrusaudio.com/pages/manuals,Manufacturer manuals index
Keeley Electronics,Aria Compressor/Overdrive,https://robertkeeley.com/product/aria-compressor-overdrive/,Exact manufacturer product page
Mad Professor Amplification,Blueberry Bass Overdrive,https://mpamp.com/files/manuals/Blueberry%20Bass%20Overdrive%20manual.pdf,Manufacturer manual
Mad Professor Amplification,Big Tweedy Drive,https://performermag.com/best-instruments/best-guitar-picks-accessories/mad-professor-big-tweedy-drive-pedal-review/,Exact-model review
