Builder,Pedal,Type
Broughton Audio,Calamity,Fuzz
Broughton Audio,Calamity,Distortion
Browne Amplification,Alkene - Nashville Drive,Overdrive
Browne Amplification,Atom - Nashville Drive,Overdrive
Browne Amplification,Carbon X - Dual Overdrive,Overdrive
Browne Amplification,Ethane - Dual Overdrive,Overdrive
Browne Amplification,Gritador Overdrive,Overdrive
Browne Amplification,T4 Fuzz,Fuzz
Browne Amplification,The Carbon - Overdrive,Overdrive
Browne Amplification,The Protein - Dual Overdrive,Overdrive
Browne Amplification,The Protein v2,Overdrive
Browne Amplification,The Protein v3,Overdrive
Browne Amplification,The Protein v4,Overdrive
Bruce Bennett Music Labs,Brown Sound,Distortion
Bruce Bennett Music Labs,Brown Sound,Overdrive
Bruce Bennett Music Labs,Lowball,Distortion
Brunetti,Burning Box,Distortion
Brunetti,Mercury Box,Overdrive
Brunetti,Mercury Box,Distortion
Brunetti,Mercury Box 2,Distortion
Brunetti,Overtone,Overdrive
Brunetti,Overtone 2,Overdrive
Brunetti,Super Lead Plexi - SuperDrive,Overdrive
Brunetti,Taxi Drive,Overdrive
Brunetti,Vanilla - Soft Drive,Overdrive
BSM,FassBender Fuzz Machine,Fuzz
BSM,FuzzBender Fuzz Machine,Fuzz
BSM,J-Fuzz,Fuzz
BSM,Overdrive Supreme,Overdrive
BSM,Spectrum Fuzz Booster,Fuzz
BSQ Effects,BO-2 Bulls On - Overdrive/Compressor,Overdrive
BSQ Effects,DM-2 Dynamite - Overdrive/Compressor,Overdrive
BSQ Effects,MS-2 Mean Street - Distortion + Booster,Distortion
BSQ Effects,SB-1 Scuttle Buttin' - Overdrive,Overdrive
Budda,Om Overdrive,Overdrive
Budda,Phatbass,Distortion
Budda,Phatbass,Overdrive
Budda,Phatman,Overdrive
Budda,Zenman,Distortion
Budda,Zenman,Overdrive
Buffalo FX,Bender MkII,Fuzz
Buffalo FX,Carrera Overdrive,Overdrive
Buffalo FX,CVIII - BC108 Silicon Fuzz,Fuzz
Buffalo FX,Evolution - 4 Stage Overdrive/Distortion,Overdrive
Buffalo FX,Evolution - 4 Stage Overdrive/Distortion,Distortion
Buffalo FX,Fuzz Face Ge,Fuzz
Buffalo FX,Fuzz Face Si,Fuzz
Buffalo FX,Germanium Fuzz,Fuzz
Buffalo FX,M-1 Fuzz,Fuzz
Buffalo FX,Patriot,Fuzz
Buffalo FX,RH-X Rams Head - NOS BC239c,Fuzz
Buffalo FX,Stiletto Fuzz,Fuzz
Buffalo FX,Supa Driver,Overdrive
Buffalo FX,Tonebender Mk3,Fuzz
BuGGFX Pedals,Raincoat,Fuzz
BuGGFX Pedals,Raincoat,Overdrive
BuGGFX Pedals,Raincoat,Distortion
Build Your Own Clone,250+,Overdrive
Build Your Own Clone,855 Drive,Overdrive
Build Your Own Clone,B.G. Fuzz,Fuzz
Build Your Own Clone,Bass Overdrive,Overdrive
Build Your Own Clone,Bender Clone,Fuzz
Build Your Own Clone,Blue Overdrive,Overdrive
Build Your Own Clone,British Blues Overdrive,Overdrive
Build Your Own Clone,Classic Overdrive,Overdrive
Build Your Own Clone,Crown Jewel,Overdrive
Build Your Own Clone,Crown Jewel,Distortion
Build Your Own Clone,E.S.V. Fuzz,Fuzz
Build Your Own Clone,El Distorto Segundo,Distortion
Build Your Own Clone,Fuzz Clone,Fuzz
Build Your Own Clone,Green Pony,Overdrive
Build Your Own Clone,Leeds Fuzz,Fuzz
Build Your Own Clone,Li'l Beaver (NYC),Fuzz
Build Your Own Clone,Li'l Beaver (Opamp),Fuzz
Build Your Own Clone,Li'l Beaver (Ram's Head),Fuzz
Build Your Own Clone,Li'l Beaver (Russian),Fuzz
Build Your Own Clone,Li'l Beaver (Triangle),Fuzz
Build Your Own Clone,Li'l Breaker,Overdrive
Build Your Own Clone,Li'l Fuzz,Fuzz
Build Your Own Clone,Li'l Gray OD,Overdrive
Build Your Own Clone,Li'l Modified Overdrive,Overdrive
Build Your Own Clone,Li'l Mouse,Distortion
Build Your Own Clone,Li'l Yellow OD,Overdrive
Build Your Own Clone,Mighty Mouse,Distortion
Build Your Own Clone,Orange Distortion,Distortion
Build Your Own Clone,Overdrive 2,Overdrive
Build Your Own Clone,Parametric Overdrive,Overdrive
Build Your Own Clone,Screamer Clone,Overdrive
Build Your Own Clone,Shredder,Distortion
Build Your Own Clone,Silver Pony,Overdrive
Build Your Own Clone,The Full Circle Bass Fuzz,Fuzz
Build Your Own Clone,The Large Beaver,Fuzz
Build Your Own Clone,The Mimosa,Overdrive
Build Your Own Clone,The Swede,Distortion
Build Your Own Clone,Yellow Overdrive,Overdrive
Byron Amplification,Viper Ninja Overdrive,Overdrive
Byron Amplification,Shearling Overdrive,Overdrive
Byron Amplification,Dark Arts Drive Overdrive,Overdrive
Byron Amplification,Poder Del Alma Fuzz,Fuzz
Byron Amplification,Pai Mei Fuzz,Fuzz
Byron Amplification,Cowboy Overdrive,Overdrive
Byron Amplification,Jabberwocky Distortion,Distortion
Byron Amplification,Green Concussion Fuzz,Fuzz
Byron Amplification,POW! Boost/Drive and Fuzz,Fuzz
Byron Amplification,POW! Boost/Drive and Fuzz,Overdrive
Byron Amplification,Lil' Shaman Overdrive,Overdrive
Byron Amplification,Her Majesty Drive/Fuzz,Overdrive
Byron Amplification,Her Majesty Drive/Fuzz,Fuzz
Byron Amplification,Phattie Overdrive,Overdrive
Byron Amplification,Blood Drive Overdrive,Overdrive
Byron Amplification,Cabeza Borradora Octave Fuzz,Fuzz
