Builder,Pedal,Type
B.C. Rich,DMD-1 Digital Metal Distortion,Distortion
B.K. Butler,Tube Driver,Overdrive
B85 Audio,Bass Overdrive,Overdrive
B85 Audio,Fuzz Machine,Fuzz
B85 Audio,Germanium Overdrive,Overdrive
B85 Audio,Germanium Overdrive Deluxe,Overdrive
B85 Audio,Gut Ripper,Distortion
B85 Audio,Hrom - Bass Overdrive,Overdrive
Backbeat Electric,X-Bender,Fuzz
Bad Cat,2-Tone,Overdrive
Bad Cat,X-Treme Tone,Overdrive
Bad Cat,X-Treme Tone,Distortion
Bad Penny FX,The Fuzz Controller V1,Fuzz
Bad Penny FX,The Fuzz Controller V1,Overdrive
Bad Penny FX,The Fuzz Controller V2,Fuzz
Bad Penny FX,Wireless Germanium Fuzz,Fuzz
Bad Penny FX,Morse Fuzz,Fuzz
Bad Pixel Pedals,Bad Face Silicon,Fuzz
Bad Pixel Pedals,Buzzaround Fuzz,Fuzz
Bad Pixel Pedals,Classic Model 1 Fuzz,Fuzz
Bad Pixel Pedals,Classic Model 2 Fuzz,Fuzz
Bad Pixel Pedals,Classic Model 3 Fuzz,Fuzz
Bad Pixel Pedals,Fuck_Fuck Twin Tube Boost Overdrive,Overdrive
Bad Pixel Pedals,Germanium Gold Face Fuzz,Fuzz
Bad Pixel Pedals,Germanium Pink Face Fuzz,Fuzz
Bad Pixel Pedals,MKII Professional Gold Bender Fuzz,Fuzz
Baja Tech Custom,Bone Bender,Fuzz
Baja Tech Custom,Das Fuzz Ge,Fuzz
Baja Tech Custom,Das Fuzz Si,Fuzz
Baja Tech Custom,DaMOAF Fuzz,Fuzz
Baja Tech Custom,DaMOAF Fuzz,Overdrive
Baja Tech Custom,DaMOAF Fuzz,Distortion
Baja Tech Custom,Top Boost TB-1,Overdrive
Balaguer Guitars,BG-Drive - Preamp/Overdrive,Overdrive
Balaguer Guitars,Fission Drive v2,Overdrive
Balaguer Guitars,Fission Drive v2,Distortion
Balaguer Guitars,Fission Drive v2,Fuzz
Baltimore Sonic Research Institute,Ashmaker - Distortion w/ Boost,Distortion
Baltimore Sonic Research Institute,Impossible Colors - Transformer Coupled Fuzz,Fuzz
Baltimore Sonic Research Institute,Impossible Colors II Transformer Coupled Fuzz,Fuzz
Baltimore Sonic Research Institute,Oriole Fuzz,Fuzz
Baltimore Sonic Research Institute,Radical Conversion - Discrete Opamp Distortion,Distortion
Baltimore Sonic Research Institute,Get the Name of the Dog! JFET Overdrive,Overdrive
Baltimore Sonic Research Institute,FZZ,Fuzz
Baltimore Sonic Research Institute,TFZ Fuzz,Fuzz
Baroni Lab,Angry Pig,Distortion
Baroni Lab,Billygoats Muff,Distortion
Baroni Lab,Moon Sound,Distortion
Baroni Lab,Morpheus,Distortion
Baroni Lab,Rat'N Box,Distortion
Baroni Lab,The Boutique Muff,Distortion
Baroni Lab,GD Drive,Overdrive
Baroni Lab,Tubes Tone & Drive,Overdrive
