Builder,Pedal,Type
Century,Century SHM-8 Heavy Metal,Distortion
Century,Century SDI-1 Distortion,Distortion
César Diaz,Diaz Texas Square Face,Fuzz
ChadderBox Effects,Loud/Louder,Overdrive
ChadderBox Effects,Loud/Louder,Distortion
Champion City Effects,Cosmic Owl,Distortion
Champion City Effects,Cosmonaut,Distortion
Champion City Effects,El Gato Malo,Distortion
Champion City Effects,Ezekiel,Fuzz
Champion City Effects,Ezekiel,Overdrive
Champion City Effects,Ezekiel,Distortion
Champion City Effects,Mjolnir Heavy Distortion,Distortion
Champion Leccy,The Dunsh,Fuzz
Champion Leccy,The Dunsh,Distortion
Champion Leccy,The Gett,Fuzz
Champion Leccy,Evil Twin,Distortion
Champion Leccy,Evil Twin,Fuzz
Champion Leccy,Canny Fettle Boost,Overdrive
Champion Leccy,Canny Fettle Boost,Distortion
Champion Leccy,The Divvy,Fuzz
Champion Leccy,The Divvy,Overdrive
