Builder,Pedal,Type
"Lunastone Pedals","Three Stage Rocket","Overdrive"
"6 Degrees FX","Amplitude Eleven","Overdrive"
"ADA Amps","MP-1 Channel","Overdrive"
"ADA Amps","MP-1 Channel","Distortion"
"BBE","Green Screamer","Overdrive"
"BBE","G Screamer","Overdrive"
"Behringer","OD300","Overdrive"
"Behringer","OD300","Distortion"
"Behringer","Fuzz Bender","Fuzz"
"Behringer","SF300 Super Fuzz","Fuzz"
"Behringer","UZ400 Ultra Fuzz","Fuzz"
"Behringer","Bass Brassmaster","Fuzz"
"Big Ear","Slice of Pie","Fuzz"
"Big Ear","LOAF","Fuzz"
"Big Ear","Woodcutter","Distortion"
"Big Ear","Black Betty","Fuzz"
"Big Joe Stomp Box Company","B-301 Tube","Overdrive"
"Big Joe Stomp Box Company","B-309 Texas Screamer","Overdrive"
"Big Joe Stomp Box Company","B-502 Empire","Overdrive"
"Big Joe Stomp Box Company","B-502 Empire","Distortion"
"Big Joe Stomp Box Company","R-402 Classic","Overdrive"
"Big Joe Stomp Box Company","R-403 Vintage","Overdrive"
"Big Joe Stomp Box Company","R-404 Vintage II","Overdrive"
"Darkglass Electronics","Microtubes B3K","Overdrive"
"Darkglass Electronics","Microtubes Infinity","Distortion"
"Decibelics","Golden Horse","Overdrive"
"Decibelics","Big Klone","Overdrive"
"Decibelics","Golden Royale","Overdrive"
"Decibelics","The Reverend","Overdrive"
"Decibelics","Angry Swede V2","Distortion"
"Deep Trip","BOG","Fuzz"
"Deep Trip","BOG","Overdrive"
"Deep Trip","BOG","Distortion"
"Deep Trip","Capivara","Fuzz"
"Deep Trip","Kryptone","Fuzz"
"Demeter","DRV-1 Overdriveulator","Overdrive"
"Demeter","DRV-2 Uberdriveulator","Overdrive"
"Demeter","DD-1 Double Overdrive","Overdrive"
"Demon Pedals","Parvati","Fuzz"
"Demon Pedals","Parvati","Overdrive"
"Demon Pedals","Parvati","Distortion"
"Devi Ever : FX","Krackle Fuzz","Fuzz"
"Devi Ever : FX","Tri-Fuzz","Fuzz"
"Devi Ever : FX","Beautiful Disaster","Fuzz"
"Devi Ever : FX","Truly Beautiful Disaster","Fuzz"
"Devi Ever : FX","Vintage Fuzz Master","Fuzz"
"Devi Ever : FX","Torn's Peaker","Fuzz"
"Devi Ever : FX","Never Drive","Fuzz"
"Diezel Amplification","VH4 Pedal","Overdrive"
"Diamond","Diamond Drive","Overdrive"
"DLS Effect","Reckless Driver","Overdrive"
"Dophix","Medici","Fuzz"
"Dophix","Michelangelo","Overdrive"
"Dophix","Michelangelo Gold","Overdrive"
"Dr. No Effects","Turd Fuzz","Fuzz"
"Dreadbox","Disorder","Fuzz"
"EWS","Little Brute Drive","Overdrive"
"EWS","Little Brute Drive","Distortion"
"F-Pedals","Edstortion","Distortion"
"Flattley","Centurion","Overdrive"
"Flattley","Plexstar","Overdrive"
"Flattley","Revolution","Overdrive"
"Fortin","Natas Distortion","Distortion"
"Fortin","Fourteen","Overdrive"
"Fortin","Kali","Distortion"
"Fortin","Blade","Overdrive"
"Foxpedal","Defector","Fuzz"
"Foxpedal","Defector","Overdrive"
"Foxpedal","Vixen","Overdrive"
"Foxpedal","The City V2","Overdrive"
"Frantone Electronics","Brooklyn Overdrive","Overdrive"
"Fuzzrocious Pedals","Cat Tail","Distortion"
"Fuzzrocious Pedals","Cat Tail","Fuzz"
"Fuzzrocious Pedals","Cat Tail","Overdrive"
"Gamechanger Audio","Plasma Pedal","Distortion"
"Gamechanger Audio","Plasma Pedal","Fuzz"
"Greenhouse Effects","Nobrainer","Distortion"
"Greenhouse Effects","Outlier","Distortion"
"Greenhouse Effects","Outlier","Overdrive"
"Greenhouse Effects","Remedy","Fuzz"
"Guyatone","HD-2 Harmonic Distortion","Distortion"
"Henretta Engineering","H-Bomb","Fuzz"
"Horizon Devices","Precision Drive","Overdrive"
"Horizon Devices","Precision Drive","Distortion"
"King Tone Guitar","Duellist","Overdrive"
"King Tone Guitar","Duellist V3","Overdrive"
"King Tone Guitar","Soloist","Overdrive"
"King Tone Guitar","Heavyhand","Overdrive"
"MadeByMike","RAT/MUFF","Fuzz"
"MadeByMike","RAT/MUFF","Overdrive"
"MadeByMike","RAT/MUFF","Distortion"
"MadeByMike","Dream Box","Fuzz"
"MadeByMike","Dream Box","Overdrive"
"MadeByMike","Dream Box","Distortion"
"MadeByMike","Dual Drive","Fuzz"
"MadeByMike","Dual Drive","Overdrive"
"MadeByMike","Dual Drive","Distortion"
"MadeByMike","Fuzzy Beetle","Fuzz"
"MadeByMike","Ultralord","Fuzz"
"MadeByMike","Germanium Fuzz Face","Fuzz"
"MadeByMike","Saltstorm Overdrive","Overdrive"
"MadeByMike","Dist²","Distortion"
"MadeByMike","Dist²","Overdrive"
"Menatone","Red Snapper","Overdrive"
"Menatone","Red Snapper 4 Knob","Overdrive"
"Menatone","Blue Collar Mojo","Overdrive"
"Menatone","Blue Collar","Overdrive"
"Menatone","PiG","Fuzz"
"Menatone","Law Bender","Fuzz"
"Menatone","Ms. Foxy Brown","Overdrive"
"Nobels","ODR-1","Overdrive"
"Outlaw Effects","Five O'Clock Fuzz","Fuzz"
"Outlaw Effects","Dead Man's Hand 2-Mode Overdrive","Overdrive"
"Outlaw Effects","Lock Stock & Barrel 3-Mode Distortion","Distortion"
"Outlaw Effects","Deputy Marshall Plexi Distortion","Distortion"
"Outlaw Effects","The Snitch 2-Mode Distortion","Distortion"
"Outlaw Effects","The General Germanium Fuzz","Fuzz"
"Outlaw Effects","Cactus Juice 2-Mode Overdrive","Overdrive"
"Outlaw Effects","Dumbleweed D-Style Amp Overdrive","Overdrive"
"Outlaw Effects","Widow Maker Metal Distortion","Distortion"
"Pettyjohn Electronics","ODI","Overdrive"
"Pettyjohn Electronics","RAIL","Fuzz"
"Pettyjohn Electronics","RAIL","Distortion"
"Pettyjohn Electronics","ROUS","Distortion"
"Pettyjohn Electronics","GOLD3","Overdrive"
"Pettyjohn Electronics","CHIME3","Overdrive"
"Pettyjohn Electronics","IRON3","Overdrive"
"Pettyjohn Electronics","EDGE","Overdrive"
"Pettyjohn Electronics","GOLD MKII","Overdrive"
"Pettyjohn Electronics","IRON MKII","Overdrive"
"Pettyjohn Electronics","CHIME MKII","Overdrive"
"Rainger FX","Pull Focus","Distortion"
"Rainger FX","Pull Focus","Overdrive"
"Retro Mechanical Labs","Electron Fuzz Custom","Fuzz"
"Retro Mechanical Labs","Electron Fuzz Custom Retro","Fuzz"
"Retro Mechanical Labs","432k Rev 2.1 Distortion","Distortion"
"Retro Mechanical Labs","EFC Mini Distortion","Distortion"
"Retro Mechanical Labs","EFCcv Distortion","Distortion"
"Retro Mechanical Labs","Mig Fuzz SE","Fuzz"
"Reuss Musical Instruments","Electricity Fuzz","Fuzz"
"Reuss Musical Instruments","Backslide Overdrive","Overdrive"
"Rockbox","Boiling Point","Overdrive"
"Rocktron","Rampage","Distortion"
"Roger Mayer","Voodoo-1","Fuzz"
"Roger Mayer","Axis Fuzz","Fuzz"
"Roger Mayer","Mongoose","Fuzz"
"RYRA","The Klone","Overdrive"
"RYRA","The Klone V2","Overdrive"
"Shin's Music","Dumbloid","Overdrive"
"Shin's Music","Dumbloid B Boost","Overdrive"
"Sinvertek","N5+ Distortion","Distortion"
"Smallsound/Bigsound","Mini","Fuzz"
"Smallsound/Bigsound","Mini","Overdrive"
"Smallsound/Bigsound","Fuck","Distortion"
"Smallsound/Bigsound","Year of the Rat","Fuzz"
"Supro","Supro Fuzz","Fuzz"
"Tone City","Golden Plexi","Overdrive"
"Tone City","King of Blues","Overdrive"
"Toneczar","Openhaus","Fuzz"
"Toneczar","Openhaus","Distortion"
"Vertex Effects","Steel String","Overdrive"
"Vertex Effects","Ultra Phonix","Overdrive"
"Vick Audio","73 Ram's Head","Fuzz"
"Vick Audio","V2 Violet Ram","Fuzz"
"WMD Devices","Geiger Counter","Distortion"
"WMD Devices","Geiger Counter Pro","Distortion"
"Xvive Audio","Golden Brownie","Overdrive"
"Yamaha","OD-10","Overdrive"
"DeadastronautFX","EasyDriver","Overdrive"
"DeadastronautFX","X-Fuzz II","Fuzz"
"DeadastronautFX","Black Triangle","Overdrive"
"DeadastronautFX","Skinwalker","Distortion"
