Builder,Pedal,Type
"Baddy One Shoe Pedals","Heartbreaker","Overdrive"
"Baddy One Shoe Pedals","Honeycomb","Overdrive"
"Baddy One Shoe Pedals","Infinity Drive","Overdrive"
"Baddy One Shoe Pedals","Punch & Grind","Overdrive"
"Baddy One Shoe Pedals","The Junk Puncher","Fuzz"
"Baddy One Shoe Pedals","Wayfarer","Overdrive"
"D&M","Distortion","Distortion"
"DW Labs","D3P Multi-Distortion","Distortion"
"Fuhrmann","Big Fuzz","Fuzz"
"Fuhrmann","Classic Fuzz","Fuzz"
"Fuhrmann","Punch Box","Distortion"
"GuitarSlinger Effects","87 MKIII High Gain Distortion","Distortion"
"Tribute Audio Designs","The Classy Lady","Overdrive"
