record_id	marketed_identity	model_or_family	country	period	physical_builder	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-OEM-031	Kimberly	Fuzz Box and Volume Expander v1	USA	Fall 1966	LIMMCO / in-house production	initial manufacturer state	HIGH	RESEARCH_VALIDATED	Effects Database explicitly distinguishes v1 as made by LIMMCO before the later Applied version; Tone Machines cites Bob Seidman saying the first run was made in LIMMCO's Long Island warehouse before third-party production was hired.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html
US-OEM-032	Kimberly	Buzz Box and Volume Expander v2	USA	late 1960s	Applied Audio Products Inc.	OEM manufacturing transition	HIGH	RESEARCH_VALIDATED	Effects Database labels v2 as Applied; Tone Machines reconstructs an intermediate Applied production stage between LIMMCO's initial in-house build and the later UMI redesign.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-OEM-033	Kimberly	Buzz Box and Volume Expander later state	USA	late 1960s-early 1970s	UMI (United Musical Industries)	production successor / redesign	HIGH	RESEARCH_VALIDATED	Effects Database links later Kimberly-related Buzz Box production to UMI and distinguishes the UMI-branded Apollo and Conrad states; this is kept separate from the Applied stage.	https://www.effectsdatabase.com/model/kimberly/buzzbox	https://www.effectsdatabase.com/model/umi/buzztone
US-OEM-034	Audio Designs	Fuzzound	USA	late 1960s candidate	Applied Audio Products Inc.	OEM marketed state	MEDIUM	RESEARCH_ONLY	Effects Database groups Audio Designs Fuzzound with Applied's Kimberly/Volume Expander family. The relationship is retained as a research candidate because direct period factory documentation is limited.	https://www.effectsdatabase.com/model/kimberly/buzzbox	https://www.effectsdatabase.com/model/kimberly/fuzzbox
US-OEM-035	Apollo	No. 843 Buzz Box & Volume Expander	USA	later 1960s-early 1970s	UMI (United Musical Industries)	OEM marketed state	HIGH	RESEARCH_VALIDATED	Effects Database groups Apollo No. 843 with the later UMI production branch of the Kimberly design family, distinct from the earlier Applied stage.	https://www.effectsdatabase.com/model/umi/buzztone	https://www.effectsdatabase.com/model/kimberly/buzzbox
US-OEM-036	Conrad	Buzz Box & Volume Expander	USA	later 1960s-early 1970s	UMI (United Musical Industries)	OEM marketed state	HIGH	RESEARCH_VALIDATED	Effects Database groups Conrad Buzz Box & Volume Expander with the later UMI branch; Conrad is retained as a marketed identity, not treated as the physical builder.	https://www.effectsdatabase.com/model/conrad/buzzbox	https://www.effectsdatabase.com/model/umi/buzztone
US-OEM-037	UMI	Buzz Tone & Volume Expander	USA	later 1960s-early 1970s	UMI (United Musical Industries)	physical manufacturer / later family state	HIGH	RESEARCH_VALIDATED	Effects Database describes the UMI Buzz Tone & Volume Expander as a later closely related design descended from earlier Kimberly and Applied Electronics models, with continuity of the two-stage fuzz/boost concept.	https://www.effectsdatabase.com/model/umi/buzztone	https://www.effectsdatabase.com/model/kimberly/buzzbox
US-OEM-038	Nomad	Banshee Fuzz	USA	1968 onward, exact end date unknown	Applied Audio Products Inc.	OEM marketed state	MEDIUM	RESEARCH_ONLY	Tone Machines states Banshee Fuzz units were sold under Nomad and Applied brands but cautions that manufacturing dates are unknown; Nomad was a LIMMCO house brand. The exact start date is not inherited from the 1968 date of the LIMMCO relationship without model-specific evidence.	https://www.tonemachinesblog.com/2025/09/	https://www.effectsdatabase.com/model/nomad/banshee
US-OEM-039	Nomad	Rogue Fuzz	USA	late 1960s-1970s	Applied Audio Products Inc.	OEM manufacturing / LIMMCO distribution	HIGH	RESEARCH_VALIDATED	Tone Machines identifies the Rogue Fuzz as made by Applied Audio and places it in the later Nomad effects sequence after Banshee; LIMMCO is treated as the distribution/house-brand connection rather than the factory.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.effectsdatabase.com/model/applied/rogue
US-OEM-040	Nomad	Super Fuzz	USA	1966-1967 candidate	UNRESOLVED	possible separate OEM / not Applied-derived	MEDIUM	HOLD_FOR_REVIEW	Tone Machines and Effects Database treat the Nomad Super Fuzz as a possible mid-1960s Mosrite Fuzzrite-related OEM, while explicitly noting that the Nomad relationship to Mosrite remains unresolved. It must stay separate from later Applied Nomad products.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.effectsdatabase.com/model/nomad/superfuzz
US-OEM-041	LIMMCO	Nomad distribution relationship	USA	late 1960s-1970s	LIMMCO (Long Island Musical Merchandise Co.)	distribution / house-brand relationship	HIGH	RESEARCH_VALIDATED	Tone Machines identifies Nomad as a LIMMCO house brand and describes LIMMCO as the distributor connecting Nomad with Applied Audio; LIMMCO is not promoted as the physical builder of the later Applied Nomad fuzzes.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.tonemachinesblog.com/2025/09/
