record_id	marketed_identity	model_or_family	country	period	physical_builder	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-OEM-021	Applied	Fuzz and Treble Booster FT-100	USA	c.1968-late 1960s	Applied Audio Products Inc.	physical manufacturer / base OEM	HIGH	RESEARCH_VALIDATED	Tone Machines identifies Applied Fuzz and Treble Booster as the common production platform behind multiple OEM labels; surviving pot dates cluster 1966-1968, while documented St. Louis Music Supply advertisements establish an early-1968 public sales window. Exact first-production date remains open.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.effectsdatabase.com/model/crown/fuzztreblebooster
US-OEM-022	Crown	Fuzz and Treble Booster	USA	late 1960s	Applied Audio Products Inc.	OEM marketed state	HIGH	RESEARCH_VALIDATED	Effects Database identifies the Crown Fuzz and Treble Booster as an early Applied Audio version and lists Goya, Giulietti, Sano and Lou Rose marketed states. Crown remains a label identity rather than a builder record.	https://www.effectsdatabase.com/model/crown/fuzztreblebooster	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-OEM-023	Lou Rose	Fuzz and Treble Booster	USA	1968	Applied Audio Products Inc.	OEM / retailer-branded state	HIGH	RESEARCH_VALIDATED	Tone Machines documents Lou Rose Music Center distribution in Edison, New Jersey, including a September 1968 opening-weekend offering; the unit belongs to the Applied Fuzz and Treble Booster family.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.effectsdatabase.com/model/crown/fuzztreblebooster
US-OEM-024	Goya	Fuzz and Treble Booster	USA	late 1960s	Applied Audio Products Inc.	OEM marketed state	HIGH	RESEARCH_VALIDATED	Effects Database identifies Goya as one of the labels used for early Applied fuzz and treble booster production; exact Goya model-period mapping remains separately cataloged.	https://www.effectsdatabase.com/model/crown/fuzztreblebooster	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-OEM-025	Kadent	Treblefuzz	USA	pre-1968 candidate	Applied Audio Products Inc.	possible earlier OEM state	MEDIUM	HOLD_FOR_REVIEW	Tone Machines identifies the Kadent Treblefuzz as clearly from the same builder as the Applied fuzz platform but notes meaningful construction and circuit differences that may indicate an earlier build. It is retained as a candidate, not a confirmed exact predecessor.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.effectsdatabase.com/model/crown/fuzztreblebooster
US-OEM-026	Applied	Rogue Fuzz	USA	c.1967-1973	Applied Audio Products Inc.	physical manufacturer / shared OEM family	HIGH	RESEARCH_VALIDATED	Effects Database records the Applied Rogue as a U.S.-made wedge-style fuzz and notes consistent construction across Applied, Kadent and Nomad branding. Its relationship to the Hohner MF-50 enclosure remains a shared-form candidate rather than proof of identical manufacture.	https://www.effectsdatabase.com/model/applied/rogue	https://www.effectsdatabase.com/model/hohner/soundmodifier/tridirtybooster
US-OEM-027	Kadent	Rogue Fuzz	USA	c.1967-1973	Applied Audio Products Inc.	OEM marketed state	MEDIUM	RESEARCH_ONLY	Effects Database places Kadent Rogue Fuzz within the same Applied Rogue family. Retained as an OEM marketed state pending more model-specific primary documentation.	https://www.effectsdatabase.com/model/applied/rogue	https://www.effectsdatabase.com/model/kadent/rogue
US-OEM-028	Nomad	Rogue Fuzz	USA	c.1967-1973	Applied Audio Products Inc.	OEM marketed state	MEDIUM	RESEARCH_ONLY	Effects Database places Nomad Rogue Fuzz within the same Applied Rogue family. Retained separately from the Applied builder record.	https://www.effectsdatabase.com/model/applied/rogue	https://www.effectsdatabase.com/model/nomad/rogue
US-OEM-029	Guild	FW-3 Fuzz-Wah Volume	USA	c.1970-1974	Applied Audio Products Inc.	OEM manufacturing	HIGH	RESEARCH_VALIDATED	Guild partnered with Applied Audio for the FW-3; Effects Database documents the Guild version as Applied-built and identifies multiple other marketed states in the same family.
https://catalinbread.com/blogs/catalinbread-cabinet/guild-fw-3-fuzz-wah	https://www.effectsdatabase.com/model/guild/fw3
US-OEM-030	V-Jay	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM marketed state	HIGH	RESEARCH_VALIDATED	Effects Database identifies the V-Jay FW-3 as U.S.-made by Applied Audio and lists Guild, Crown, Kadent, Jax-USA, Atlantic, Lou Rose, Magnum and Nomad as related labels.
https://www.effectsdatabase.com/model/vjay/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
