candidate_id	marketed_identity	model_or_family	country	period	physical_builder_candidate	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-OEM-AP-001	Applied	FW-3 Fuzz-Wah	USA	late 1960s-early 1970s	Applied Audio Products Inc.	PHYSICAL_MANUFACTURER	HIGH	RESEARCH_VALIDATED	Effects Database documents the Applied FW-3 as U.S.-made by Applied Audio and lists the major marketed variants under Guild, Crown, Kadent, Jax-USA, Atlantic, Lou Rose, Magnum, Nomad and V-Jay.	https://www.effectsdatabase.com/model/applied/fuzzwah	https://www.effectsdatabase.com/model/crown/fw3
US-OEM-AP-002	Guild	FW-3 Distortion Wah Volume	USA	c.1970-1978	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Guild FW-3 is explicitly documented as an Applied-built U.S. OEM state; retain Guild as marketed identity rather than builder.	https://www.effectsdatabase.com/model/guild/fw3	https://catalinbread.com/blogs/catalinbread-cabinet/guild-fw-3-fuzz-wah
US-OEM-AP-003	Crown	FW-3 Distortion Wah Volume	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Crown FW-3 is documented as part of the Applied FW-3 OEM family.	https://www.effectsdatabase.com/model/crown/fw3	https://www.effectsdatabase.com/model/crown/fuzztreblebooster
US-OEM-AP-004	Kadent	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Kadent FW-3 is documented as U.S.-produced by Applied Audio and shares the Applied FW-3 platform.	https://www.effectsdatabase.com/model/kadent/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-005	Lou Rose	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Lou Rose FW-3 is explicitly documented as manufactured by Applied Audio in the U.S. and distributed through Lou Rose Music.	https://www.effectsdatabase.com/model/lourose/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-006	V-Jay	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	V-Jay FW-3 is documented as U.S.-made by Applied Audio and listed as a marketed variant of the Applied FW-3.	https://www.effectsdatabase.com/model/vjay/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-007	Hohner	FW-10 Dirty Wah'er	USA	1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	The Applied FW-3 family index links Hohner FW-10 Dirty Wah'er to the Applied FW-3 OEM line; retain the Hohner identity separately.	https://www.effectsdatabase.com/model/crown/fw3	https://www.tonemachinesblog.com/2025/09/
US-OEM-AP-008	Hohner	ME-30 Multi-Exciter	USA	1977	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Tone Machines documents Applied Audio's 1977 Hohner ME-30 as a U.S. reintroduction of the Shin-Ei ME-7-derived Surf/Siren family; this is an OEM relationship, not a Shin-Ei physical-build attribution.	https://www.tonemachinesblog.com/2025/09/surf-siren-wah-tornado.html	https://www.effectsdatabase.com/model/crown/fw3
US-OEM-AP-009	Hohner	MF-50 Master Fuzz Control	Japan	1973-1974	Shin-Ei / Companion production	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Hohner's MF-50 is documented within the Shin-Ei Companion FY-6 ecosystem and predates Hohner's later Applied Audio-built Sound Modifier lineup.
https://www.effectsdatabase.com/model/hohner/shinei/masterfuzzcontrol	https://www.tonemachinesblog.com/2023/
US-OEM-AP-010	Hohner	Tri Dirty Booster	USA	1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Tone Machines documents Hohner's later Sound Modifier connection with Applied Audio and identifies the Tri-Dirty Booster within that Applied-built lineup.	https://www.tonemachinesblog.com/2025/09/	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-OEM-AP-011	Hohner	FW-10 / WW-20 wah family	USA	1970s	Applied Audio Products Inc.	OEM_FAMILY_RELATIONSHIP	MEDIUM	RESEARCH_ONLY	Applied's FW-3 and wah OEM index associates Hohner FW-10 and WW-20 with the Applied product family; retain model-specific sourcing before treating every Hohner wah variant as the same build state.	https://www.effectsdatabase.com/model/crown/fw3	https://www.effectsdatabase.com/model/vjay/fw3
US-OEM-AP-012	Goya	Panther Box Fuzz-Tone and Treble Boost	USA	1967-1969	Applied Audio Products Inc.	OEM_MANUFACTURING	MEDIUM	RESEARCH_ONLY	Tone Machines presents a strong multi-source reconstruction that post-1966 Goya effects were made by Applied Audio, including Panther Box; retained below public-promotion threshold because the attribution is specialist-research synthesis rather than a direct factory statement.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.tonemachinesblog.com/2025/09/
