record_id	marketed_identity	model_or_family	country	period	physical_builder	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-OEM-AP-018	Jax-USA	FW-3 Distortion Wah Volume	USA	late 1960s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Effects Database explicitly identifies the Jax-USA FW-3 as manufactured in the United States by Applied Audio and places it inside the Applied FW-3 OEM line alongside Guild, Crown, Kadent, Atlantic, Lou Rose, Magnum, Nomad, and V-Jay.	https://www.effectsdatabase.com/model/jax/usa/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-019	Atlantic	FW-3 Distortion Wah Volume	USA	late 1960s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Effects Database identifies the Atlantic FW-3 as U.S.-made by Applied Audio and notes that it shares the Applied FW-3 circuitry and layout, differing in cosmetic presentation.	https://www.effectsdatabase.com/model/atlantic/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-020	Magnum	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Effects Database documents the Magnum FW-3 as a U.S.-made Applied Audio product within the FW-3 OEM series.	https://www.effectsdatabase.com/model/magnum/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-021	Nomad	Fuzz Wah	USA	late 1960s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Effects Database identifies the Nomad Fuzz Wah as Applied Audio production and places it in the same FW-3 family. Nomad remains the marketed identity, while LIMMCO is treated separately as the distribution/house-brand context.	https://www.effectsdatabase.com/model/nomad/fuzzwah	https://www.tonemachinesblog.com/2025/09/
US-OEM-AP-022	V-Jay	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM_MARKETED_STATE	HIGH	RESEARCH_VALIDATED	Effects Database identifies the V-Jay FW-3 as manufactured in the United States by Applied Audio and as part of the same FW-3 marketed family.	https://www.effectsdatabase.com/model/vjay/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-023	Crown	FW-3 Distortion Wah Volume	USA	late 1960s-early 1970s	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	Effects Database explicitly identifies the Crown FW-3 as produced in the United States by Applied Audio and as a marketed state of the Applied FW-3.	https://www.effectsdatabase.com/model/crown/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-OEM-AP-024	Guild	FW-3 Distortion Wah Volume	USA	1970-1978 catalog window	Applied Audio Products Inc.	OEM_MANUFACTURING	HIGH	RESEARCH_VALIDATED	The Guild FW-3 is independently documented as an Applied-built U.S. OEM model, with Effects Database listing the 1970-1978 catalog window and Catalinbread preserving the Applied/Guild historical relationship.	https://www.effectsdatabase.com/model/guild/fw3	https://catalinbread.com/blogs/catalinbread-cabinet/guild-fw-3-fuzz-wah
US-OEM-AP-025	Applied	FW-3 Fuzz-Wah	USA	late 1960s	Applied Audio Products Inc.	BASE_OEM_PLATFORM	HIGH	RESEARCH_VALIDATED	The Applied-branded FW-3 is the base U.S. production platform from which the listed OEM labels appear. The archive keeps the platform record distinct from each marketed identity.	https://www.effectsdatabase.com/model/applied/fuzzwah	https://www.effectsdatabase.com/model/crown/fw3
US-OEM-AP-026	Applied	Banshee Wah	USA	date unresolved	Applied Audio Products Inc.	PHYSICAL_MANUFACTURER	MEDIUM	RESEARCH_ONLY	Effects Database links Applied Banshee Wah to the Applied Wah Wah OEM family. Tone Machines notes that related Banshee fuzz products have unknown manufacturing dates, so broad family dating is not inherited here.	https://www.effectsdatabase.com/model/banshee/wah	https://www.tonemachinesblog.com/2025/09/
US-OEM-AP-027	Hohner	WW-20 Wah-Wah'er	USA	1970s	Applied Audio Products Inc.	OEM_FAMILY_RELATIONSHIP	MEDIUM	RESEARCH_ONLY	The Applied OEM index places Hohner WW-20 in the Applied Wah Wah family, but model-specific production evidence is thinner than for Guild VW-1 or the FW-3 variants. Kept below public-promotion threshold.	https://www.effectsdatabase.com/model/banshee/wah	https://www.effectsdatabase.com/model/crown/fw3
