record_id	marketed_identity	model_or_family	country	period	physical_builder_candidate	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-AP-FW3-001	Applied	FW-3 Fuzz-Wah	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	physical manufacturer	HIGH	RESEARCH_VALIDATED	Effects Database identifies the Applied FW-3 as a U.S.-made multi-effect combining fuzz, wah, and volume. The same source enumerates a cluster of OEM-marketed versions under Guild, Crown, Kadent, Jax-USA, Atlantic, Lou Rose, Magnum, Nomad, and V-Jay.	https://www.effectsdatabase.com/model/applied/fuzzwah	https://www.tonemachinesblog.com/2025/09/
US-AP-FW3-002	Nomad	Fuzz Wah	USA	late 1960s	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	The Nomad Fuzz Wah is separately cataloged as an Applied FW-3 family product. This is distinct from the unresolved early Nomad Super Fuzz and from the Nomad Tone Booster linked to UMI.	https://www.effectsdatabase.com/model/nomad/fuzzwah	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html
US-AP-FW3-003	Magnum	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Effects Database identifies the Magnum FW-3 as an Applied Audio product and places it in the same OEM FW-3 family.	https://www.effectsdatabase.com/model/magnum/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-AP-FW3-004	Atlantic	FW-3 Distortion Wah Volume	USA	late 1960s	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Atlantic FW-3 is cataloged as an Applied Audio product in the same OEM family. Its relationship is model-specific and does not imply Atlantic controlled the factory.	https://www.effectsdatabase.com/model/atlantic/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-AP-FW3-005	Jax-USA	FW-3 Distortion Wah Volume	USA	late 1960s	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Jax-USA FW-3 is cataloged as manufactured by Applied Audio and sold under the Jax-USA name as part of the OEM line.	https://www.effectsdatabase.com/model/jax/usa/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-AP-FW3-006	Lou Rose	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Lou Rose FW-3 is cataloged as an Applied Audio product distributed through Lou Rose Music in Edison, New Jersey. The model belongs to the same FW-3 OEM family.	https://www.effectsdatabase.com/model/lourose/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-AP-FW3-007	Crown	FW-3 Distortion Wah Volume	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Crown FW-3 is cataloged as a U.S.-made Applied Audio product and shares the FW-3 family identity with the other branded versions.	https://www.effectsdatabase.com/model/crown/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-AP-FW3-008	Kadent	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Kadent FW-3 is cataloged as produced by Applied Audio and sold under the Kadent name. The family relationship is model-specific rather than inferred from cosmetic similarity.	https://www.effectsdatabase.com/model/kadent/fw3	https://www.effectsdatabase.com/model/applied/fuzzwah
US-AP-FW3-009	V-Jay	FW-3 Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	OEM / marketed-label state	MEDIUM	RESEARCH_ONLY	Effects Database catalogs the V-Jay FW-3 as Applied-made, but portions of the current entry contain detailed construction and dating claims that should be treated cautiously until corroborated by period documentation. The family assignment itself is retained as research-grade.	https://www.effectsdatabase.com/model/vjay/fw3	https://www.tonemachinesblog.com/2025/09/
US-AP-FW3-010	LIMMCO / Nomad	FW-3 supply-chain context	USA	late 1960s-early 1970s	LIMMCO as house-brand/distribution context; Applied Audio as physical builder	distribution / house-brand context	MEDIUM	RESEARCH_ONLY	Tone Machines identifies Nomad as a LIMMCO house brand and separately identifies Nomad Fuzz Wah as an Applied FW-3 state. This supports a LIMMCO-to-Applied supply-chain connection for this specific model state, not a blanket rule for all Nomad products.	https://www.tonemachinesblog.com/2025/09/	https://www.effectsdatabase.com/model/nomad/fuzzwah
US-AP-FW3-011	Nomad	Super Fuzz	USA	late 1960s	unknown	separate unresolved product state	HIGH	RESEARCH_VALIDATED	The early Nomad Super Fuzz must remain isolated from the later Applied FW-3 Nomad Fuzz Wah. Current research describes a germanium Fuzzrite-type relationship but does not establish an Applied Audio build or a direct Mosrite OEM transaction.
https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.tonemachinesblog.com/2024/11/mystery-of-east-coast-fuzz.html
