builder	model_or_family	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
Catalinbread	Dirty Little Secret	OVERDRIVE	2008-2009	ENUMERATED	PRIMARY_COMPANY_HISTORY	Company history places the DLS release in 2008-2009; Effects Database publication is Jan. 12, 2009. Preserve early prototype and later MkII/reissue states separately.	https://www.effectsdatabase.com/model/catalinbread/dirtylittlesecret ; https://www.effectsdatabase.com/model/catalinbread
Catalinbread	SFT	OVERDRIVE	2009	ENUMERATED	SECONDARY_HISTORICAL	Bass-oriented overdrive that also became a major guitar dirt product; Effects Database publication Jun. 19, 2009.	https://www.effectsdatabase.com/model/catalinbread/sft
Catalinbread	WIIO	OVERDRIVE	2009	ENUMERATED	SECONDARY_HISTORICAL	British-amp-inspired overdrive; Effects Database publication Oct. 20, 2009. First-batch and later-look states should remain distinct.	https://www.effectsdatabase.com/model/catalinbread/wiio
Catalinbread	Formula No. 5 / FN5	OVERDRIVE	2010	ENUMERATED	SECONDARY_HISTORICAL	Tweed-amp-inspired original overdrive; Effects Database publication Feb. 14, 2010. Later design/reissue states are not merged with the first presentation.	https://www.effectsdatabase.com/model/catalinbread/formula5
Catalinbread	Merkin	FUZZ	2010	ENUMERATED	SECONDARY_HISTORICAL	Silicon fuzz with octave-up capability and large texture range; publication Aug. 3, 2010. 2025 reissue remains a later state.	https://www.effectsdatabase.com/model/catalinbread/merkin
Catalinbread	Manx Loaghtan	DISTORTION	2011	ENUMERATED	PRIMARY_COMPANY_HISTORY	Company chronology places Manx Loaghtan in the 2011 release group; exact first-sale date remains secondary-era evidence.	https://www.effectsdatabase.com/model/catalinbread
Catalinbread	Dirty Little Secret MkII	OVERDRIVE	2011	ENUMERATED	PRIMARY_COMPANY_HISTORY	Company chronology explicitly places DLS MkII in 2011; retain as a generation rather than treating the suffix as artwork-only.	https://www.effectsdatabase.com/model/catalinbread ; https://www.effectsdatabase.com/model/catalinbread/dirtylittlesecret
Catalinbread	CB30	OVERDRIVE	2011	ENUMERATED	PRIMARY_COMPANY_HISTORY	Company chronology places CB30 in 2011; exact first-publication date requires later catalog refinement.	https://www.effectsdatabase.com/model/catalinbread
Catalinbread	Naga Viper	OVERDRIVE	2011	ENUMERATED	PRIMARY_COMPANY_HISTORY	Company chronology places the Naga Viper in 2011; preserve as a separate model/family from later reissues.	https://www.effectsdatabase.com/model/catalinbread
Blackout Effectors	Fix'D Fuzz	FUZZ	2008	ENUMERATED	PRIMARY_BUILDER_INTERVIEW	Kyle Tompkins states Blackout began in early 2008 by releasing Fix'd Fuzz; Effects Database publication Jun. 23, 2008.	https://www.effectsdatabase.com/interviews/brands/blackout ; https://www.effectsdatabase.com/model/blackout/fixdfuzz
Blackout Effectors	Musket Fuzz	FUZZ	2008	ENUMERATED	SECONDARY_HISTORICAL	Early flagship fuzz; Effects Database publication Jun. 23, 2008. Later V2 and Blunderbuss relationship states must be separated.	https://www.effectsdatabase.com/model/blackout/musketfuzz
Blackout Effectors	FUBAR	FUZZ_DISTORTION	2008-2010s	ENUMERATED	SECONDARY_INDEX	Mapped in the 17-product lifetime catalog; exact first-release date requires follow-up.	https://www.effectsdatabase.com/model/blackout
Blackout Effectors	Fix'D Fuzz Deluxe	FUZZ	2009-2010s	ENUMERATED	SECONDARY_INDEX	Deluxe evolution of Fix'D Fuzz; do not merge with standard Fix'D Fuzz specimens.	https://www.effectsdatabase.com/model/blackout
Blackout Effectors	Fuzz Bear	FUZZ	2009-2010s	ENUMERATED	SECONDARY_INDEX	Distinct fuzz model in Blackout's lifetime catalog; early release corridor requires follow-up.	https://www.effectsdatabase.com/model/blackout
Blackout Effectors	Mantra	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Mapped Blackout overdrive model; exact original release date requires follow-up.	https://www.effectsdatabase.com/model/blackout
Blackout Effectors	Dual Gain Mantra	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Later two-channel/dual-gain evolution; keep separate from standard Mantra.	https://www.effectsdatabase.com/model/blackout
Blackout Effectors	Twosome / Special Twosome	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Dual-fuzz family with Deluxe and Special variants; retain product-state distinctions.	https://www.effectsdatabase.com/model/blackout
Blackout Effectors	A Very Special Twosome / A Seriously Special Twosome	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Special-edition dual-fuzz family records in lifetime catalog; edition names should not be collapsed.
https://www.effectsdatabase.com/model/blackout
Blackout Effectors	Blunderbuss	FUZZ_HYBRID	2010s	ENUMERATED	SECONDARY_INDEX	Hybrid fuzz derived from the Musket/Blunderbuss design corridor; preserve as its own marketed model.
https://www.effectsdatabase.com/model/blackout
Spaceman Effects	Spacerocket	FUZZ	2010	ENUMERATED	SECONDARY_HISTORICAL	Limited edition intermodulation/octave fuzz; initial edition limited to 70. An Aug. 16, 2010 builder update documents a control redesign, making this a useful generation boundary.
https://www.effectsdatabase.com/model/spaceman/spacerocket
Spaceman Effects	Gemini III	FUZZ	2011	ENUMERATED	SECONDARY_HISTORICAL	NAMM 2011 dual fuzz with parallel germanium and silicon circuits; Effects Database publication Jan. 15, 2011.
https://www.effectsdatabase.com/model/spaceman/gemini3
Spaceman Effects	Wow Signal	FUZZ	2012	ENUMERATED	SECONDARY_HISTORICAL	Special First Edition created with The Dandy Warhols; 30-unit copper edition documented. Anniversary reissue is a later state.
https://www.effectsdatabase.com/model/spaceman/wowsignal
Spaceman Effects	Saturn V	OVERDRIVE	2012	ENUMERATED	SECONDARY_HISTORICAL	Harmonic booster/low-gain overdrive; Effects Database publication Nov. 19, 2012. Later Saturn VI is a successor, not the same production state.
https://www.effectsdatabase.com/model/spaceman/saturn/v
Wampler Pedals	PlexTortion	DISTORTION	2007-2008	ENUMERATED	SECONDARY_HISTORICAL	Early JCM800-style distortion; Effects Database publication Nov. 2, 2007. Super Plextortion is separate.
https://www.effectsdatabase.com/model/wampler/plextortion
Wampler Pedals	Pinnacle	DISTORTION	2008	ENUMERATED	SECONDARY_HISTORICAL	Early high-gain distortion; Effects Database publication Feb. 1, 2008. Original versions and later reissue states must remain separate.
https://www.effectsdatabase.com/model/wampler/pinnacle/2
Wampler Pedals	Plexi-Drive	OVERDRIVE	2008	ENUMERATED	SECONDARY_HISTORICAL	British/JTM45-inspired overdrive; Effects Database publication Jan. 31, 2008.
https://www.effectsdatabase.com/model/wampler/plexidrive
Wampler Pedals	Ecstasy Drive	OVERDRIVE	2008	ENUMERATED	SECONDARY_HISTORICAL	Dumble-inspired dynamic overdrive; Effects Database publication Jan. 10, 2008. Later Euphoria naming/state remains linked but not collapsed.
https://www.effectsdatabase.com/model/wampler/ecstasydrive ; https://www.effectsdatabase.com/model/wampler/euphoria
Wampler Pedals	Hot Wired	OVERDRIVE_DISTORTION	2008	ENUMERATED	SECONDARY_HISTORICAL	Brent Mason signature overdrive/distortion; Effects Database publication Jan. 31, 2008. MkII is a later state.
https://www.effectsdatabase.com/model/wampler/brentmason
Wampler Pedals	Super Plextortion	DISTORTION	2009	ENUMERATED	SECONDARY_HISTORICAL	Higher-gain evolution of Plextortion; Effects Database publication Mar. 3, 2009.
https://www.effectsdatabase.com/model/wampler/plextortion/super
Wampler Pedals	Triple Recstortion / Triple Wreck	DISTORTION_FUZZ	2009	ENUMERATED	SECONDARY_HISTORICAL	Limited Triple Recstortion run of 100 preceded the expanded Triple Wreck; Effects Database publication Oct. 8, 2009 preserves the relationship.
https://www.effectsdatabase.com/model/wampler/triplewreck
Wampler Pedals	Paisley Drive	OVERDRIVE	2010	ENUMERATED	SECONDARY_HISTORICAL	Brad Paisley signature overdrive; Effects Database publication Sep. 24, 2010. Prototype and later variants remain separate.
https://www.effectsdatabase.com/model/wampler/paisley
Wampler Pedals	Euphoria	OVERDRIVE	2012	ENUMERATED	SECONDARY_HISTORICAL	Renaming/evolution of the earlier Ecstasy concept; Effects Database publication May 12, 2012. Treat as a documented product-state transition rather than a completely unrelated family.
https://www.effectsdatabase.com/model/wampler/euphoria
Wampler Pedals	Sovereign Distortion	DISTORTION	2012	ENUMERATED	SECONDARY_HISTORICAL	Standalone distortion released in 2012; Effects Database publication May 25, 2012.
https://www.effectsdatabase.com/model/wampler/sovereign
