builder	model_or_family	category	era_or_corridor	catalog_status	evidence_level	notes	source_trail
One Control	Anodized Brown Distortion	DISTORTION	2014 indexed appearance	ENUMERATED	SECONDARY_INDEX	One Control catalog also includes BJF-designed Baby Blue OD, Baltic Blue Fuzz, Cranberry OD, Golden Acorn, Honey Bee OD, Persian Green Screamer, Purple Plexifier, Rebel Red Distortion, Rocket Grey Fuzz, Silver Bee OD and other dirt products. Keep One Control as builder/brand and BJF as designer relationship.	https://www.effectsdatabase.com/model/onecontrol ; https://www.effectsdatabase.com/type/distortion?from=900&page=22
One Control	Baby Blue OD / BJF	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control, not a separate builder entity.	https://www.effectsdatabase.com/model/onecontrol
One Control	Baltic Blue Fuzz / BJF	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control.	https://www.effectsdatabase.com/model/onecontrol
One Control	Cranberry OverDrive / BJF	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control.	https://www.effectsdatabase.com/model/onecontrol
One Control	Golden Acorn Overdrive Special / BJF	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control.	https://www.effectsdatabase.com/model/onecontrol
One Control	Honey Bee OD / BJF	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control.	https://www.effectsdatabase.com/model/onecontrol
One Control	Persian Green Screamer / BJF	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control.	https://www.effectsdatabase.com/model/onecontrol
One Control	Purple Plexifier / BJF	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control.	https://www.effectsdatabase.com/model/onecontrol
One Control	Rebel Red Distortion	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	One Control retail model.	https://www.effectsdatabase.com/model/onecontrol
One Control	Rocket Grey Fuzz / BJF	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	BJF-designed product within One Control.	https://www.effectsdatabase.com/model/onecontrol
One Control	Silver Bee OD	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	One Control retail model in indexed catalog.	https://www.effectsdatabase.com/model/onecontrol
