builder	model_or_family	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
Dwarfcraft Devices	The Great Destroyer	FUZZ_DISTORTION	2008	ENUMERATED	SPECIALIST_INDEX	Early Dwarfcraft dirt anchor; indexed July/August 2008. Keep separate from later Secret Destroyer.	https://www.effectsdatabase.com/model/dwarfcraft/destroyer
Dwarfcraft Devices	HAX	FUZZ_HYBRID	2009	ENUMERATED	SPECIALIST_INDEX	Fuzz/ring-mod hybrid indexed July 2009.	https://www.effectsdatabase.com/model/dwarfcraft/hax
Dwarfcraft Devices	Eau Claire Thunder	FUZZ_DISTORTION	2009	ENUMERATED	SPECIALIST_INDEX	Major early fuzz/distortion family; later Baby Thundaa is a distinct smaller state.	https://www.effectsdatabase.com/model/dwarfcraft/eauclairethunder
Dwarfcraft Devices	Robot Devil	OCTAVE_FUZZ	2009	ENUMERATED	SPECIALIST_INDEX	Octave-fuzz/oscillation model, separate retail identity.	https://www.effectsdatabase.com/model/dwarfcraft/robotdevil
Dwarfcraft Devices	The Internet	OVERDRIVE	2010	ENUMERATED	SPECIALIST_INDEX	Analog overdrive with footswitchable gain boost, indexed September 2010.	https://www.effectsdatabase.com/model/dwarfcraft/internet
Dwarfcraft Devices	The Ronald Raygun: We Will All Be Dirt	FUZZ_DISTORTION	2010	ENUMERATED	TIMELINE_ANCHOR	Dwarfcraft timeline identifies 2010 release; preserve as distinct product/edition state.	https://www.effectsdatabase.com/model/dwarfcraft
Dwarfcraft Devices	Baby Thundaa / Baby Thunder	FUZZ_DISTORTION	2011	ENUMERATED	SPECIALIST_INDEX	Smaller enclosure/state derived from Eau Claire Thunder; 2011 NAMM-era indexed product. Includes a special nine-unit edition.	https://www.effectsdatabase.com/model/dwarfcraft/babythundaa
Dwarfcraft Devices	The Secret Destroyer	FUZZ_OSCILLATING	2011	ENUMERATED	SPECIALIST_INDEX	FuzzHugger-exclusive deluxe Great Destroyer variant; retain as separate limited retail state.	https://www.effectsdatabase.com/model/dwarfcraft/secretdestroyer
Smallsound/Bigsound	Team_Awesome Fuzzmachine	FUZZ_HYBRID	2008+	ENUMERATED	SPECIALIST_INDEX	Core early dirt product; indexed October 2008 and designed with bass use and clean blend in mind.	https://www.effectsdatabase.com/model/smallsoundbigsound/teamawesome
Smallsound/Bigsound	Year 2525	FUZZ_OSCILLATING	2010	ENUMERATED	SPECIALIST_INDEX	Published July 2010; distinctive fuzz/oscillator product.	https://www.effectsdatabase.com/model/smallsoundbigsound/year2525
Smallsound/Bigsound	Fuck Overdrive	OVERDRIVE	2011	ENUMERATED	SPECIALIST_INDEX	Published February 2011; warm JFET overdrive with gain range into fuzz.	https://www.effectsdatabase.com/model/smallsoundbigsound/fuckoverdrive
Smallsound/Bigsound	Poly-Grace	FUZZ_HYBRID	2011	ENUMERATED	SPECIALIST_INDEX	Published August 2011; interactive fuzz with selectable output/speaker-driver behavior.	https://www.effectsdatabase.com/model/smallsoundbigsound/polygrace
Smallsound/Bigsound	Hawk	FUZZ_OVERDRIVE	2012	ENUMERATED	SPECIALIST_INDEX	Published June 2012; overdrive/fuzz hybrid with gated behavior.	https://www.effectsdatabase.com/model/smallsoundbigsound/hawk
Fuzzrocious Pedals	Grey Stache	FUZZ	2009+	ENUMERATED	TIMELINE_INTERVIEW	Ryan Ratajski developed the Grey Stache after earlier kit/cloning work; preserve original and later Stache states separately.	https://www.effectsdatabase.com/interviews/brands/fuzzrocious ; https://www.effectsdatabase.com/model/fuzzrocious
