builder	model_or_family	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
Greenhouse Effects	Goldrive	OVERDRIVE	2005-2014	ENUMERATED	SECONDARY_INDEX	Greenhouse timeline says first Goldrive sold March 2005; later catalog includes Goldrive and Goldrive XL. Preserve early product identity separately from later revisions.	https://www.effectsdatabase.com/model/greenhouse
Greenhouse Effects	Goldrive XL	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Expanded Goldrive family member in indexed catalog.	https://www.effectsdatabase.com/model/greenhouse
Greenhouse Effects	Finger Fuzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Greenhouse fuzz product.	https://www.effectsdatabase.com/model/greenhouse
Greenhouse Effects	Jurassic Fuzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Greenhouse fuzz product.	https://www.effectsdatabase.com/model/greenhouse
Greenhouse Effects	Outlier	OVERDRIVE_DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Indexed dual drive/distortion product.	https://www.effectsdatabase.com/model/greenhouse
Greenhouse Effects	Roots Fuzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Roots-series fuzz with dual-switching system.	https://www.effectsdatabase.com/model/greenhouse
Greenhouse Effects	Double Edged	OVERDRIVE_DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Dual-channel distortion/drive product; preserve as separate family identity.	https://www.effectsdatabase.com/model/greenhouse
Greenhouse Effects	Self-Titled	MODULAR_DIRT_HYBRID	2014	ENUMERATED	SECONDARY_HISTORICAL	2014 modular analog platform can be reconfigured as overdrive, booster, fuzz, tremolo and other functions; do not force every module into separate permanent retail models.	https://www.effectsdatabase.com/model/greenhouse/selftitled
Bearfoot FX	Honey Bee Overdrive	OVERDRIVE	2011-2014	ENUMERATED	PRIMARY_TIMELINE_SECONDARY_CATALOG	BearFoot opened February 22, 2011; Honey Bee is part of its BJF/DonnerBox lineage. Keep BearFoot as collaboration/retail entity distinct from BJF Electronics.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Honey Beest Overdrive	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Expanded Honey Bee family.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Dyna Red Distortion	DISTORTION	2011-2014	ENUMERATED	SECONDARY_INDEX	Early BearFoot high-gain dirt family member.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Dyna Red Hot Distortion	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Higher-output/high-gain Dyna Red family state.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Candy Apple Fuzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Core Apple Fuzz family; later gated and silicon variants must remain linked but distinct.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Gated Apple Fuzz	FUZZ	2014	ENUMERATED	SECONDARY_HISTORICAL	Published February 17, 2014; gated extension of Candy Apple Fuzz family.	https://www.effectsdatabase.com/model/bearfoot/applefuzz/gated
Bearfoot FX	Candiru Apple Fuzz	FUZZ	2014	ENUMERATED	SECONDARY_HISTORICAL	Published February 17, 2014; silicon gated member of Apple Fuzz family.	https://www.effectsdatabase.com/model/bearfoot/applefuzz/candiru
