canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Bell Electrolabs	CANONICAL	United Kingdom	1977-1982	Fuzz	fuzz	INDEXED_BASELINE_MAPPED	1978 period advertisement confirms Fuzz module; Stan Wilson identified as designer in Tony Koorlander interview	https://www.worldradiohistory.com/Archive-All-Music/International-Musician/70s/International-Musician-1978-08.pdf ; https://blackguitars.com/bell-electrolabs.html
Bell Electrolabs	CANONICAL	United Kingdom	1977-1982	Sustain	fuzz-hybrid	INDEXED_RELATIONSHIP	Period Bell Modular System product; distinguish from Fuzz	https://www.worldradiohistory.com/Archive-All-Music/International-Musician/70s/International-Musician-1978-08.pdf ; https://www.muzines.co.uk/articles/bell-modular-system/12958
Bell Electrolabs	CANONICAL	United Kingdom	1977-1982	Mother	boundary	INDEXED_RELATIONSHIP	Power/module base unit for Bell system, excluded from central dirt count	https://blackguitars.com/bell-electrolabs.html
Gretsch	MARKETED_BRAND_ENTITY	USA	Early 1970s	Expandafuzz	fuzz	INDEXED_BASELINE_MAPPED	Gretsch integrated dirt/effects unit; factory unresolved; JEN OEM relationship applies to specific Playboy products, not automatically to Expandafuzz	https://www.tonemachinesblog.com/2012/06/gretsch-expandafuzz-1973.html ; https://www.newcutstudios.co.uk/kicking-pedals-and-casting-pearls-before-sine-waves
Gretsch	MARKETED_BRAND_ENTITY	USA	Early 1970s	Controfuzz	fuzz	INDEXED_RELATIONSHIP	Fuzz section associated with Expandafuzz; manufacturing unresolved	https://www.tonemachinesblog.com/2012/06/gretsch-expandafuzz-1973.html
Gretsch	MARKETED_BRAND_ENTITY	USA	Early 1970s	Harmon Booster	boost-dirt-boundary	INDEXED_RELATIONSHIP	JEN-built Playboy Series relationship documented; keep separate from Expandafuzz factory question	https://www.newcutstudios.co.uk/kicking-pedals-and-casting-pearls-before-sine-waves
Gretsch	MARKETED_BRAND_ENTITY	USA	Early 1970s	Jumbo Fuzz	fuzz	INDEXED_RELATIONSHIP	JEN-built Playboy Series relationship documented	https://www.newcutstudios.co.uk/kicking-pedals-and-casting-pearls-before-sine-waves
Moreschi	CANONICAL	Italy	1970s	Wah-Fuzz	fuzz-wah	INDEXED_RELATIONSHIP	Gary Hurst design lineage; Italian Moreschi product; exact production relationship retained model-specifically	https://www.amplifiedparts.com/tech-articles/moreschi-wah-fuzz-teardown
Moreschi	CANONICAL	Italy	1970s	Octave Fuzz	octave fuzz	INDEXED_RELATIONSHIP	Gary Hurst collaboration lineage; Castelfidardo Moreschi; distinct from Wah-Fuzz	https://www.effectsdatabase.com/model/moreschi/octavefuzz
Electronic Sounds / Gary Hurst	MARKETED_BRAND_LINEAGE	UK/Italy	Early 1970s	UFO Octa-Fuzz	octave fuzz	INDEXED_RELATIONSHIP	Gary Hurst-designed product family; linked by Effects Database to CBS-Arbiter Doubler and Moreschi Octave Fuzz	https://www.effectsdatabase.com/model/electronicsounds/garyhurst/ufo/octafuzz
fOXX / Ridinger Associates Inc.	CANONICAL_LINEAGE	USA (California)	1973-1976	Clean Machine	fuzz-overdrive	INDEXED_BASELINE_MAPPED	Tonehome identifies Ridinger Associates as maker; 1973 specimen and 1974 retail price	https://www.tonehome.de/foxx/clean-machine/
Blackfield Orchester-Elektronik	CANONICAL_CANDIDATE	West Germany	1971	Flying Sound	fuzz-wah-phaser	INDEXED_RELATIONSHIP	Distinct Blackfield product, approximately 1971, not merged into Schaller Fuzz family	https://www.tonehome.de/blackfield/
Blackfield Orchester-Elektronik	CANONICAL_CANDIDATE	West Germany	Late 1960s-early 1970s	Blackfield Fuzz	fuzz	INDEXED_RELATIONSHIP	OEM version of Schaller Fuzz; retain Blackfield as marketed entity	https://www.effectsdatabase.com/model/blackfield/fuzz
