canonical_builder	model_name	family	primary_category	era_or_known_corridor	catalog_status	relationship_or_identity_note	source_trail
BOSS	OD-1 OverDrive	OD	Overdrive	1977-1985	INDEXED	First BOSS compact effects unit; original production distinct from 40th-anniversary reissue	Roland/BOSS history; BOSS Guide Book Vol.17; 2017 40th anniversary materials
BOSS	DS-1 Distortion	DS	Distortion	1978-present	INDEXED	BOSS states introduction in 1978; original long-running model distinct from DS-1W and DS-1-WH	BOSS official DS-1 page; BOSS 40th anniversary compact chronology
BOSS	OD-2 Turbo OverDrive	OD	Overdrive	1985-1994	INDEXED	Early compact overdrive; later OD-2R is a distinct revision/state	BOSS Guide Book Vol.20; BOSS 40th anniversary compact chronology
BOSS	SD-1 Super OverDrive	SD	Overdrive	1981-present	INDEXED	Core compact overdrive lineage; later SD-1W Waza Craft state separate	BOSS official product/history material; BOSS compact chronology
BOSS	DS-2 TURBO Distortion	DS	Distortion	1987-present	INDEXED	Dual-mode DS family; retain original and current production as separate production states where evidence supports	BOSS official distortion category; BOSS catalog history
BOSS	HM-2 Heavy Metal	HM	Distortion	1983-1991	INDEXED	Original analog compact model; later HM-2W is separate Waza Craft reissue	BOSS historical fuzz/distortion articles; BOSS 40th anniversary chronology
BOSS	OS-2 OverDrive/Distortion	OS	Overdrive/Distortion	1990-present	INDEXED	Hybrid dirt model; keep as one retail model with both effect categories	BOSS official overdrive category; BOSS Guide Book Vol.20
BOSS	OD-2R TURBO OverDrive	OD	Overdrive	1994-1999	INDEXED	Revision of OD-2; do not merge with OD-2 despite family continuity	BOSS 40th anniversary compact chronology
BOSS	ODB-3 Bass OverDrive	ODB	Overdrive	1994-present	INDEXED	Bass-specific dirt; belongs in central dirt story under bass boundary tag	BOSS 40th anniversary chronology; BOSS official search/category
BOSS	SD-2 DUAL Overdrive	SD	Overdrive	1993-1998	INDEXED	Dual-channel compact overdrive; distinct retail model	BOSS 40th anniversary compact chronology
BOSS	FZ-2 Hyper Fuzz	FZ	Fuzz	1993-1997	INDEXED	BOSS identifies it as first compact-format BOSS fuzz; separate from FZ-3 and FZ-5	BOSS official article 'What the Fuzz?'; BOSS 40th anniversary chronology
BOSS	HM-3 HYPER Metal	HM	Distortion	1993-1999	INDEXED	Compact high-gain distortion model distinct from HM-2	BOSS 40th anniversary compact chronology
BOSS	BD-2 Blues Driver	BD	Overdrive	1995-present	INDEXED	Official BOSS page states continuous production since 1995; later BD-2W separate Waza Craft state	BOSS official overdrive category; BOSS 40th anniversary chronology
BOSS	PW-2 Power Driver	PW	Distortion	1996-1997	INDEXED	Short-lived compact driver; retain as independent dirt record	BOSS 40th anniversary compact chronology
BOSS	XT-2 Xtortion	XT	Distortion	1996-1998	INDEXED	Short-run compact distortion; do not confuse with non-dirt X-series products	BOSS 40th anniversary compact chronology
BOSS	FZ-3 Fuzz	FZ	Fuzz	1997-1999	INDEXED	Second compact BOSS fuzz; BOSS describes it as succeeding FZ-2	BOSS official fuzz-history article; BOSS 40th anniversary chronology
BOSS	OD-3 OverDrive	OD	Overdrive	1997-present	INDEXED	Current classic compact overdrive lineage; official page describes expanded response and sustain	BOSS official OD-3 page; BOSS 40th anniversary chronology
BOSS	MT-2 Metal Zone	MT	Distortion	1991-present	INDEXED	Long-running high-gain compact distortion; later MT-2W separate Waza Craft state	BOSS official distortion category; BOSS Guide Book Vol.20
BOSS	MD-2 Mega Distortion	MD	Distortion	2001-present	INDEXED	Multi-stage high-gain compact model	BOSS 40th anniversary chronology; BOSS official distortion category
BOSS	FZ-5 Fuzz	FZ	Fuzz	2007-present	INDEXED	COSM digital fuzz with F/M/O modes; distinct from analog FZ-2/FZ-3	BOSS official FZ-5 page; BOSS official fuzz-history article
BOSS	DN-2 Dyna Drive	DN	Overdrive	2007-2010s	INDEXED	MDP/Dyna Amp overdrive; date corridor requires catalog reconciliation	BOSS official search/product material; BOSS Guide Book Vol.20
BOSS	BC-2 Combo Drive	BC	Overdrive	2010s	INDEXED	Amp-style overdrive product; historical catalog state requires further date verification	BOSS official search/product material
