canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Shin-Ei / Honey / Companion	CANONICAL_LINEAGE	Japan	1967-1979	FY-6 Super Fuzz / Honey Baby Crying	octave fuzz	INDEXED_RELATIONSHIP	Honey 1967 anchor; Shin-Ei-branded 1968 successor; preserve production-state transition	https://www.shin-ei.com/ ; https://en.wikipedia.org/wiki/Univox_Super-Fuzz
Shin-Ei / Honey / Companion	CANONICAL_LINEAGE	Japan	1967-1970s	Companion FY-2	fuzz	INDEXED_RELATIONSHIP	Separate dirt family from FY-6; early and later production states remain evidence-qualified	https://shin-ei.com/COMPANION-FY2-FUZZ-BOX ; https://www.effectsdatabase.com/model/shinei/companion/fy2
Univox / Unicord	MARKETED_EXPORT_ENTITY	USA/Japan	1968-1970s	Super-Fuzz U-1093/U-1095	octave fuzz	INDEXED_RELATIONSHIP	U.S. marketed/import identity for Japanese OEM lineage; not duplicate physical manufacturer	https://www.thewho.net/whotabs/gear/guitar/univoxsuperfuzz.html ; https://en.wikipedia.org/wiki/Univox_Super-Fuzz
LRE	MARKETED_EXPORT_CANDIDATE	USA/Japan	Late 1960s	LRE Super Fuzz	octave fuzz	DISCOVERY	Tone Machines documents early Honey OEM/export relationship; model-specific attribution remains to be reconciled	https://www.tonemachinesblog.com/2026/07/shaftesbury-duo-fuzz-england-meets-japan.html
Tempo	MARKETED_EXPORT_CANDIDATE	USA/Japan	Late 1960s	Tempo Super Fuzz	octave fuzz	DISCOVERY	Treat as marketed/export identity pending primary supplier catalog	https://www.tonemachinesblog.com/2026/07/shaftesbury-duo-fuzz-england-meets-japan.html
Crown	MARKETED_EXPORT_CANDIDATE	USA/Japan	Late 1960s-1970s	Crown Super Fuzz	oc​tave fuzz	INDEXED_RELATIONSHIP	Effects Database records Crown as a rebranded Japanese OEM Super Fuzz	https://www.effectsdatabase.com/model/crown/superfuzz
Apollo	MARKETED_EXPORT_CANDIDATE	USA/Japan	Late 1960s	Apollo Deluxe Fuzz Tone Expander	octave fuzz	DISCOVERY	Tone Machines places Apollo among later Honey export rebrandings; retain as evidence-qualified	https://www.tonemachinesblog.com/2026/07/shaftesbury-duo-fuzz-england-meets-japan.html
J.H. Experience	MARKETED_EXPORT_ENTITY	Canada/Japan	1970s	FY-2 Fuzz Box	fuzz	INDEXED_RELATIONSHIP	Effects Database identifies a Japanese OEM edition of Shin-Ei FY-2	https://www.effectsdatabase.com/model/jhexperience/fy2
Shaftesbury / Rose-Morris	MARKETED_BRAND_LINEAGE	United Kingdom/Japan	1968-1975+	Duo Fuzz	octave fuzz	INDEXED_RELATIONSHIP	UK-distributed by Rose-Morris; later Shin-Ei manufacture documented; early Honey-era examples remain separate production state	https://thewho.net/whotabs/gear/guitar/shaftesburyduofuzz.html ; https://www.tonemachinesblog.com/2026/07/shaftesbury-duo-fuzz-england-meets-japan.html
Teisco	MARKETED_BRAND_UNRESOLVED	Japan	Early-mid 1970s	Wau Wau Fuzz	fuzz-wah	INDEXED_RELATIONSHIP	Likely Shin-Ei OEM per Effects Database; do not promote beyond evidence-qualified attribution	https://www.effectsdatabase.com/model/teisco/wauwaufuzz
WEM	CANONICAL	United Kingdom	1965-1969+	Rush Pep Box	fuzz	INDEXED_BASELINE	Early commercial WEM fuzz; catalog should be deepened	https://fuzzboxes.org/projectv
WEM	CANONICAL	United Kingdom	1968-1969+	Project V	fuzz	INDEXED_BASELINE	Early surviving examples have 1968 component dates; advertising begins 1969; serial/construction sequence supports future specimen fields	https://fuzzboxes.org/projectv
Rotosound	MARKETED_BRAND_ENTITY	United Kingdom	1960s-1970s	Rotosound Fuzz / MKII-MKIII-related states	fuzz	INDEXED_RELATIONSHIP	Rotosound history says Sola Sound built its fuzz pedals; multiple circuits/enclosures over time	https://www.rotosound.com/blog/cool_timeline/2660/ ; https://www.premierguitar.com/gear/rotosound-fuzz-pedal-review
Rotosound	MARKETED_BRAND_ENTITY	United Kingdom	1960s-1970s	Growler	fuzz-wah	INDEXED_BASELINE	Hybrid product combining fuzz and wah; keep separate from standard Rotosound Fuzz	https://www.rotosound.com/blog/cool_timeline/2660/
Park	MARKETED_BRAND_LINEAGE	United Kingdom	Late 1960s-mid 1970s	Park Fuzz Sound	fuzz	INDEXED_RELATIONSHIP	Marshall/Park marketing identity with Sola Sound build relationship documented by Fuzzboxes	https://fuzzboxes.org/parkfuzzsound
Selmer (UK)	CANONICAL_WITH_DISAMBIGUATION	United Kingdom	1968-c.1971	Fuzz-Wah first version	fuzz-wah	INDEXED_BASELINE	John Weir describes UK design/production for first version	https://www.vintagehofner.co.uk/gallery/gallery3/wah.html
Selmer (UK)	CANONICAL_WITH_DISAMBIGUATION	United Kingdom	c.1971+	Fuzz-Wah later production	fuzz-wah	DISCOVERY	Selmer source explicitly says later Far-East import is likely; exact manufacturer unresolved	https://www.vintagehofner.co.uk/gallery/gallery3/wah.html
John Hornby Skewes	CANONICAL	United Kingdom	1965-1966	Zonk Machine MKI	fuzz	INDEXED_BASELINE	Foundational Leeds fuzz; retain separate from Sola Sound despite shared Tone Bender ancestry	https://www.britishpedalcompany.com/downloads/BPC-Product-Manual-2021-V1.pdf
