canonical_builder	marketed_name	model_or_family	category	date_or_corridor	identity_role	evidence_status	notes	source_refs
Coron Musical Instrument Co.	Coron	Distortion 10	distortion/overdrive	late 1970s-early 1980s	manufacturer/brand	VERIFIED_BASELINE	Japanese-made Coron family; related OEM labels include Grant, Storm, Asama and Memphis.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Coron	Distortion 15	distortion/boost	late 1970s-early 1980s	manufacturer/brand	VERIFIED_BASELINE	Higher-output variant; preserve separately from Distortion 10 despite close construction.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Grant	Distortion 10	distortion	late 1970s-early 1980s	OEM/marketed label	VERIFIED_RELATIONSHIP	Effects Database links Grant Distortion 10 directly to the Coron family.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Storm	Distortion 10	distortion	late 1970s-early 1980s	OEM/marketed label	VERIFIED_RELATIONSHIP	Storm Distortion 10 appears as a related Coron OEM identity.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Asama Engineering	AC703 Distortion	distortion	late 1970s-early 1980s	OEM/marketed label	VERIFIED_RELATIONSHIP	Related model in the Coron Distortion family; retain marketed name rather than duplicating manufacturer.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Bias	Distortion 10/15	distortion	late 1970s-early 1980s	OEM/marketed label	DISCOVERY_RELATIONSHIP	Listed by Effects Database among closely related Coron models; individual specimen confirmation remains useful.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	J&J	Distbox	distortion	late 1970s-early 1980s	OEM/marketed label	DISCOVERY_RELATIONSHIP	Related to the Coron Distortion family in specialist catalog evidence.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	KMD	Distortion	distortion	late 1970s-early 1980s	OEM/marketed label	VERIFIED_RELATIONSHIP	Effects Database explicitly identifies this KMD-branded unit as manufactured by Coron.	https://www.effectsdatabase.com/model/kmd/coron/distortion
Coron Musical Instrument Co.	Labo	Distortion	distortion	late 1970s-early 1980s	OEM/marketed label	DISCOVERY_RELATIONSHIP	Listed in the related Coron family; factory attribution should remain relationship-based.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Memphis	ME-20 Distortion	distortion	late 1970s-early 1980s	OEM/marketed label	VERIFIED_RELATIONSHIP	Related Memphis ME-20 model in the Coron family.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	MX Four	Distortion	distortion	late 1970s-early 1980s	OEM/marketed label	DISCOVERY_RELATIONSHIP	Catalog relationship preserved pending specimen-level confirmation.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Nashville	Distortion	distortion	late 1970s-early 1980s	OEM/marketed label	DISCOVERY_RELATIONSHIP	Catalog relationship preserved pending specimen-level confirmation.	https://www.effectsdatabase.com/model/coron/first/distortion
