canonical_builder	model	alias_or_variant	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
DOD	250 Overdrive Preamp	Overdrive Preamp 250 / 250V	OVERDRIVE	1974-present	PARTIALLY_ENUMERATED	PRIMARY	Foundational DOD model; original 1974 lineage must remain distinct from later reissues and 50th Anniversary state.	https://digitech.com/history/ ; https://digitech.com/dp/overdrive-preamp-250/ ; https://digitech.com/dp/overdrive-preamp-250-50th-anniversary/
DOD	FX50 Overdrive Preamp		OVERDRIVE	1980s-1990s	INDEXED	SECONDARY	FX-series overdrive; keep distinct from 250 family.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX50B Overdrive Plus		OVERDRIVE	1980s-1990s	INDEXED	SECONDARY	Documented in period advertising and catalog material; 50-series overdrive.	https://www.effectsdatabase.com/model/dod/fx ; https://www.worldradiohistory.com/Archive-All-Music/CM-Canadian-Musician/80s/Canadian-Musician-1987-08.pdf
DOD	FX51 Juice Box		OVERDRIVE	1980s-1990s	INDEXED	SECONDARY	Listed as an FX-series model; preserve as a separate model until catalog evidence shows variant equivalence.	https://www.effectsdatabase.com/model/dod/fx ; https://digitech.com/product-manuals/
DOD	FX52 Classic Fuzz		FUZZ	1980s-1990s	INDEXED	SECONDARY	DOD's explicitly named classic-style fuzz model.	https://www.effectsdatabase.com/model/dod/fx ; https://digitech.com/product-manuals/
DOD	FX53 Classic Tube		OVERDRIVE_DISTORTION	1980s-1990s	INDEXED	SECONDARY	Classic tube-oriented dirt product; category remains hybrid pending primary catalog review.	https://www.effectsdatabase.com/model/dod/fx ; https://guitar-catalog.com/guitar-and-amp/fernandes/1992vol1/pdf/47.pdf
DOD	FX54 Attacker		OVERDRIVE_DISTORTION	Early 1990s	INDEXED	SECONDARY	Combination compressor/distortion product; retain as dirt-relevant hybrid.	https://www.effectsdatabase.com/model/dod/fx ; https://www.craveguitars.co.uk/category/history/
DOD	FX55 Distortion		DISTORTION	1980s	INDEXED	SECONDARY	Early FX-series distortion designation; distinct from later B/C revisions.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX55B Supra Distortion	FX55C Supra Distortion	DISTORTION	1980s-1990s	INDEXED	SECONDARY	B and C suffixes retained as separate historical states until specimen-level reconciliation.	https://www.effectsdatabase.com/model/dod/fx ; https://guitar-catalog.com/guitar-and-amp/fernandes/1992vol1/pdf/47.pdf
DOD	FX56 American Metal	FX56B Super American Metal	DISTORTION	1980s-1990s	INDEXED	SECONDARY	American Metal family with later B state.	https://www.effectsdatabase.com/model/dod/fx ; https://www.worldradiohistory.com/Archive-All-Music/CM-Canadian-Musician/80s/Canadian-Musician-1987-08.pdf
DOD	FX57 Hard Rock Distortion		DISTORTION	1980s-1990s	INDEXED	SECONDARY	FX-series hard-rock distortion.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX58 Metal Maniac		DISTORTION	Late 1980s-1990s	INDEXED	SECONDARY	Cataloged as a distinct metal distortion model.	https://www.effectsdatabase.com/model/dod/fx ; https://guitar-catalog.com/guitar-and-amp/fernandes/1992vol1/pdf/47.pdf
DOD	FX59 Thrash Master		DISTORTION	1980s-1990s	INDEXED	PRIMARY-ADJACENT	DOD product manuals index confirms model; period Japanese catalog lists it.	https://digitech.com/product-manuals/ ; https://guitar-catalog.com/guitar-and-amp/fernandes/1992vol1/pdf/47.pdf
DOD	FX66 Flashback Fuzz		FUZZ	1990s	INDEXED	PRIMARY-ADJACENT	Official manuals index confirms model; historical lists describe it as vintage-style distortion/fuzz.	https://digitech.com/product-manuals/ ; https://www.effectsdatabase.com/model/dod/fx
DOD	FX69 Grunge Distortion	FX69B Grunge	DISTORTION	1990s	INDEXED	PRIMARY	Official DOD history identifies FX69 Grunge as a notable Lamb Series product; B variant retained separately.	https://digitech.com/history/ ; https://digitech.com/product-manuals/ ; https://www.effectsdatabase.com/model/dod/fx
DOD	FX70 Metal X	FX70C Corrosion	DISTORTION	1990s	INDEXED	SECONDARY	Distinct later FX-series distortion states; do not collapse until evidence reconciliation.	https://www.effectsdatabase.com/model/dod/fx ; https://digitech.com/product-manuals/
DOD	FX70P Big Pig Fat Distortion	MF70 Big Pig Fat Distortion	DISTORTION	1990s	INDEXED	SECONDARY	Product-family relationship appears in historical indexing; model identity requires further catalog checking.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX76 Punkifier		DISTORTION	1990s	INDEXED	PRIMARY-ADJACENT	Model appears in historical DOD listings and secondary archival indexes.	https://digitech.com/product-manuals/ ; https://www.effectsdatabase.com/model/dod/fx
