canonical_builder	product_name	dirt_role	record_state	period_or_corridor	confidence	notes	evidence
DOD	FX50 Overdrive Preamp	OVERDRIVE	VERIFIED_SECONDARY	1980s-early 1990s	HIGH	Effects Database and period catalog-index sources support existence; preserve separately from FX50B.	https://www.effectsdatabase.com/model/dod/fx50
DOD	FX50B Overdrive Plus	OVERDRIVE	VERIFIED_PERIOD	1990-1998+	HIGH	1992 Electronic Musician guide lists FX50B; 1990/92 catalog trail supports the model.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX52 Classic Fuzz	FUZZ	VERIFIED_PERIOD	1990-1998+	HIGH	1992 guide and specialist chronology support introduction around 1990 with later production states.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf ; https://fr.audiofanzine.com/fuzz-guitare/dod/FX52-Classic-Fuzz/
DOD	FX53 Classic Tube	OVERDRIVE	VERIFIED_PERIOD	1990s	HIGH	1992 guide lists as overdrive; preserve exact production variant separately where found.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX54 Attacker	DISTORTION	VERIFIED_PERIOD	1990s	HIGH	1992 guide lists as distortion with compression; record product identity without circuit reconstruction.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX55 Distortion	DISTORTION	VERIFIED_PERIOD	1980s-1990s	HIGH	Part of FX55/55B/55C progression; model names should remain separate retail states.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX55B Supra Distortion	DISTORTION	VERIFIED_PERIOD	1990s	HIGH	Period guide identifies Supra Distortion; later letter suffix retained as distinct product state.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX55C Supra Distortion	DISTORTION	VERIFIED_SECONDARY	1990s	MEDIUM	Effects Database and historical replacement-part listings support model existence; exact chronology still open.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX56 American Metal	DISTORTION	VERIFIED_SECONDARY	1980s-1990s	HIGH	Preserve from FX56B rather than folding letter-suffix changes together.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX56B Super American Metal	DISTORTION	VERIFIED_PERIOD	1990s	HIGH	1992 period guide explicitly lists model.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX57 Hard Rock Distortion	DISTORTION	VERIFIED_PERIOD	1990s	HIGH	1992 period guide explicitly lists model.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX58 Metal Maniac	DISTORTION	VERIFIED_PERIOD	1990s	HIGH	1992 period guide explicitly lists model.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX59 Thrash Master	DISTORTION	VERIFIED_PERIOD	1990s	HIGH	1992 period guide explicitly lists model.	https://www.worldradiohistory.com/Archive-All-Music/Electronic-Musician/1992/Electronic-Musician-1992-04.pdf
DOD	FX66 Flashback Fuzz	FUZZ	VERIFIED_SECONDARY	1990s	HIGH	Effects Database and replacement-part model lists establish existence as distinct later fuzz model.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX69 / FX69B Grunge	DISTORTION	VERIFIED_PERIOD	mid/late 1990s	HIGH	Model suffixes remain separate production states; historical catalogs use both names.	https://www.effectsdatabase.com/model/dod/fx
DOD	FX70 Metal X	DISTORTION	VERIFIED_PERIOD	1990s	HIGH	1992 period source lists FX70; preserve from later FX70C where applicable.
https://files.revistapelo.com.ar/pdf/471.pdf
DOD	FX70C Metal X	DISTORTION	VERIFIED_SECONDARY	1990s	MEDIUM	Lettered successor state recorded separately pending fuller period catalog recovery.
https://www.effectsdatabase.com/model/dod/fx
