canonical_builder	identity_status	region	period	model_or_market_state	category	role_or_relationship	confidence	sources
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	fOXX Fuzz & Wa & Volume	fuzz-wah	physical builder / marketed brand	HIGH	ToneHome fOXX; Effects Database fOXX Fuzz & Wa & Volume
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Sears Model 1481 Fuzz & Wa & Volume	fuzz-wah	Sears private-label / OEM state	HIGH	Effects Database Sears Model 1481; ToneHome fOXX
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Emmons Fuzz & Wa & Volume	fuzz-wah	private-label / OEM state	MEDIUM	Effects Database fOXX family index
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Footsystem Fuzz & Wa & Volume	fuzz-wah	private-label / OEM state	MEDIUM	Effects Database Footsystem
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	G&G Fuzz & Wa & Volume	fuzz-wah	private-label / OEM state	MEDIUM	Effects Database fOXX family index
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Hamilton Music Fuzz & Wa & Volume	fuzz-wah	private-label / OEM state	MEDIUM	Effects Database fOXX family index
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Musical Mexicana Fuzz & Wa & Volume	fuzz-wah	private-label / OEM state	HIGH	Effects Database Musical Mexicana
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Paraclete Productions Fuzz-Wa Vol.	fuzz-wah	private-label / OEM state	MEDIUM	Effects Database fOXX family index
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Regal RE-30 Fuzz Wah Diddy	fuzz-wah	private-label / OEM state	HIGH	Effects Database Regal RE-30
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Turtle Fuzz & Wa & Volume	fuzz-wah	private-label / OEM state	MEDIUM	Effects Database fOXX family index
Ridinger Associates / fOXX	CANONICAL_LINEAGE	USA (California)	early 1970s	Univox Fuzz & Wa & Volume	fuzz-wah	Univox private-label / OEM state	HIGH	Effects Database Univox by fOXX
