canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Fulltone	OCD	OVERDRIVE_DISTORTION	ENUMERATED	Core Fulltone dirt family; later v1.x, v2 and current states require separate generation work.	https://www.fulltoneusa.com/collections/ocd
Fulltone	OCD v1.4	OVERDRIVE_DISTORTION	ENUMERATED	Custom Shop production state; do not merge with generic OCD record.	https://www.fulltoneusa.com/products/
Fulltone	OCD-Germanium	OVERDRIVE_DISTORTION	ENUMERATED	Germanium OCD family state; current Custom Shop product.	https://www.fulltoneusa.com/products/
Fulltone	Full-Drive	OVERDRIVE	ENUMERATED	Foundational Fulltone overdrive family; individual FD variants require generation reconciliation.	https://www.fulltoneusa.com/collections/full-drive
Fulltone	Full-Drive 1	OVERDRIVE	ENUMERATED	Current documented family member.	https://www.fulltoneusa.com/collections/full-drive
Fulltone	Full-Drive 2	OVERDRIVE	ENUMERATED	Core family; v2 should remain a distinct production state.	https://www.fulltoneusa.com/collections/full-drive
Fulltone	Full-Drive 2 v2	OVERDRIVE	ENUMERATED	Explicit later production state.	https://www.fulltoneusa.com/collections/full-drive
Fulltone	Full-Drive 3	OVERDRIVE	ENUMERATED	Later family member.	https://www.fulltoneusa.com/collections/full-drive
Fulltone	PlimSoul	DISTORTION	ENUMERATED	Fulltone distortion family; mkII retained as separate state.	https://www.fulltoneusa.com/products/
Fulltone	PlimSoul mkII	DISTORTION	ENUMERATED	Explicit later production state.	https://www.fulltoneusa.com/products/
Fulltone	69 Pedal	FUZZ	ENUMERATED	Germanium fuzz family; mkII retained separately.	https://www.fulltoneusa.com/products/
Fulltone	69 Pedal mkII	FUZZ	ENUMERATED	Current updated production state.	https://www.fulltoneusa.com/collections/fuzz
Fulltone	70 Pedal	FUZZ	ENUMERATED	Fuzz family associated with BC108 version; exact historical states require deeper audit.	https://www.fulltoneusa.com/products/
Fulltone	70 Pedal-BC	FUZZ	ENUMERATED	Current BC108-labeled state.	https://www.fulltoneusa.com/products/
Fulltone	Soul-Bender	FUZZ	ENUMERATED	Tone Bender-derived family; v2 separated.	https://www.fulltoneusa.com/products/
Fulltone	Soul-Bender v2	FUZZ	ENUMERATED	Current later production state.	https://www.fulltoneusa.com/products/
Fulltone	Octafuzz	FUZZ_OCTAVE	ENUMERATED	Octave-fuzz family; Octafuzz 2 retained separately.	https://www.fulltoneusa.com/products/
Fulltone	Octafuzz 2	FUZZ_OCTAVE	ENUMERATED	Current later production state.	https://www.fulltoneusa.com/collections/fuzz
Fulltone	Ultimate Octave	FUZZ_OCTAVE	ENUMERATED	Current compact form retains original circuit per manufacturer; historical predecessor and current state should be linked, not collapsed.	https://www.fulltoneusa.com/products/ultimate-octave
Fulltone	Queen Bee	FUZZ	ENUMERATED	Current fuzz catalog member; historical production corridor requires follow-up.	https://www.fulltoneusa.com/collections/fuzz
Fulltone	Mas Malo	DISTORTION	ENUMERATED	Current distortion catalog member.	https://www.fulltoneusa.com/products/
Fulltone	Hi-Mu	DISTORTION	ENUMERATED	Current distortion catalog member.	https://www.fulltoneusa.com/products/
Fulltone	Ranger	BOOST_OVERDRIVE_BOUNDARY	ENUMERATED	Gain-related product; retain as scope-boundary until dirt role is clarified historically.	https://www.fulltoneusa.com/products/
Fulltone	2B Booster	SCOPE_BOUNDARY	BOUNDARY	Booster; retain for builder context but outside central dirt count.	https://www.fulltoneusa.com/products/
