canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Lafayette Radio Electronics (LRE)	MARKETED_EXPORT_ENTITY	USA/Japan	1968-1971	Super-Fuzz	​octave fuzz	INDEXED_RELATIONSHIP	Model-specific research documents gray 1968, black 1970 and orange/blue 1971 catalog states; Honey/Shin-Ei factory transition remains nuanced	https://www.tonemachinesblog.com/2023/03/lre-super-fuzz-and-super-drive.html
Rands	MARKETED_EXPORT_ENTITY	USA/Japan	1970s	FY-6 Fuzz	​octave fuzz	INDEXED_RELATIONSHIP	Effects Database identifies Japanese OEM relationship; Tonehome documents Shin-ei Japan specimen dated 1977	https://www.effectsdatabase.com/model/rands/fuzz ; https://www.tonehome.de/shin-ei/super-fuzz-fy-6/
Jax	MARKETED_EXPORT_ENTITY	USA/Japan	Late 1960s-1970s	FY-6 Fuzz Master	​octave fuzz	INDEXED_RELATIONSHIP	Listed in consolidated FY-6 relationship cluster and JHS historical account	https://www.effectsdatabase.com/model/jax/fy6 ; https://jhspedals.info/products/supreme
Tempo	MARKETED_EXPORT_ENTITY	USA/Japan	Late 1960s-1970s	TR-6 Fuzz	​octave fuzz	INDEXED_RELATIONSHIP	Tone Machines identifies Tempo as a Unicord-related export branch; Effects Database lists Honey-era relationship	https://www.tonemachinesblog.com/2026/07/shaftesbury-duo-fuzz-england-meets-japan.html ; https://www.effectsdatabase.com/model/jax/fy6
Crown	MARKETED_EXPORT_ENTITY	USA/Japan	Late 1960s-1970s	Super Fuzz	​octave fuzz	INDEXED_RELATIONSHIP	Effects Database documents rebranded Japanese OEM Super Fuzz	https://www.effectsdatabase.com/model/crown/superfuzz
Apollo	MARKETED_EXPORT_ENTITY	USA/Japan	Late 1960s-1970s	No. 846 Deluxe Fuzz Tone Expander	​octave fuzz	INDEXED_RELATIONSHIP	Independent model record for Japanese OEM variant	https://www.effectsdatabase.com/model/apollo/superfuzz
J.H. Experience	MARKETED_EXPORT_ENTITY	Canada/Japan	1970s	FY-2 Fuzz Box	fuzz	INDEXED_RELATIONSHIP	Model-specific Japanese OEM edition of Shin-Ei FY-2	https://www.effectsdatabase.com/model/jhexperience/fy2
Shaftesbury / Rose-Morris	MARKETED_BRAND_LINEAGE	United Kingdom/Japan	1968-1975+	Duo Fuzz	​octave fuzz	INDEXED_RELATIONSHIP	Honey-era and later Shin-Ei-era states must remain distinct; Rose-Morris distribution identity preserved	https://www.tonemachinesblog.com/2026/07/shaftesbury-duo-fuzz-england-meets-japan.html
Hohner	MARKETED_BRAND_ENTITY	Germany/Japan	1970s	MF-50 Master Fuzz Control	fuzz	DISCOVERY	Listed in FY-6 relationship cluster; exact supplier and model-specific production attribution require further evidence	https://www.effectsdatabase.com/model/jax/fy6
Teisco	MARKETED_BRAND_UNRESOLVED	Japan	1970s	TF-1 Fuzz	fuzz	DISCOVERY	Appears in FY-6 relationship cluster; must be distinguished from Teisco Wau Wau Fuzz OEM relationship	https://www.effectsdatabase.com/model/jax/fy6
Mana	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	FY-6 Fuzz Master	​octave fuzz	DISCOVERY	In consolidated FY-6 relationship index; model-specific corroboration required	https://www.effectsdatabase.com/model/jax/fy6
Zenta	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	FY-6 Fuzz Master	​octave fuzz	DISCOVERY	In consolidated FY-6 relationship index; model-specific corroboration required	https://www.effectsdatabase.com/model/jax/fy6
Avora	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	FY-6 Super Fuzz	​octave fuzz	DISCOVERY	In consolidated FY-6 relationship index; model-specific corroboration required	https://www.effectsdatabase.com/model/jax/fy6
Mayfair	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	Model 9540 Fuzz Master	fuzz	DISCOVERY	In consolidated FY-6 relationship index; exact supplier remains open	https://www.effectsdatabase.com/model/jax/fy6
Mica	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	Mica-Tone Fuzz Master	fuzz	DISCOVERY	In consolidated FY-6 relationship index; exact supplier remains open	https://www.effectsdatabase.com/model/jax/fy6
Oscar	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	FY-6 Fuzz Master	​octave fuzz	DISCOVERY	In consolidated FY-6 relationship index; exact supplier remains open	https://www.effectsdatabase.com/model/jax/fy6
Clear Sound	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	Super Fuzz	​octave fuzz	DISCOVERY	In consolidated FY-6 relationship index; exact supplier remains open	https://www.effectsdatabase.com/model/jax/fy6
