canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Herald Electronics	MARKETED_BRAND_ENTITY	Japan/Export	Late 1960s	AM-44A Fuzz Master	fuzz	INDEXED_RELATIONSHIP	Effects Database identifies a late-1960s Japanese fuzz distributed under Apollo, LRE, Melos, Mica, Monacor and Olson labels; exact physical factory remains unresolved	https://www.effectsdatabase.com/model/herald/fuzzmaster
Monacor	MARKETED_BRAND_ENTITY	Germany/Japan	Early 1970s	FS-1 Fuzzder	fuzz	INDEXED_RELATIONSHIP	Dedicated model record; surviving listings describe Japanese-made early-1970s unit and Japanese Maestro FZ-1A-derived design; exact OEM factory unresolved	https://www.effectsdatabase.com/model/monacor/fs1 ; https://reverb.com/item/5103476-monacor-fs-1-fuzzder-early-70-s-japan-with-3x-2sb175-germanium-transistors
Mica	MARKETED_EXPORT_ENTITY	Japan/Export	1970s	FT-12 Fuzzder	fuzz	DISCOVERY	Effects Database places it in the LRE Fuzz Sound / Herald AM-44A / Melos FS-1 / Monacor FS-1 / Olson X-78 cluster	https://www.effectsdatabase.com/model/mica/fuzzder
Mica	MARKETED_EXPORT_ENTITY	Japan/Export	1970s	FT-12 Wailer	fuzz-wah	DISCOVERY	Separate retail model listed beside Mica FT-12 within the same Japanese fuzz cluster	https://www.effectsdatabase.com/model/mica/fuzzder
Melos	MARKETED_EXPORT_ENTITY	Japan/Export	1970s	FS-1 Fuzzder	fuzz	INDEXED_RELATIONSHIP	Effects Database directly indexes model within Japanese FZ-1A-derived cluster; keep separate from Melos Super Fuzz-adjacent records	https://www.effectsdatabase.com/model/melos/fs1
Olson Electronics	MARKETED_EXPORT_ENTITY	Japan/Export	1960s	X-78 Fuzz Master	fuzz	INDEXED_RELATIONSHIP	Surviving specimen explicitly described as a rebadged LRE Fuzz Sound and Made in Japan	https://reverb.com/item/32674834-olson-electronics-x-78-fuzz-master-1960s-made-in-japan-2sb175-germanium
LRE	MARKETED_EXPORT_ENTITY	USA/Japan	Late 1960s	Fuzz Sound	fuzz	INDEXED_RELATIONSHIP	Anchor model for Japanese Maestro FZ-1A-derived export cluster; related directly to Herald, Apollo, Melos, Mica, Monacor and Olson records	https://www.effectsdatabase.com/model/lre/fuzz
Apollo	MARKETED_EXPORT_ENTITY	USA/Japan	Late 1960s	No. 843 Fuzz King	fuzz	INDEXED_RELATIONSHIP	Effects Database places model in same LRE/Herald/Melos/Mica/Monacor/Olson Japanese FZ-1A-derived cluster	https://www.effectsdatabase.com/model/apollo/fuzzking
Royal	MARKETED_EXPORT_ENTITY	Japan/Export	Late 1960s-early 1970s	RFC-1 Double Effect Machine	fuzz-wah	DISCOVERY	Effects Database says Japanese-made, probably Shin-Ei; preserve probabilistic OEM attribution	https://www.effectsdatabase.com/model/royal/rfc1
Royal	MARKETED_EXPORT_ENTITY	Japan	1970s?	RF-1 Fuzz Box	fuzz	DISCOVERY	Japanese collector source documents large upper-octave fuzz with Super Fuzz/Ace Tone FM-2 character; exact factory unresolved	https://dot0610.hatenablog.com/entry/2024/02/07/ROYAL_FUZZ_BOX_rf-1
Mirano	PHYSICAL_BUILDER_CANDIDATE	Japan	Late 1960s-early 1970s	FP-1 Fuzz Pet	fuzz	INDEXED_RELATIONSHIP	Effects Database identifies FP-1 as a Mirano-produced compact plug-in silicon fuzz	https://www.effectsdatabase.com/model/mirano/fuzzpet
Mirano	PHYSICAL_BUILDER_CANDIDATE	Japan	Mid 1970s	Exciting Fuzz EF-1	fuzz	INDEXED_RELATIONSHIP	Tone Machines Blog reports 1976 Japanese buyer's guide listing and argues against common 1968-70 dating; retain mid-1970s as working release corridor	https://www.tonemachinesblog.com/2026/03/
JBX	MARKETED_EXPORT_ENTITY	Sweden/Japan	1970s	FS-100 Square Wave	fuzz	INDEXED_RELATIONSHIP	Effects Database identifies JBX FS-100 as OEM version of Univox SQ-150, same Japanese-built family also sold under Melos and Monacor	https://www.effectsdatabase.com/model/jbx/fs100
Univox	MARKETED_EXPORT_ENTITY	USA/Japan	1970s	SQ-150 Square Wave	fuzz	INDEXED_RELATIONSHIP	Central model for Japanese export family linked by Effects Database to JBX FS-100 and Melos/Monacor names	https://www.effectsdatabase.com/model/jbx/fs100
Melos	MARKETED_EXPORT_ENTITY	Japan/Export	1970s	SQ-150-related / Square Wave family	fuzz	DISCOVERY	Effects Database's JBX family record identifies Melos as another marketed name around the same Japanese-built Univox SQ-150 family	https://www.effectsdatabase.com/model/jbx/fs100
