canonical_builder	marketed_names_or_relationships	model	category	era	identity_or_oem_status	research_status	source_refs
Nisshin Onpa / Maxon	Greco; Sekova; LRE; Ibanez; Maxon	Wedge Fuzz / No.35 Fuzz Booster / Model 59 family	fuzz	circa 1967-1970s	OEM attribution; evidence-qualified	DISCOVERY	https://www.tonemachinesblog.com/2025/06/mystery-of-japanese-wedge-fuzz.html; https://www.effectsdatabase.com/model/sekova/59
Nisshin Onpa / Maxon	Greco; Ibanez; Maxon	Fuzz/Wah family	fuzz/wah	late 1960s-1970s	OEM/manufacturer family	DISCOVERY	https://www.tonemachinesblog.com/2025/06/mystery-of-japanese-wedge-fuzz.html
Nisshin Onpa / Maxon	Maxon; Ibanez	D&S Distortion	 distortion	1970s	CANONICAL_MANUFACTURER	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon
Nisshin Onpa / Maxon	Maxon; Ibanez	OD-880 Overdrive	 overdrive	1977 onward	CANONICAL_MANUFACTURER	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon
Nisshin Onpa / Maxon	Maxon; Ibanez	OD-808 Overdrive	 overdrive	1979 onward	CANONICAL_MANUFACTURER	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/808/od802
Honey	Shin-Ei; Companion	Baby Crying Fuzz	fuzz	1960s	MARKETED/OEM_NODE	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/honey/babycrying
Honey	Shin-Ei; Companion	Special Fuzz / FY-6-family antecedent	fuzz	late 1960s	MARKETED/OEM_NODE	DISCOVERY	https://www.effectsdatabase.com/model/honey/specialfuzz
Shaftesbury / Rose-Morris	Japan-made OEM relationships	Duo Fuzz	fuzz	1970s	MARKETED/IMPORTER_NODE	DISCOVERY	https://www.effectsdatabase.com/model/shaftesbury/duofuzz
Rands	Japanese OEM/export	FY-6 Fuzz	fuzz	1970s	MARKETED/EXPORT_NODE	DISCOVERY	https://www.effectsdatabase.com/model/rands/fuzz
Zenta	Japanese OEM/export	Fuzz Master / FY-6-family products	fuzz	1970s	MARKETED/EXPORT_NODE	DISCOVERY	https://www.effectsdatabase.com/model/honey/specialfuzz
Teisco	reported Shin-Ei OEM relationship	Wau Wau Fuzz	fuzz/wah	1970s	MARKETED/OEM_NODE	DISCOVERY	https://www.effectsdatabase.com/model/teisco/wauwaufuzz
Ace Tone	Ace Tone / Ace Electronic Industries	FM-1 Fuzz Master	fuzz	1960s	CANONICAL_MARKETED_BUILDER	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/acetone
Ace Tone	Ace Tone	FM-2 Fuzz Master Professional	fuzz	late 1960s-early 1970s	CANONICAL_MARKETED_BUILDER	INDEXED_BASELINE_MAPPED	https://intl.ishibashi.co.jp/ja/products/09-2800005516579
Elk	ELK Gakki	Big Muff Sustainar	fuzz	1970s	CANONICAL_MARKETED_BUILDER	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/elk/bigmuff
Elk	ELK Gakki	Super Fuzz Sustainar	fuzz	1970s	CANONICAL_MARKETED_BUILDER	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/elk
Conrad	David Wexler & Co.; Japanese OEM	Fuzzy Fury	fuzz	late 1960s-1970s	MARKETED/IMPORTER_NODE	DISCOVERY	https://www.effectsdatabase.com/model/conrad
Conrad	David Wexler & Co.; Applied Electronics	Sky Hawk Fuzz and Treble Booster	fuzz/boost	late 1960s-1970s	MARKETED/OEM_NODE	DISCOVERY	https://www.effectsdatabase.com/model/conrad
Royal	Japanese OEM; Royal Effects	RF-1 Fuzz Box	fuzz	1970s	MARKETED/OEM_NODE	DISCOVERY	https://electricpartslibrary.hatenadiary.jp/archive/category/Japanese%20Vintage%20BIZARRE%20Effect%20collections%20by%20TIX
Royal	Japanese OEM; Royal Effects	Royal Double Effect Machine	fuzz/wah	1970s	MARKETED/OEM_NODE	DISCOVERY	https://electricpartslibrary.hatenadiary.jp/archive/category/Japanese%20Vintage%20BIZARRE%20Effect%20collections%20by%20TIX
Melos	Japanese vintage brand	Melos Fuzzder	fuzz	1960s candidate	MARKETED_NODE; factory unresolved	DISCOVERY	https://electricpartslibrary.hatenadiary.jp/archive/category/Japanese%20Vintage%20BIZARRE%20Effect%20collections%20by%20TIX
Mirano	Katayama Electronic Musical Instrument Co.	Mirano Exciting Fuzz	fuzz	early 1970s candidate	CANONICAL_CANDIDATE	DISCOVERY	https://electricpartslibrary.hatenadiary.jp/archive/category/Japanese%20Vintage%20BIZARRE%20Effect%20collections%20by%20TIX
