canonical_builder	known_names_or_aliases	region	model_or_family	category	period_or_anchor	identity_role	evidence_state	source_refs	notes
Greco	Greco; Kanda Shokai	Japan	No. 35 Haztone / Fuzz Booster	fuzz	c.1967	marketed brand / OEM relationship	DISCOVERY	https://www.effectsdatabase.com/model/greco/fuzzbooster; https://www.tonemachinesblog.com/2025/06/mystery-of-japanese-wedge-fuzz.html	Wedge enclosure and No.35 designation strongly connect this to the early Japanese wedge family; likely Nisshin Onpa manufacture remains qualified.
Greco	Greco; Kanda Shokai	Japan	SD-100 Fuzz	fuzz	undated vintage	marketed brand	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/greco/sd100	Effects Database links SD-100 to the Ibanez 83 Fuzz family. Individual chronology remains unresolved.
Honey	Honey Co., Ltd.	Japan	Baby Crying Fuzz	fuzz/octave fuzz	c.1960s	manufacturer/brand	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/honey/babycrying	Important pre/early Super Fuzz family node. Do not automatically merge all later FY-6-branded products into Honey without variant evidence.
Honey	Honey Co., Ltd.	Japan	Special Fuzz	fuzz	1960s	manufacturer/brand	DISCOVERY	https://www.effectsdatabase.com/model/honey/specialfuzz	Catalog index connects this family to the wider Super Fuzz lineage; individual documentation still needed.
Rands	Rands	Japan-marketed/export	FY-6 Fuzz	fuzz	1960s-1970s	marketed/export brand	DISCOVERY	https://www.effectsdatabase.com/model/rands/fuzz	Retain as separate searchable retail identity while linking to the FY-6 family; do not count as a separate factory without evidence.
Shaftesbury	Shaftesbury; Rose-Morris	United Kingdom / Japan-made	Duo Fuzz	fuzz	1970s	marketed/import brand	DISCOVERY	https://www.effectsdatabase.com/model/shaftesbury/duofuzz	Reported FY-6-family relationship. 2025 revival editions must remain separate from historical Japanese production.
Shaftesbury	Shaftesbury; Rose-Morris	United Kingdom / Japan-made	Treble Booster	boost	1970s	marketed/import brand	BOUNDARY	https://www.effectsdatabase.com/model/shaftesbury/treblebooster	Non-central dirt boundary, but useful because the same Nisshin Onpa/Maxon export web crosses Shaftesbury, Ibanez and Zenta.
Zenta	Zenta	Japan/export	FY-6 Fuzz Master	fuzz	1960s-1970s	marketed/OEM brand	DISCOVERY	https://www.effectsdatabase.com/model/honey/specialfuzz	Listed as an FY-6 family relation; exact production attribution remains to be reconciled.
Teisco	Teisco	Japan	TF-1 Fuzz	fuzz	vintage	marketed/OEM brand	DISCOVERY	https://www.effectsdatabase.com/model/guyatone/mighty/tz	Effects Database places Teisco TF-1 within the broader Super Fuzz family, but factory and exact generation remain unresolved.
Univox	Univox; Unicord	USA-marketed / Japan-made	U-1095 Super-Fuzz	fuzz	late 1960s-1970s	marketed/distributed brand	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/univox/superfuzz; https://www.effectsdatabase.com/model/c/clearsound/fuzz	Family evidence identifies Honey as an early version and Shin-Ei/Companion as a later family node. Preserve generation distinctions.
Guyatone	Guyatone	Japan	TZ2 The Fuzz / TZm5 Torrid Fuzz	fuzz	vintage	manufacturer/brand	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/guyatone/micro/tz2; https://www.effectsdatabase.com/model/guyatone/mighty/tz	Important Japanese Super Fuzz-family retail branch. Do not merge with Shin-Ei merely because family ancestry overlaps.
