canonical_builder	product_name	marketed_or_alias_name	dirt_role	catalog_record_state	period_or_corridor	relationship_note	evidence
JEN Elettronica	Jen Tone Bender	Jen Tone Bender	FUZZ	ENUMERATED	late 1960s-early 1970s	Italian Jen production state descended from the Vox V828/V8281 relationship; do not merge with UK Sola Sound Tone Bender.	https://www.effectsdatabase.com/model/jen/diecast/tonebender
JEN Elettronica	Jen Fuzz	Jen Fuzz	FUZZ	ENUMERATED	late 1960s-1970s	Jen-branded continuation of the Italian two-knob fuzz family; related to Vox V828/V8281 and other regional labels.	https://www.effectsdatabase.com/model/jen/diecast/fuzz
JEN Elettronica	Vox V828 Tone Bender	Vox V828	FUZZ	RELATIONSHIP_PRODUCT	1966-late 1960s onward	Vox/Thomas Organ marketed identity; Italian production attributed to Jen, with some historical sources preserving an earlier EME question for further reconciliation.	https://www.effectsdatabase.com/model/vox/thomas/tonebender ; https://www.voxshowroom.com/us/misc/v828.html
JEN Elettronica	Vox V8281 Tone Bender	Vox V8281	FUZZ	ENUMERATED	late 1960s-early 1970s	Distinct model identity from V828; preserve separate product record even where seller listings conflate the names.	https://www.effectsdatabase.com/model/vox/jen/tonebender
JEN Elettronica	Elka Fuzz	Elka	FUZZ	CANDIDATE_RELATIONSHIP	1960s-1970s	Jen die-cast family relationship is documented by specialist cataloging; exact market-period boundaries still require primary-source reconciliation.	https://www.effectsdatabase.com/model/jen/diecast/fuzz
JEN Elettronica	Luxor Fuzz / Tone Bender	Luxor	FUZZ	CANDIDATE_RELATIONSHIP	1960s-1970s	Retain as marketed identity linked to the Jen die-cast family only where model evidence supports it.	https://www.effectsdatabase.com/model/jen/diecast/tonebender
Shin-Ei	Companion FY-2 Fuzz Box	Companion FY-2	FUZZ	ENUMERATED	late 1960s-1970s	Core Shin-Ei/Companion fuzz product; preserve Companion as marketed identity.	https://www.effectsdatabase.com/model/shinei/companion ; https://www.effectsdatabase.com/model/companion/fy2
Shin-Ei	Companion FY-6 Super Fuzz	Companion FY-6	FUZZ	ENUMERATED	late 1960s-1970s	Core Shin-Ei Super Fuzz-family record; related marketed names must be attached as relationships rather than duplicate builders.	https://www.effectsdatabase.com/model/shinei/companion
Shin-Ei	Companion WF-8 8-Tr Fuzz Wah	Companion WF-8	FUZZ_WAH	ENUMERATED	1970s	Part of the Shin-Ei/Companion multi-effect family; keep fuzz-wah in dirt/hybrid scope.	https://www.effectsdatabase.com/model/shinei/companion
Shin-Ei	Companion WF-24 8-Tr Fuzz Wah	Companion WF-24	FUZZ_WAH	ENUMERATED	1970s	Distinct later fuzz-wah model; retain separate from WF-8.	https://www.effectsdatabase.com/model/shinei/companion
Shin-Ei	Honey Psychedelic Machine / Super-Fuzz lineage	Honey	FUZZ_HISTORICAL_LINEAGE	RELATIONSHIP	late 1960s	Honey represents an important pre-/parallel-market identity feeding into later Shin-Ei production; factory and transition boundaries remain model-specific.	https://en.wikipedia.org/wiki/Univox_Super-Fuzz
Univox	Univox Super-Fuzz	Univox Super-Fuzz	FUZZ	ENUMERATED	1968-late 1970s	Retail/distribution identity associated with Japanese Honey/Shin-Ei production; do not collapse Univox into physical manufacturer.	https://en.wikipedia.org/wiki/Univox_Super-Fuzz
Teisco	Teisco Fuzz Machine	Teisco Fuzz Machine	FUZZ	ENUMERATED	early 1970s	Distinct Teisco product record; specialist sources connect it with a wider Japanese OEM family that includes Ibanez Standard Fuzz and other labels.	https://www.effectsdatabase.com/model/teisco/fuzzmachine
Teisco	Teisco Wau Wau Fuzz	Teisco Wau Wau Fuzz	FUZZ_WAH	DISCOVERY_RELATIONSHIP	early-mid 1970s	Specialist evidence proposes Shin-Ei OEM manufacture and links the enclosure to Ibanez/Guyatone/Elk/Mica/Antoria/Aria Diamond/Memphis variants; retain attribution as model-specific rather than universal.	https://www.effectsdatabase.com/model/teisco/wauwaufuzz
Greco	Greco No.35 Haztone Fuzz Booster	No.35 / Haztone / Hastone	FUZZ	DISCOVERY_RELATIONSHIP	late 1960s-early 1970s	Retain Greco as marketed brand while Nisshin Onpa attribution remains evidence-qualified.	https://www.effectsdatabase.com/model/greco/fuzzbooster
Coron Musical Instrument Co.	Coron Distortion 10	Grant/Storm/Asama and related labels	DISTORTION	ENUMERATED	late 1970s-early 1980s	Coron physical-builder identity with multiple marketed/private-label variants.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Coron Distortion 15	Grant/Storm/Asama and related labels	DISTORTION	ENUMERATED	late 1970s-early 1980s	Separate model-state record from Distortion 10; preserve output/product claims as historical metadata, not circuit details.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Coron Over Drive	Asama/Seiwa/Storm/Bias family	OVERDRIVE	ENUMERATED	late 1970s-early 1980s	FET-based Coron overdrive; marketed aliases remain relationship nodes.	https://www.effectsdatabase.com/model/coron/first/overdrive
Coron Musical Instrument Co.	Laser Overdrive	Laser	OVERDRIVE	ENUMERATED	late 1970s-1980s	Effects Database indexes this as a Coron-made overdrive; retain separate from the earlier Coron-branded Over Drive.	https://www.effectsdatabase.com/model/laser/coron/overdrive
Sobbat	DB-1 Drive Breaker	Drive Breaker DB-1	OVERDRIVE	ENUMERATED	1990s-present lineage	Core Sobbat dirt family; additional Drive Breaker/Fuzz Breaker states require catalog-completion pass.	https://www.effectsdatabase.com/model/sobbat/db1
