canonical_builder	product_name	category	era	evidence_state	notes	sources
Teisco	TF-1 Fuzz	fuzz	late 1960s-early 1970s	DISCOVERY	Teisco-branded FY-6/Super-Fuzz family record.	https://www.effectsdatabase.com/model/teisco/tf1
Teisco	Fuzz Machine	fuzz	1970s	DISCOVERY	Japanese OEM/rebrand family with numerous parallel labels.	https://www.effectsdatabase.com/model/teisco/fuzzmachine
Teisco	Wau Wau Fuzz	fuzz-wah	early-mid 1970s	DISCOVERY	Long-format OEM fuzz-wah; reported Shin-Ei family relationship retained.	https://www.effectsdatabase.com/model/teisco/wauwaufuzz
Teisco	Fuzz	fuzz	2018-present	INDEXED_BASELINE	Modern revival-era Teisco catalog entry, kept separate from vintage OEM records.	https://www.effectsdatabase.com/model/teisco
Teisco	Distortion	distortion	2020-present	INDEXED_BASELINE	Modern Teisco distortion.	https://www.effectsdatabase.com/model/teisco/distortion
Teisco	Overdrive	overdrive	2020-present	INDEXED_BASELINE	Modern Teisco overdrive.	https://www.effectsdatabase.com/model/teisco/overdrive
Teisco	Mini Dee Overdrive	overdrive	2025-2026	INDEXED_BASELINE	Recent compact overdrive entry.	https://www.effectsdatabase.com/model/teisco/mini/overdrive/dee
ELK	Big Muff Sustainar	fuzz	mid 1970s	INDEXED_BASELINE	ELK Gakki product; alternate Electro Sound Co. branding appears in surviving records.	https://www.effectsdatabase.com/model/elk/bigmuff
ELK	ES-960 Super Fuzz Sustainar	fuzz	1970s	INDEXED_BASELINE	Indexed historical ELK fuzz/sustain model.	https://www.effectsdatabase.com/model/elk
ELK	SFS-1 Super Fuzz Sustainar	reissue fuzz	later reissue era	INDEXED_BASELINE	Reissue state retained as a separate generation/edition record.	https://www.effectsdatabase.com/model/elk
ELK	WF-1100 Wau Fuzz	fuzz-wah	1970s	INDEXED_BASELINE	Historical ELK Wau Fuzz model.	https://www.effectsdatabase.com/model/elk
ELK	WS-1400 Wau & Sustainer	fuzz-wah	1970s	INDEXED_BASELINE	Historical combined wah/fuzz/sustainer model.	https://www.effectsdatabase.com/model/elk
Aria	FW-1 Fuzz Wah Machine	fuzz-wah	1970s-1980s	INDEXED_BASELINE	Aria-branded fuzz-wah record.	https://www.effectsdatabase.com/model/aria/fw1
Aria	RP-2 Fuzz Wah Wah	fuzz-wah	1970s-1980s	INDEXED_BASELINE	Indexed Aria fuzz-wah model.	https://www.effectsdatabase.com/model/aria
Aria	Cruncher	distortion	1980s-1990s	DISCOVERY	Indexed dirt model; chronology needs deeper catalog work.	https://www.effectsdatabase.com/model/aria
Aria	TD-1 Platinum Drive	overdrive	1990s	DISCOVERY	Indexed Aria drive model.	https://www.effectsdatabase.com/model/aria
Aria	ADT-1 Distortion	distortion	1980s-1990s	DISCOVERY	Part of an Aria/other-brand OEM family; preserve manufacturer/brand roles.	https://www.effectsdatabase.com/model/aria/a1/adt1
Aria	ATO-1 Tube Overdrive	overdrive	1979-1983	DISCOVERY	Part of an Aria/other-brand family with later Ken Multi/Monarch/Pick Boy relationships.	https://www.effectsdatabase.com/model/aria/a1/ato1
Aria	OD-10 Overdrive	overdrive	2000s	INDEXED_BASELINE	Diecast-era Aria overdrive; related EOD-3 OEM family.	https://www.effectsdatabase.com/model/aria/diecast/overdrive
Aria	DT-10 Distortion	distortion	2000s	INDEXED_BASELINE	Diecast-era Aria distortion; multiple OEM/branded relationships require deeper reconciliation.	https://www.effectsdatabase.com/model/aria/diecast/distortion
