canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	Late 1960s-early 1970s	Jen Double Sound	fuzz-wah	INDEXED_RELATIONSHIP	Core JEN-branded fuzz-wah; 1973 Pescara specimen in ToneHome; broader retail family also appears under VOX and other labels	https://www.effectsdatabase.com/model/jen/doublesound ; https://www.tonehome.de/jen/double-sound/
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	1970s	Jen Super Double Sound	fuzz-wah-volume	INDEXED_RELATIONSHIP	Separate JEN catalog model from basic Double Sound; Effects Database maintains distinct model record	https://www.effectsdatabase.com/model/jen/doublesound/super
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	Mid 1970s	Jen Fuzz FZ-III	fuzz	INDEXED_RELATIONSHIP	ToneHome documents JEN FZ-III made in Pescara in the mid-1970s and notes multiple retail brandings	https://www.tonehome.de/jen/fuzz-fz-iii/ ; https://www.effectsdatabase.com/model/jen
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	Mid 1970s	FBT Fuzz FF-III	fuzz	INDEXED_RELATIONSHIP	ToneHome explicitly identifies FBT FF-III as a differently branded version of JEN Fuzz FZ-III, made by JEN in Pescara	https://www.tonehome.de/jen/fbt-fuzz-iii/
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	Late 1970s	Ricken's Fuzz FR-III	fuzz	INDEXED_RELATIONSHIP	ToneHome documents Ricken's Fuzz FR-III as made by JEN in Pescara, late 1970s	https://www.tonehome.de/jen/ricken-s-fuzz-fr-iii/
JEN / EME Italian Vox production	PHYSICAL_BUILDER_LINEAGE	Italy	1966-early 1970s	Vox Tone Bender V828 grey	fuzz	INDEXED_RELATIONSHIP	Fuzzboxes dates grey Italian V828 around 1966-1968; early production attributed to EME, later production to JEN; keep distinct from British Sola Sound MK1.5	https://fuzzboxes.org/features/tonebenders
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	1968-early 1970s	Vox Tone Bender V828 black	fuzz	INDEXED_RELATIONSHIP	Black V828 successor to grey state, Italian-made around 1968-early 1970s; JEN production state preserved separately from earlier EME role	https://fuzzboxes.org/features/tonebenders
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	1970s	Vox by Jen V8281 Tone Bender	fuzz	INDEXED_RELATIONSHIP	Dedicated model page plus ToneHome VOX-by-JEN catalog support a later V8281 retail state in the Pescara production corridor	https://www.effectsdatabase.com/model/vox/jen/tonebender ; https://www.tonehome.de/vox/vox-by-jen/
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	Late 1960s-early 1970s	Vox by Jen Double Sound	fuzz-wah	INDEXED_RELATIONSHIP	VOX-branded Double Sound produced in JEN Pescara factory; related Thomas Organ 9-3701 and VOX 9-3700 retail states retain separate identities	https://www.effectsdatabase.com/model/vox/jen/doublesound
JEN Elettronica	PHYSICAL_BUILDER_LINEAGE	Italy	1970s	Luxor Double Sound	fuzz-wah	INDEXED_RELATIONSHIP	Effects Database explicitly identifies Luxor Double Sound as 1970s Italian-made by JEN Elettronica in Pescara	https://www.effectsdatabase.com/model/luxor/doublesound
