record_id	builder	marketed_identity	model_or_product	country	period	category	catalog_status	variation_flag	variation_confidence	variation_note	evidence_summary	source_1	source_2
CAT-103-001	JEN Elettronica	Vox by Jen / Thomas Organ	V828 Tone Bender	Italy / USA	1966-late 1960s-early 1970s	fuzz	MAPPED	YES	CONFIRMED	Black crinkle-coat and gray hammertone enclosure states are documented; internal transistor/capacitor configurations also varied across production.	JEN manufactured the V828 for Thomas Organ/Vox. Period and specialist sources document distinct finish states and changing component configurations across production.	https://www.voxshowroom.com/us/misc/v828.html	https://www.effectsdatabase.com/model/vox/thomas/tonebender
CAT-103-002	JEN Elettronica	JEN	Tone Bender / JEN Fuzz	Italy	late 1960s-1970s	fuzz	MAPPED	YES	PROBABLE	Likely shares the Italian V828/JEN enclosure and PCB family, with retailer/OEM identities requiring cross-indexing.	JEN used the V828-style enclosure and board for its own fuzz products and OEM customers including Elka and Luxor.	https://www.effectsdatabase.com/model/vox/thomas/tonebender	https://www.voxshowroom.com/us/misc/v828.html
CAT-103-003	JEN Elettronica	JEN / Dallas-Arbiter / Sam Ash	Jumbo Fuzz	Italy	1973-1975	fuzz	MAPPED	YES	CONFIRMED	Gate-equipped and reduced-component specimens exist; marketed states include JEN Jumbo Fuzz, Dallas-Arbiter Jumbo Fuzz, Sam Ash Jumbo Fuzz and Sam Ash Fuzzola II.	The JEN Jumbo Fuzz is a modified Big Muff-type pedal with a germanium noise-gate section, but surviving OEM examples do not all retain the full gate component set.	https://www.bigmuffpage.com/Big_Muff_Pi_versions_schematics_part1.html	https://www.kitrae.net/music/Fuzz_Big_Muff_Timeline.html
CAT-103-004	JEN Elettronica	Elka / Luxor / other OEM	V828-family fuzz OEMs	Italy	late 1960s-1970s	fuzz	MAPPED	YES	PROBABLE	Shared enclosure/PCB lineage is an explicit future cross-index target rather than evidence that all retail labels are identical production states.	JEN reused its fuzz enclosure and PCB family for multiple brands. The archive should treat these as marketed identities linked to the physical OEM maker.	https://www.voxshowroom.com/us/misc/v828.html	https://www.effectsdatabase.com/model/vox/thomas/tonebender
CAT-103-005	Selmer	Selmer	Buzz-Tone	UK	1966-early 1970s	distortion/fuzz	MAPPED	YES	PROBABLE	Early Buzz-Tone and later production states need specimen-level comparison; exact factory transition remains open.	Selmer introduced the Buzz-Tone in the mid-1960s and later developed more sophisticated dirt products, making production-state separation important.	https://www.vintagehofner.co.uk/gallery/gallery3/sel6.html	https://fuzzboxes.org/buzztone
CAT-103-006	Selmer	Selmer	Fuzz-Wah / Fuzz-Wah Repeat	UK / Far East	1968-c.1971+	fuzz-wah	MAPPED	YES	CONFIRMED	At least two major physical/product states are documented: first Selmer-designed UK version and later imported Far East version. Repeat/chop capability is part of the early state.	Selmer engineer John Weir documented the 1968 design and later Far East sourcing. Effects Database separately indexes Selmer Fuzz-Wah and Fuzz-Wah Repeat identities.	https://www.vintagehofner.co.uk/gallery/gallery3/wah.html	https://www.effectsdatabase.com/type/fuzz/wah?page=1
CAT-103-007	Selmer	Selmer	Wau Wau Fuzz	UK / Far East?	1970s	fuzz-wah	DISCOVERY	YES	PROBABLE	The catalog index distinguishes Wau Wau Fuzz from Fuzz-Wah, suggesting a separate product state requiring attribution and chronology review.	Effects Database indexes Wau Wau Fuzz separately from Selmer Fuzz-Wah; exact manufacturing relationship remains unresolved.	https://www.effectsdatabase.com/type/fuzz/wah?page=1	https://www.vintagehofner.co.uk/gallery/gallery3/sel6.html
CAT-103-008	Cav. Giovanni Moreschi / Moreschi	Moreschi	Octave Fuzz	Italy	1970s	octave fuzz	MAPPED	YES	PROBABLE	Surviving examples should be checked against finish, control labeling and component-period evidence; known construction is rare and regionally distributed.	Moreschi manufactured an Italian Octave Fuzz in cooperation with Gary Hurst / Electronic Sounds. The pedal shares its design corridor with the CBS-Arbiter Doubler and Electronic Sounds UFO Octa-Fuzz.	https://www.effectsdatabase.com/model/moreschi/octavefuzz	https://www.amplifiedparts.com/tech-articles/moreschi-wah-fuzz-teardown
CAT-103-009	Cav. Giovanni Moreschi / Moreschi	Moreschi	Wah-Fuzz	Italy	1970s	fuzz-wah	MAPPED	YES	PROBABLE	Potential label/finish and production-state variation needs specimen comparison before promotion.	The Moreschi Wah-Fuzz is another Gary Hurst/Electronic Sounds collaboration manufactured in Castelfidardo; surviving examples are scarce.	https://www.amplifiedparts.com/tech-articles/moreschi-wah-fuzz-teardown	https://www.effectsdatabase.com/model/moreschi/octavefuzz
CAT-103-010	Kurosawa / Kurosawa Gakki	Kurosawa	The Fuzz	Japan	late 1970s-1980s	fuzz	DISCOVERY	YES	PROBABLE	At least two surviving examples are documented. The enclosure resembles Locobox products but external and internal differences argue against simply assigning the pedal to Locobox; boxed specimen exists at ¥1980.	The builder remains unresolved. The board is marked PRAT-7 and Kurosawa, while two examined examples share core construction. Keep as discovery-only until factory evidence improves.	https://www.tonemachinesblog.com/2024/02/kurosawa-fuzz.html	https://www.effectsdatabase.com/model/unknown/japan/thefuzz
