canonical_builder	product_name	dirt_role	catalog_record_state	period_or_corridor	confidence	notes	evidence
Maza FX	Versatile Preamp	OVERDRIVE_DISTORTION	HISTORICAL_ANCHOR	2011-2010s	HIGH	Maza FX's archived historical site names Versatile Preamp among its first two commercial pedals.	https://mazafx.com.ar.cp17a.ezhostingserver.com/
Maza FX	Broken Head Fuzz	FUZZ	HISTORICAL_AND_CURRENT_ANCHOR	2011-present	HIGH	Archived Maza history identifies Broken Head Fuzz as a first-generation product; later version 3 launch is explicitly dated in the site's timeline and a current First Line Fuzz remains separate.	https://mazafx.com.ar.cp17a.ezhostingserver.com/ ; https://mazafx.com.ar/producto/first-line-fuzz/
Maza FX	Feel Overdrive	OVERDRIVE	HISTORICAL_ANCHOR	2011-2010s	HIGH	Archived launch entry dates release to October 31, 2011.	https://mazafx.com.ar.cp17a.ezhostingserver.com/
Maza FX	Drago Distortion	DISTORTION	HISTORICAL_ANCHOR	2011-2010s	HIGH	Archived Maza timeline dates initial launch to September 1, 2011 and later records a new-version production cycle.	https://mazafx.com.ar.cp17a.ezhostingserver.com/
Maza FX	Kid Rock Distortion	DISTORTION	HISTORICAL_ANCHOR	2012-2010s	HIGH	Archived Maza timeline dates the launch to August 2012 and later announces Kid Rock V2.	https://mazafx.com.ar.cp17a.ezhostingserver.com/
Maza FX	High Crossfire / High Crossfire White	OVERDRIVE	HISTORICAL_ANCHOR	2013-2010s	HIGH	Archived launch timeline documents a limited preorder in December 2013 followed by broader availability in January 2014.	https://mazafx.com.ar.cp17a.ezhostingserver.com/
Maza FX	Crossfire Overdrive	OVERDRIVE	HISTORICAL_ANCHOR	2010s	MEDIUM	Listed in the archived Maza product roster; exact generation chronology needs product-page recovery.	https://mazafx.com.ar.cp17a.ezhostingserver.com/
Maza FX	BS Distortion	DISTORTION	HISTORICAL_ANCHOR	2016-2010s	HIGH	Archived timeline dates BS Distortion release to August 31, 2016.	https://mazafx.com.ar.cp17a.ezhostingserver.com/
Maza FX	First Line FUZZ	FUZZ	CURRENT_VERIFIED	2020s-present	HIGH	Current official Maza catalog/product page confirms First Line Fuzz as a current fuzz product, while preserving older Broken Head Fuzz history separately.	https://mazafx.com.ar/producto/first-line-fuzz/
Maza FX	Rebel Atomic Distortion	DISTORTION	CURRENT_VERIFIED	2020s-present	HIGH	Current Maza storefront lists Rebel Atomic Distortion and a separate Origin edition/state.	https://mazafx.com.ar/
Maza FX	Temple Overdrive	OVERDRIVE	CURRENT_VERIFIED	2020s-present	HIGH	Current Maza storefront lists Temple Overdrive as a current product state.	https://mazafx.com.ar/
Maza FX	The Myth Overdrive	OVERDRIVE	CURRENT_VERIFIED	2020s-present	HIGH	Current Maza storefront lists The Myth Overdrive.	https://mazafx.com.ar/
Maza FX	OBI Natural Low Drive	OVERDRIVE	CURRENT_VERIFIED	2020s-present	HIGH	Current Maza storefront lists OBI Natural Low Drive.	https://mazafx.com.ar/
Maza FX	Burn preamp boost	BOOST_BOUNDARY	CURRENT_VERIFIED_BOUNDARY	2020s-present	HIGH	Current storefront lists Burn preamp boost; retain as a boundary/adjacent gain product rather than inflate the central OD count.	https://mazafx.com.ar/
Maza FX	LEGEND Over/Boost	OVERDRIVE_BOOST	CURRENT_VERIFIED	2020s-present	HIGH	Current storefront lists LEGEND Over/Boost.	https://mazafx.com.ar/
Sabbadius Electronics	Electric Church BC183 Silicon Fuzz	FUZZ	CURRENT_VERIFIED	2020s-present	HIGH	Official current fuzz catalog lists Electric Church BC183 Silicon Fuzz.	https://www.sabbadius.com/?product_cat=fuzz
Sabbadius Electronics	Love Drops Fuzz	FUZZ	CURRENT_VERIFIED	2020s-present	HIGH	Official current fuzz catalog lists Love Drops Fuzz.	https://www.sabbadius.com/?product_cat=fuzz
Sabbadius Electronics	Rainbow Fuzz BC108c	FUZZ	CURRENT_VERIFIED	2020s-present	HIGH	Official current fuzz catalog lists Rainbow Fuzz BC108c.	https://www.sabbadius.com/?product_cat=fuzz
Sabbadius Electronics	Rocktavia	FUZZ	CURRENT_VERIFIED	2020s-present	HIGH	Official current fuzz catalog lists Rocktavia.	https://www.sabbadius.com/?product_cat=fuzz
Sabbadius Electronics	JIMI Fuzz v2	FUZZ	CURRENT_VERIFIED	2020s-present	HIGH	Official current English fuzz catalog lists JIMI Fuzz v2, while older JIMI Fuzz appears in discontinued-product records.	https://www.sabbadius.com/?lang=en&page_id=100 ; https://www.sabbadius.com/?page_id=927
Sabbadius Electronics	1966 Germanium Fuzz	FUZZ	DISCONTINUED_VERIFIED	HISTORICAL/RETIRED	HIGH	Official discontinued-products page lists this as a retired fuzz product.	https://www.sabbadius.com/?page_id=927
Sabbadius Electronics	1988 Austin Texas Fuzz	FUZZ	DISCONTINUED_VERIFIED	HISTORICAL/RETIRED	HIGH	Official discontinued-products page lists this as a retired fuzz product.	https://www.sabbadius.com/?page_id=927
Sabbadius Electronics	1989 Hybrid Fuzz	FUZZ	DISCONTINUED_VERIFIED	HISTORICAL/RETIRED	HIGH	Official discontinued-products page lists this retired fuzz; the product page confirms the model identity.	https://www.sabbadius.com/?page_id=927 ; https://www.sabbadius.com/?product=1989-hybrid-fuzz-2
Sabbadius Electronics	Black Gold Distortion	DISTORTION	DISCONTINUED_VERIFIED	HISTORICAL/RETIRED	HIGH	Official discontinued-products page lists Black Gold Distortion; current product page preserves the model identity.	https://www.sabbadius.com/?page_id=927 ; https://www.sabbadius.com/?lang=en&product=black-gold-distortion-2
Sabbadius Electronics	TORO ARGENTINO OVERDRIVE	OVERDRIVE	LIMITED_EDITION_HISTORICAL	2022	HIGH	Official product page states this was a 20-unit 2022 limited edition.	https://www.sabbadius.com/?lang=en&product=el-toro-overdrive-2
Sabbadius Electronics	Triple Trouble	OVERDRIVE_FUZZ_MULTIEFFECT	DISCONTINUED_VERIFIED	2012-2010s	HIGH	Official page describes a discontinued three-effect analog pedal assembled around Toro Overdrive, Mr. White Special II and 1988 Austin Texas Fuzz; retain as a composite product record.	https://www.sabbadius.com/?product=triple-trouble
Singletone Amplification	TruenoTierra Fuzz	FUZZ	ARTIST_RELATED_CATALOG_CANDIDATE	2010s-present	MEDIUM	Official artist page links Chizzo Napoli of La Renga with a Singletone TruenoTierra Fuzz; product catalog chronology still requires recovery.	https://singletone.com.ar/artistas.html
Singletone Amplification	London Island Fuzz	FUZZ	ARTIST_RELATED_CATALOG_CANDIDATE	2010s-present	MEDIUM	Official artist page lists London Island Fuzz in artist rigs; product-level historical catalog evidence is still incomplete.	https://singletone.com.ar/artistas.html
