canonical_builder	model	alias_or_variant	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
MJM Guitar FX	London Fuzz	London Fuzz Germanium; London Fuzz w/ Bias; London Fuzz Red w/ Bias	FUZZ	2000s-present	INDEXED_BASELINE_MAPPED	PRIMARY-ADJACENT	Flagship fuzz family; preserve germanium, silicon and bias-oriented marketed states rather than treating every finish as a separate model. MJM FAQ explicitly documents Germanium/Silicon variants and a bias version.	https://mjmguitarfx.com/faq-warranty/ ; https://equipboard.com/brands/mjm
MJM Guitar FX	London II Fuzz	London Fuzz II	FUZZ	2000s-present	INDEXED_BASELINE_MAPPED	SECONDARY	Distinct marketed London-family product in historical catalog indexes; retain separately pending primary catalog chronology.	https://equipboard.com/brands/mjm ; https://en.audiofanzine.com/mjm-guitar-fx/
MJM Guitar FX	Brit Bender	Brit Bender 2 Knob; Brit Bender 3 Knob	FUZZ	2000s-present	INDEXED_BASELINE_MAPPED	SECONDARY	Two- and three-control states are retained as historical variants; do not infer exact production boundary without specimen/catalog evidence.	https://equipboard.com/brands/mjm ; https://www.music-blvd.com/sitemap/category/108/amps-effects
MJM Guitar FX	Foxey Fuzz		FUZZ	2000s-present	INDEXED_BASELINE_MAPPED	SECONDARY	Documented as a separate MJM fuzz product in multiple catalog indexes.	https://equipboard.com/brands/mjm ; https://en.audiofanzine.com/fuzz-guitare/mjm-guitar-fx/
MJM Guitar FX	China Fuzz		FUZZ	2000s-present	INDEXED_BASELINE_MAPPED	SECONDARY	Documented as a separate MJM fuzz product; exact production corridor remains to be reconstructed.	https://equipboard.com/brands/mjm ; https://www.music-blvd.com/sitemap/category/108/amps-effects
MJM Guitar FX	Roctavios	Roctavious	OCTAVE_FUZZ	2000s-present	INDEXED_BASELINE_MAPPED	SECONDARY	Octave-fuzz product; catalog spelling varies between Roctavios and Roctavious in surviving indexes, so retain alias relationship.	https://equipboard.com/brands/mjm ; https://www.music-blvd.com/sitemap/category/108/amps-effects
MJM Guitar FX	King Buzz		FUZZ	2000s-present	DISCOVERY_ONLY	SECONDARY	Product is indexed by Equipboard but lifetime chronology and primary-source catalog evidence still require verification.	https://equipboard.com/brands/mjm
MJM Guitar FX	Phantom Overdrive		OVERDRIVE	2000s-present	INDEXED_BASELINE_MAPPED	SECONDARY	Separate overdrive identity documented in multiple retailer/catalog indexes.	https://equipboard.com/brands/mjm ; https://www.music-blvd.com/sitemap/category/108/amps-effects
MJM Guitar FX	Luxora Overdrive		OVERDRIVE	2000s-present	DISCOVERY_ONLY	SECONDARY	Indexed as an MJM overdrive; primary catalog chronology remains unresolved.	https://equipboard.com/brands/mjm
MJM Guitar FX	Blues Devil Overdrive		OVERDRIVE	2000s-present	DISCOVERY_ONLY	SECONDARY	Indexed by Audiofanzine as an MJM overdrive; requires primary-source chronology and variant verification.	https://en.audiofanzine.com/mjm-guitar-fx/
MJM Guitar FX	Dallas Boost	Dallas Boost / RM Booster	BOOST_BOUNDARY	2000s-present	BOUNDARY_RECORD	SECONDARY	Gain-adjacent boost retained as a boundary record rather than inflating the central OD/distortion/fuzz count. Historical indexes use both Dallas Boost and RM Booster labels.	https://equipboard.com/brands/mjm ; https://www.music-blvd.com/sitemap/category/108/amps-effects
