canonical_builder	model	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_refs
EarthQuaker Devices	Hoof	FUZZ	2007	ENUMERATED	PRIMARY	Official EQD history calls Hoof the first full-production run pedal, released in 2007; early basement-era product.	https://www.earthquakerdevices.com/about
EarthQuaker Devices	Tone Reaper	FUZZ	2008-2010	ENUMERATED	PRIMARY_ADJACENT	Early bender-oriented fuzz in the basement-production era; later combined with Hoof in Hoof Reaper.	https://www.earthquakerdevices.com/blog-posts/fuzzcyclopedia
EarthQuaker Devices	Hoof Reaper	FUZZ_MULTI	2010	ENUMERATED	PRIMARY	Originally a limited run of about 25 units for ToneFactor in 2010 before later reintroduction; Hoof + Tone Reaper + octave.	https://www.earthquakerdevices.com/hoof-reaper ; https://www.earthquakerdevices.com/blog-posts/fuzzcyclopedia
EarthQuaker Devices	Dirt Transmitter	FUZZ	2007-2011	INDEXED_BASELINE	SECONDARY	Early fuzz family named in EQD retrospective; exact first-sale date requires individual follow-up.	https://www.earthquakerdevices.com/blog-posts/fuzzcyclopedia
EarthQuaker Devices	Chrysalis	OVERDRIVE	2000s-2010s	INDEXED_BASELINE	SECONDARY	Early gain family referenced by EQD as a prototype and later catalog product; exact commercial launch remains follow-up.	https://www.earthquakerdevices.com/blog-posts/fuzzcyclopedia
EarthQuaker Devices	Monarch	OVERDRIVE	2000s-2010s	INDEXED_BASELINE	SECONDARY	Early gain family referenced in EQD retrospective; exact commercial launch remains follow-up.	https://www.earthquakerdevices.com/blog-posts/fuzzcyclopedia
Death By Audio	Total Sonic Annihilation	LOOP/DIRT_BOUNDARY	2002-2003	BOUNDARY	PRIMARY	Company's first production design; experimental feedback-loop pedal and important origin record, retained outside central fuzz/OD/distortion count.
https://deathbyaudio.com/pages/about-timeline ; https://www.musicradar.com/news/tone-makers-death-by-audios-oliver-ackermann
Death By Audio	Fuzz War	FUZZ	2000s	ENUMERATED	PRIMARY	Core early DBA fuzz; current official page preserves the model and its fuzz-to-distortion sweep.
https://deathbyaudio.com/collections/1/products/fuzz-war
Death By Audio	Interstellar Overdriver	OVERDRIVE	2000s	INDEXED_BASELINE	SECONDARY	Early DBA dirt family; preserve as distinct retail model from Fuzz War.
https://deathbyaudio.com/
Death By Audio	Apocalypse	DISTORTION	2000s-2010s	INDEXED_BASELINE	SECONDARY	Early high-gain DBA dirt family; exact first-sale date remains follow-up.
https://deathbyaudio.com/
Malekko Heavy Industry	B:Assmaster	OCTAVE_FUZZ	2007	ENUMERATED	SPECIALIST	Effects Database dates publication February 13, 2007; Tape Op reviewed the pedal in Jul/Aug 2007 and identifies it as a contemporary tribute to the Maestro Bass Brassmaster.
https://www.effectsdatabase.com/model/malekko/bassmaster ; https://old.tapeop.com/reviews/gear/60/bassmaster-distortion-pedal/
Malekko Heavy Industry	Echo 600	NON_DIRT_BOUNDARY	2007-2008	BOUNDARY	PRIMARY_ADJACENT	Important company-era marker but delay is outside central dirt scope; retained as chronology context only.
https://www.austinchronicle.com/music/harmonic-distortion-11739220/
Caroline Guitar Company	Wave Cannon	OVERDRIVE_DISTORTION	October 2010	ENUMERATED	PRIMARY_ADJACENT	First product. Effects Database gives Nov. 8, 2010 publication; Caroline says first sales in October 2010. First 75 were hand-built and numbered.
https://carolineguitar.com/about/ ; https://www.effectsdatabase.com/model/caroline/wavecannon
Caroline Guitar Company	Olympia Fuzz	FUZZ	2011	ENUMERATED	PRIMARY_ADJACENT	Follow-up fuzz launched through Kickstarter in 2011; keep campaign/launch state distinct from later versions.
https://carolineguitar.com/category/about-us/ ; https://carolineguitar.com/faq-a-big-batch-of-faq-lovingly-answered/
Walrus Audio	Jupiter	FUZZ	December 2011	ENUMERATED	SPECIALIST	Effects Database publication date Dec. 22, 2011; important early Walrus fuzz family.
https://www.effectsdatabase.com/model/walrus/jupiter
Walrus Audio	Mayflower	OVERDRIVE	2010s	INDEXED_BASELINE	SECONDARY	Early Walrus overdrive family; exact first-sale date requires product-level follow-up.
https://www.walrusaudio.com/pages/our-story
Black Arts Toneworks	Pharaoh	FUZZ_OVERDRIVE	2010	ENUMERATED	PRIMARY	BAT says it has been building pedals since 2010; archived Dec. 2010 posts document production runs of Pharaoh, and the official product page describes fuzz through boost/OD behavior.
https://www.blackartstoneworks.com/contact/ ; https://blackartstoneworks.blogspot.com/2010_12_19_archive.html ; https://www.blackartstoneworks.com/pedal/pharaoh/
