canonical_builder	known_names_or_aliases	region	model_or_family	category	period_or_anchor	identity_role	evidence_state	source_refs	notes
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	No. 35 Fuzz Booster / Haztone family	fuzz	c.1967	design/manufacturing candidate	DISCOVERY	https://www.tonemachinesblog.com/2025/06/mystery-of-japanese-wedge-fuzz.html; https://www.effectsdatabase.com/model/greco/fuzzbooster	Greco No.35 and Sekova wedge-fuzz relationship is strong enough for a dedicated lineage record, but factory attribution remains qualified rather than absolute.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Sekova Model 59 Distortion Box / Wedge Fuzz	fuzz	late 1960s-early 1970s	OEM/manufacturer candidate	DISCOVERY	https://www.effectsdatabase.com/model/sekova/59	Sekova was a U.S.-market brand/import identity; Effects Database reports strong evidence for Nisshin Onpa manufacture.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon D&S / OD-801	fuzz/distortion	1974	manufacturer	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/808/od801	Early Maxon dirt family. Preserve OD-801 and later OD-802 D&S II as distinct product generations.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon D&S II / OD-802	 distortion/sustain	1974	manufacturer	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/808/od802	Documented as a 1974 release and important bridge between fuzz/distortion and later overdrive terminology.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon OD-880 Overdrive / Soft Distortion	od/distortion	1977	manufacturer	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/9/osd9	Documented 1977 origin; later OSD-9 is a reworked successor rather than the same production state.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon OD-808	od	1979	manufacturer/OEM	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/808/od808	Originally released in 1979; Maxon domestic identity and Ibanez-branded OEM history must remain linked but not collapsed into one retail model.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon SD-9 Sonic Distortion	 distortion	1980s	manufacturer	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/9/sd9	Early-1980s cult distortion; later Scott Henderson SD-9SH is a separate signature state.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon 9 Series dirt family	od/distortion	1980s	manufacturer/OEM	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/9	Effects Database lists 32 total 9-Series products, including MD-9, OD-9, OOD-9, OSD-9, SD-9, SM-9, ST-9, TBO-9, TOD-9 and VOP-9. Full dirt-row reconciliation remains pending.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon OD-01 The Driver	od/distortion	mid-1980s	manufacturer	DISCOVERY	https://www.effectsdatabase.com/model/maxon/01/od01	Domestic Zero-One series dual-mode drive; retain as catalog candidate pending primary-source confirmation.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon POD-1 Overdrive/Distortion	od/distortion	1990s-era DCP	manufacturer	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/dcp/pod1	Programmable DCP family boundary record. Keep because it is explicitly dirt, but separate from analog pedal families.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon RTD800 Real Tube Overdrive/Distortion	od/distortion	2011	manufacturer	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/retube/rtd800	Modern tube-based dual dirt product. Include as later Maxon production rather than vintage continuity.
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Maxon Fuzz Elements family	fuzz	2013	manufacturer	INDEXED_BASELINE_MAPPED	https://www.effectsdatabase.com/model/maxon/fuzzelements/air; https://www.effectsdatabase.com/model/maxon/fuzzelements/fire; https://www.effectsdatabase.com/model/maxon/fuzzelements/ether; https://www.effectsdatabase.com/model/maxon/fuzzelements/earth	Modern Japanese vintage-fuzz recreation family. Individual FA10/FE10/FF10/FEA10/FW10 and additional members need a complete family enumeration.
