canonical_builder	product_name	family	category	date_or_corridor	identity_role	evidence_status	notes	source_refs
Nisshin Onpa / Maxon	Fuzz-Wah	Fuzz-Wah	fuzz/hybrid	1969-early 1970s	manufacturer/OEM	VERIFIED_BASELINE	Nisshin Onpa is documented as entering effects manufacture in 1969 and producing a popular fuzz-wah sold under multiple trade names.	https://www.premierguitar.com/gear/state-of-the-stomp-maxons-susumu-tamura-interview; https://www.tonemachinesblog.com/2025/06/mystery-of-japanese-wedge-fuzz.html
Nisshin Onpa / Maxon	D&S / OD-801	D&S	fuzz/distortion/sustainer	1974	manufacturer/Maxon	VERIFIED_BASELINE	Maxon OD-801 D&S is a modified Big Muff-style four-transistor dirt design; later related OEM products require separate model records.	https://www.kitrae.net/music/History_of_Big_Muff_Clones.html
Nisshin Onpa / Maxon	D&S II	D&S II	overdrive/distortion	mid-1970s	manufacturer/Maxon	BASELINE_MAPPED	Distinct D&S generation; retain separate from the Big Muff-derived D&S/OD-801 family.	https://www.effectsdatabase.com/model/maxon/ds2
Nisshin Onpa / Maxon	OD-880	OD-880	overdrive/distortion	1977	manufacturer/Maxon	VERIFIED_BASELINE	Important early Maxon overdrive family; chronology requires individual specimen reconciliation.	https://www.effectsdatabase.com/model/maxon/od880
Nisshin Onpa / Maxon	OD-808	808 series	overdrive	late 1970s	manufacturer/OEM	VERIFIED_BASELINE	Same manufacturer lineage as Ibanez TS-808; Maxon and Ibanez naming must remain linked without creating duplicate factories.	https://maxonfx.com/pages/about-maxon-guitar-effects-pedals-maxonfx-com; https://www.premierguitar.com/gear/state-of-the-stomp-maxons-susumu-tamura-interview
Nisshin Onpa / Maxon	OD-9	9 Series	overdrive	1980s	manufacturer/OEM	BASELINE_MAPPED	Later Maxon/Ibanez 9-Series relationship; production-era variants need separate archaeology.	https://maxonfx.com/pages/about-maxon-guitar-effects-pedals-maxonfx-com
Nisshin Onpa / Maxon	SD-9 Sonic Distortion	9 Series	distortion	1980s	manufacturer/OEM	BASELINE_MAPPED	Canonical Nisshin/Maxon distortion family with Ibanez relationship.	https://www.effectsdatabase.com/model/maxon/sd9
Nisshin Onpa / Maxon	MD-9 Magnum Distortion	9 Series	distortion	1980s	manufacturer/Maxon	BASELINE_MAPPED	Related to the Nisshin Onpa Big Muff-derived design family; keep model lineage distinct.	https://www.effectsdatabase.com/model/maxon/md9
Nisshin Onpa / Maxon	JD-01 Jet Driver	Maxon compact dirt	distortion/overdrive	1980s	manufacturer/Maxon	BASELINE_MAPPED	Documented as sharing lineage with the D&S-derived PCB family in specialist Big Muff research.	https://www.kitrae.net/music/History_of_Big_Muff_Clones.html
Nisshin Onpa / Maxon	Fuzz Elements	Fuzz Elements	fuzz	2000s-present	manufacturer/Maxon	INDEXED_CURRENT	Later Maxon fuzz family; include all catalog generations in future completion pass.
https://www.effectsdatabase.com/model/maxon
