canonical_builder	builder_role	model_or_family	marketed_brand_or_alias	region	era_bucket	category	status	evidence_grade	relationship_notes	source_trail
Garen Electronic Music Instruments MFG.	PHYSICAL_MANUFACTURER	Distortion / Chambre de Distorsion	Garen	France	1966-1970?	distortion/fuzz	INDEXED	A	Jean Guen family history states release in 1966; surviving specimens extend the evidence corridor into 1969 and possibly 1970.	stimer-garen.fr; tonemachinesblog.com; effectsdatabase.com
Garen Electronic Music Instruments MFG.	PHYSICAL_MANUFACTURER	Wah-Wah with distortion	Garen	France	1969+	fuzz-wah	INDEXED_RELATIONSHIP	A	Jean Guen family history states a Garen wah-wah capable of wah and distortion was presented in 1969; exact production span unresolved.	stimer-garen.fr
Selmer UK	PHYSICAL_MANUFACTURER_OR_MARKETED_ENTITY	Buzz Tone	Selmer	United Kingdom	1966	fuzz	INDEXED	A	Presented at August 1966 British Musical Instrument Industries Trade Fair; Holborn assembly is plausible but not proven.	fuzzboxes.org; effectsdatabase.com
Selmer UK	PHYSICAL_MANUFACTURER_OR_MARKETED_ENTITY	Fuzz-Wah	Selmer	United Kingdom	1968-early 1970s	fuzz-wah	INDEXED_RELATIONSHIP	A	Later integrated fuzz-wah derived from the Selmer fuzz lineage; keep separate from Buzz Tone.	fuzzboxes.org; effectsdatabase.com
Astro Amp / Universal Amplifier Corp.	PHYSICAL_MANUFACTURER	Astro Tone Fuzz Box / Astrotone	Astro Tone	USA	1966-1968	fuzz	INDEXED	A	Analog Man identifies New York City production by Astro Amp in 1966-68.	analogman.com; effectsdatabase.com
Astro Amp / Universal Amplifier Corp.	PRIVATE_LABEL_RELATIONSHIP	Sam Ash Fuzz Box	Sam Ash	USA	1966-1968	fuzz	RELATIONSHIP	A	Sam Ash state is documented as a rebrand/private-label version of Astro Tone; do not count as another manufacturer.	analogman.com; effectsdatabase.com
Manny's / East Coast Fuzz cluster	MARKETED_BRAND_CANDIDATE	Manny's Fuzz	Manny's	USA	1966-1968?	fuzz	DISCOVERY_ONLY	B	Recent newspaper-ad research supports real period distribution, but physical manufacturer remains unresolved.	tonemachinesblog.com
Manny's / East Coast Fuzz cluster	MARKETED_BRAND_CANDIDATE	Orpheum Fuzz	Orpheum	USA	1966-1968?	fuzz	DISCOVERY_ONLY	B	Period classified advertising provides distribution evidence; factory attribution remains open.	tonemachinesblog.com
Manny's / East Coast Fuzz cluster	MARKETED_BRAND_CANDIDATE	Clark fuzz	Clark	USA	1966-1968?	fuzz	DISCOVERY_ONLY	B	Keep with East Coast cluster but separate from Mosrite until OEM evidence exists.	tonemachinesblog.com
Montarbo	PHYSICAL_MANUFACTURER_OR_MARKETED_ENTITY	Sinphoton / Sinfhoton	Montarbo	Italy	1968?-early 1980s	fuzz/distortion	INDEXED	B	Multiple physical states documented; exact 1968 first-release claim remains unresolved.	tone­machinesblog.com; digilander.libero.it; Reverb
Montarbo	PHYSICAL_MANUFACTURER_OR_MARKETED_ENTITY	PB-2 Phase Shifter Buzzer	Montarbo	Italy	1970s	fuzz-hybrid	BOUNDARY	B	Separate multi-effect that incorporates the Sinphoton fuzz; keep outside central single-effect count.	Reverb
Caldironi Musica	PHYSICAL_MANUFACTURER_CANDIDATE	Whau-Whau Distortion	Meazzi; Goldsound; G.I.S.; Mac; Gun; Cosmosound	Italy	late 1960s-early 1970s	fuzz-wah	INDEXED_RELATIONSHIP	B	Effects Database attributes family to Caldironi Musica; ToneHome treats factory attribution as probable.	effectsdatabase.com; tonehome.de; hendrixguitars.com
Caldironi Musica	PHYSICAL_MANUFACTURER_CANDIDATE	Distortion Whau-Whau Repeat	Goldsound; Silversound; Cosmosound	Italy	1972-1973	fuzz-wah	INDEXED_RELATIONSHIP	B	ToneHome dates a Goldsound specimen to 1972/73 and identifies matching Silversound/Cosmosound states.	tonehome.de
JEN Elettronica	PHYSICAL_MANUFACTURER	Fuzz FR III	Ricken's	Italy	late 1970s	fuzz	INDEXED_RELATIONSHIP	A	ToneHome identifies Ricken's Fuzz FR III as made by JEN in Pescara.	tonehome.de
Herald Electronics	PHYSICAL_MANUFACTURER_CANDIDATE	AM-44A Fuzz Master	Herald; Apollo; LRE; Melos; Mica; Monacor; Olson	Japan	late 1960s-1970s	fuzz	INDEXED_RELATIONSHIP	B	Effects Database cites a 1970 Herald catalog and a Japanese-made family sold through multiple labels.	effectsdatabase.com
Herald Electronics	PHYSICAL_MANUFACTURER_CANDIDATE	Maestro FZ-1A-derived fuzz family	Apollo; LRE; Melos; Mica; Monacor; Olson	Japan	late 1960s-1970s	fuzz	DISCOVERY_ONLY	B	Model-family linkage is stronger than individual factory attribution; preserve unresolved OEM edges.
effectsdatabase.com; Reverb
Royal	MARKETED_BRAND_OR_MANUFACTURER_CANDIDATE	RF-1 / TF-1 Fuzz Box	Royal	Japan	late 1960s-early 1970s	fuzz	INDEXED_RELATIONSHIP	B	Specialist evidence documents individual fuzz product; Shin-Ei attribution remains probable, not universal.	effectsdatabase.com; bernardduur.com
Royal	MARKETED_BRAND_OR_MANUFACTURER_CANDIDATE	RFC-1 Double Effect Machine	Royal	Japan	late 1960s-early 1970s	fuzz-wah	INDEXED_RELATIONSHIP	B	Effects Database identifies Japanese-made production and probable Shin-Ei manufacture; preserve separate combined-product record.	effectsdatabase.com
