canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Pigdog	Amp Unit	SCOPE_BOUNDARY	BOUNDARY	Mini-amp product retained for builder completeness.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Dirty 8	DISTORTION_OR_FUZZ	ENUMERATED	Dirt product; narrow category deferred.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Driver - Competition Special Treble Booster	BOOST_SCOPE_BOUNDARY	BOUNDARY	Small-batch treble booster; retained outside central dirt count. Effects Database documents 11 units.	https://www.effectsdatabase.com/model/pigdog/driver
Pigdog	Electric Eye	FUZZ	ENUMERATED	Tone Bender MkI-family fuzz built by Steve Williams; model-level chronology deferred.	https://www.effectsdatabase.com/model/pigdog/electriceye
Pigdog	Fuzz 1.5	FUZZ	ENUMERATED	Fuzz product.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Fuzzbound	FUZZ	ENUMERATED	Fuzz product.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Heavy Load	DISTORTION	ENUMERATED	Dirt product.	https://www.effectsdatabase.com/model/pigdog
Pigdog	JuJu	DISTORTION_OR_FUZZ	ENUMERATED	Dirt product; narrow category deferred.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Loony	FUZZ	ENUMERATED	MKI Tone Bender-style fuzz family.	https://www.effectsdatabase.com/model/pigdog/loony
Pigdog	Loony II	FUZZ	ENUMERATED	Follow-up Loony family state.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Low Pro MkII	FUZZ	ENUMERATED	Fuzz-family product.	https://www.effectsdatabase.com/model/pigdog
Pigdog	MkI	FUZZ	ENUMERATED	Tone Bender MkI-family product.	https://www.effectsdatabase.com/model/pigdog/mk1
Pigdog	Professional MkII	FUZZ	ENUMERATED	Hand-built fuzz; published 2011 product record.	https://www.effectsdatabase.com/model/pigdog/mk2
Pigdog	Spectrafuzz	FUZZ	ENUMERATED	Fuzz product.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Supa Pro	FUZZ	ENUMERATED	Fuzz product.	https://www.effectsdatabase.com/model/pigdog
Pigdog	Tin Pan "Two Transistors" - Tone Bender Mk1.5	FUZZ	ENUMERATED	Tone Bender Mk1.5-family product.	https://www.effectsdatabase.com/model/pigdog
