canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Plan-9	66 Bender Ge	FUZZ	ENUMERATED	Explicit germanium Bender-family fuzz.	https://www.effectsdatabase.com/model/plan9
Plan-9	67 Bender MkII Ge	FUZZ	ENUMERATED	Second Bender-family state.	https://www.effectsdatabase.com/model/plan9
Plan-9	68 Classic Fuzz (Si/Ge)	FUZZ	ENUMERATED	Classic fuzz model with silicon/germanium variants.	https://www.effectsdatabase.com/model/plan9
Plan-9	72 Stonner Machine II Si	DISTORTION_OR_FUZZ	ENUMERATED	Dirt model retained pending deeper category resolution.	https://www.effectsdatabase.com/model/plan9
Plan-9	Fuzz Mutante Si	FUZZ	ENUMERATED	Explicit fuzz product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Fuzz Stone Ge	FUZZ	ENUMERATED	Explicit germanium fuzz product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Fuzzy Overdriver Si	OVERDRIVE_FUZZ_HYBRID	ENUMERATED	Hybrid overdrive/fuzz role preserved.	https://www.effectsdatabase.com/model/plan9
Plan-9	Luna Tremolo II Si	SCOPE_BOUNDARY	BOUNDARY	Tremolo product retained for builder completeness.	https://www.effectsdatabase.com/model/plan9
Plan-9	Muffin Fuzzy Distortion II Si	DISTORTION_FUZZ_HYBRID	ENUMERATED	Hybrid Muff/fuzz/distortion family model.	https://www.effectsdatabase.com/model/plan9
Plan-9	Octofuzz Si	FUZZ_HYBRID	ENUMERATED	Octave fuzz product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Plan-Vibe	SCOPE_BOUNDARY	BOUNDARY	Vibe/modulation product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Power Driver Si	OVERDRIVE	ENUMERATED	Drive product retained in dirt catalog.	https://www.effectsdatabase.com/model/plan9
Plan-9	Psycho Fuzz Si	FUZZ	ENUMERATED	Explicit fuzz product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Ram's Head Muffin Si	FUZZ	ENUMERATED	Ram's Head Muff family product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Ram's Head Si	FUZZ	ENUMERATED	Ram's Head fuzz family product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Sky Bender Ge	FUZZ	ENUMERATED	Germanium Bender-family fuzz.	https://www.effectsdatabase.com/model/plan9
Plan-9	Super Wild Fuzz Si	FUZZ	ENUMERATED	Explicit fuzz product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Suppa Fuzz Ge	FUZZ	ENUMERATED	Explicit germanium fuzz product.	https://www.effectsdatabase.com/model/plan9
Plan-9	Tone Ranger Ge	FUZZ	ENUMERATED	Tone Ranger germanium dirt product.	https://www.effectsdatabase.com/model/plan9
