canonical_builder	marketed_name	model_or_family	category	period_anchor	evidence_state	relationship_notes	source_refs
Shin-Ei	Companion	FY-2 Fuzz Box	fuzz	1960s-1970s	INDEXED	Core Shin-Ei/Companion fuzz family; rebrands should attach here rather than become duplicate builders.	https://www.effectsdatabase.com/model/companion/fy2
Shin-Ei	Companion	FY-6 Super Fuzz / Fuzz Master	fuzz	1960s-1970s	INDEXED	FY-6 family has numerous rebranded marketed names; preserve OEM relationship nodes.	https://www.effectsdatabase.com/model/companion/fy6
Shin-Ei	Shin-Ei Companion	WF-8 8-Tr Fuzz Wah	fuzz-wah	late 1960s-1970s	INDEXED	Effects Database links Shin-Ei OEM production to numerous brands including Companion, Jax, National and Crown.	https://www.effectsdatabase.com/model/shinei/companion/wf8
Shin-Ei	Shin-Ei Companion	WF-24 8-Tr Fuzz Wah	fuzz-wah	late 1960s-1970s	INDEXED	WF-24 family has wide-box and multiple marketed-brand variants.	https://www.effectsdatabase.com/model/shinei/wf24
Shin-Ei	Shin-Ei	WF-24 Fuzz Wah Pedal	fuzz-wah	late 1960s-1970s	DOCUMENTARY_INDEX	Indexed separately from branded Companion entries while retaining shared family identity.	https://www.effectsdatabase.com/model/shinei/wf24
Shin-Ei	Shin-Ei	Distortion Wah	fuzz-wah	1970s	DISCOVERED	Named in WF-8 related-product family; requires product-level reconciliation later.	https://www.effectsdatabase.com/model/shinei/companion/wf8
Shin-Ei	Shin-Ei / Companion	FY family	fuzz	1960s-1970s	FAMILY_NODE	Shin-ei documentation describes FY-2, FY-6 and rebranded Super Fuzz lineage; retain family node until complete model enumeration.	https://www.tonehome.de/shin-ei/; https://www.effectsdatabase.com/model/shinei/companion
Shin-Ei	Shin-Ei / alternate OEM labels	Suzuki FY-2	fuzz	1970s Mexico circulation	SPECIMEN_RELATIONSHIP	Effects Database records a Suzuki-branded FY-2 sold in Mexico and attributes Japanese parts/design to Shin-Ei OEM production.	https://www.effectsdatabase.com/model/suzuki/fy2
Shin-Ei	Univox	U-1095 Super-Fuzz	fuzz	late 1960s-early 1970s	MARKETED_OEM_RELATIONSHIP	Univox-branded Super-Fuzz is a separate marketed brand record; preserve Shin-Ei/Unicord manufacturing-distribution relationships.	https://www.effectsdatabase.com/model/univox/superfuzz
Shin-Ei	Univox	U-250 Uni-Fuzz	fuzz	1960s-1970s	MARKETED_OEM_RELATIONSHIP	Separate Univox product node with documented Super Fuzz family relationship.	https://www.effectsdatabase.com/model/univox/unifuzz
Shin-Ei	Rands	FY-6 Fuzz	fuzz	late 1960s-early 1970s	MARKETED_OEM_RELATIONSHIP	Rands is treated as a marketed rebrand, not a separate manufacturer, pending stronger corporate evidence.	https://www.effectsdatabase.com/model/rands/fuzz
Shin-Ei	Royal	RFC-1 Double Effect Machine	fuzz-wah	late 1960s-early 1970s	OEM_CANDIDATE	Effects Database describes it as probably Shin-Ei-produced and Royal-distributed; retain uncertainty.	https://www.effectsdatabase.com/model/royal/rfc1
