canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Shin's Music	2 Way Loop	SCOPE_BOUNDARY	BOUNDARY	Loop utility retained for builder completeness.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Bulldog Fuzz	FUZZ	ENUMERATED	Explicit fuzz model.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	CleanBoost	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost product retained for context, excluded from central dirt count.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	CleanDrive	OVERDRIVE	ENUMERATED	Drive model retained in dirt catalog.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	CleanDrive Plus	OVERDRIVE	ENUMERATED	Revision of CleanDrive family.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	CleanDrive W	OVERDRIVE	ENUMERATED	CleanDrive family variant; version archaeology deferred.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Drive King	OVERDRIVE	ENUMERATED	Drive model.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Drive King Jr.	OVERDRIVE	ENUMERATED	Compact Drive King variant.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Drive King Jr. SP	OVERDRIVE	ENUMERATED	Special edition/variant state retained separately.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Drive King Mini	OVERDRIVE	ENUMERATED	Mini variant of Drive King family.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Dumbloid	OVERDRIVE	ENUMERATED	Core Shin's Music overdrive model.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Dumbloid Special	OVERDRIVE	ENUMERATED	Special variant of Dumbloid; exact period deferred.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Fat Boost	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost product retained for catalog context.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Fat Boost-N	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost variant retained for catalog context.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Galaxy Vibe	SCOPE_BOUNDARY	BOUNDARY	Vibe/modulation product.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Galaxy Vibe DX	SCOPE_BOUNDARY	BOUNDARY	Vibe/modulation variant.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Germa Boost	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost product retained for catalog context.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Perfect Volume	SCOPE_BOUNDARY	BOUNDARY	Volume utility.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Perfect Volume Hybrid	SCOPE_BOUNDARY	BOUNDARY	Volume utility.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Perfect Volume Nashville	SCOPE_BOUNDARY	BOUNDARY	Volume utility.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Snake Comp	SCOPE_BOUNDARY	BOUNDARY	Compressor product.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Soul Boost	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost product retained for completeness.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Soul Boost SE	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost variant retained for completeness.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Super Pre Bass	DIRT_OR_BASS	ENUMERATED	Bass-oriented gain/preamp product; retain pending deeper role verification.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	Ultra Drive	OVERDRIVE	ENUMERATED	Explicit drive model.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	UltraBox	DISTORTION	ENUMERATED	High-gain dirt model.	https://www.effectsdatabase.com/model/shinsmusic
Shin's Music	UltraBox-DX HeavyDrive	DISTORTION	ENUMERATED	High-gain HeavyDrive variant.	https://www.effectsdatabase.com/model/shinsmusic
