canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Sobbat	DB-1 Drive Breaker	DISTORTION	ENUMERATED	Core Drive Breaker distortion family; indexed by Effects Database and 2015 Sobbat catalog.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	DB-1S Drive Breaker	DISTORTION	ENUMERATED	DB-1 family state.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	DB-2 Drive Breaker II	OVERDRIVE	ENUMERATED	Drive Breaker II generation/family state.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	DB-2S Drive Breaker	OVERDRIVE	ENUMERATED	DB-2 family state.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	DB-3 Drive Breaker	OVERDRIVE	ENUMERATED	Drive Breaker family product; 2015 catalog lists DB-3.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	DB-4 Drive Breaker Four	OVERDRIVE	ENUMERATED	Later Drive Breaker family product.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	DB-4R Drive Breaker Four	OVERDRIVE	ENUMERATED	Retronics-era Drive Breaker Four revision.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	DB-Bass Drive Breaker Bass	OVERDRIVE_OR_BASS	ENUMERATED	Bass-specific Drive Breaker family product.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	FB-1 Fuzz Breaker	FUZZ	ENUMERATED	Fuzz Breaker family product.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	FB-1R Fuzz Breaker	FUZZ	ENUMERATED	Retronics/revision-state Fuzz Breaker.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	FB-2R Fuzz Breaker	FUZZ	ENUMERATED	Retronics/revision-state Fuzz Breaker.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	FB-3 Fuzz Breaker	FUZZ	ENUMERATED	Fuzz Breaker family product.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	FB-4 Octave Fuzz Breaker	FUZZ_HYBRID	ENUMERATED	Octave-fuzz product, explicitly separated from standard fuzz states.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	ODB-1S Over Drive Breaker	OVERDRIVE	ENUMERATED	Over Drive Breaker product.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	BS-1S Boost Drive Breaker	BOOST_SCOPE_BOUNDARY	SCOPE_BOUNDARY	Boost product retained for builder completeness, excluded from central dirt count.	https://www.effectsdatabase.com/model/sobbat ; https://www.sobbat.com/img/Sobbat%202015%20Catalog.pdf
Sobbat	GV-1 Glow-Vibe	SCOPE_BOUNDARY	SCOPE_BOUNDARY	Non-dirt modulation product retained only for indexed builder completeness.	https://www.effectsdatabase.com/model/sobbat
Sobbat	PB-1 Phase Breaker	SCOPE_BOUNDARY	SCOPE_BOUNDARY	Non-dirt modulation product.	https://www.effectsdatabase.com/model/sobbat
Sobbat	PB-2 Phase Breaker II	SCOPE_BOUNDARY	SCOPE_BOUNDARY	Non-dirt modulation product.	https://www.effectsdatabase.com/model/sobbat
Sobbat	SW-1 A/B Breaker	SCOPE_BOUNDARY	SCOPE_BOUNDARY	Switcher product, not central dirt.	https://www.effectsdatabase.com/model/sobbat
