canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Tym Guitars	Bass Face	DIRT_OR_BASS	ENUMERATED	Bass fuzz/gain entry in Effects Database. Preserve in dirt catalog; exact historical generation remains for later archaeology.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Beauty & Ruin - Bob Mould Signature Distortion	DISTORTION	ENUMERATED	Signature distortion state; individual chronology deferred.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Bottom - Magic Dirt	DIRT_OR_HYBRID	ENUMERATED	Signature pedal associated with Magic Dirt; deeper production research deferred.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Mud Sustainar	FUZZ	ENUMERATED	Big Mud family member with sustain-oriented identity.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Mud Triangle Modern	FUZZ	ENUMERATED	Modern Triangle-style Big Mud family state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Mud Triangle Vintage	FUZZ	ENUMERATED	Vintage Triangle-style Big Mud family state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Mud Version 3	FUZZ	ENUMERATED	Explicit Big Mud generation label. Variant archaeology deferred.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Mud Violet Rams Head	FUZZ	ENUMERATED	Ram's Head family state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Mudd	FUZZ	ENUMERATED	Core Big Mud/Mudd family entry.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Big Mudd Ram's Head	FUZZ	ENUMERATED	Ram's Head family variant.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Black Mud	FUZZ	ENUMERATED	Big Mud-family dirt product.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Booost	BOOST	SCOPE_BOUNDARY	Boost product retained for builder catalog context but not central dirt count.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Boost!	BOOST	SCOPE_BOUNDARY	Boost product retained for builder chronology/catalog completeness.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Boosterizer	BOOST	SCOPE_BOUNDARY	Boost product retained for builder chronology/catalog completeness.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Cerberus Distortion	DISTORTION	ENUMERATED	Late-1990s Cerberus series entry.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Cerberus Fuzz	FUZZ	ENUMERATED	Late-1990s Cerberus series entry.	https://www.effectsdatabase.com/model/tym
