name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Kelly Amplification	Builder / attribution unresolved	UK	1960s	Kelly Fuzz Box advertised in 1966	DISCOVERED	https://fuzzboxes.org/kellyfuzzbox	Strong historical lead; attribution may involve Kelly and/or Macari/Sola Sound. No confirmed surviving pedal currently documented by source.
TVM Manchester Ltd / TVM Sound	Builder	UK	1960s-1970s	Unique surviving TVM Fuzz Box	DISCOVERED	https://fuzzboxes.org/tvmfuzz	Very obscure regional maker. Complete effects catalog likely difficult but worth census status.
Baldwin-Burns	Builder / brand	UK	1960s	Buzzaround fuzz	DISCOVERED	https://fuzzboxes.org/buzzaround	Important precursor lineage. Preserve Burns/Baldwin attribution carefully; investigate full company/product catalog.
G. P. Electronics	Builder	UK	1960s	Harmonic Generator fuzz	DISCOVERED	https://fuzzboxes.org/harmonicgenerator	Very obscure Devon maker. No known surviving Harmonic Generator cited by source.
Barnes & Mullins	Distributor / private-label	UK	1960s-1970s	Exel Shatterbox and later Fuzz Unit	DISCOVERED	https://fuzzboxes.org/exelshatterbox	Do not equate distributor/brand identity with physical manufacture. Exel Shatterbox appears to use outsourced construction; later B&M Fuzz Unit supplied by Sola Sound.
Exel	Brand / series	UK	1960s-1970s	Exel Shatterbox effects series	DISCOVERED	https://fuzzboxes.org/exelshatterbox	Treat as Barnes & Mullins brand/series unless evidence establishes separate company.
Rangemaster / Dallas Music	Brand / distributor	UK	1960s	Rangemaster Fuzzbug	DISCOVERED	https://fuzzboxes.org/fuzzbug	Fuzzbug built by Sola Sound for Dallas. Keep Dallas/Rangemaster branding distinct from Sola Sound manufacture.
Park	Brand / amplifier company	UK	1960s-1970s	Park Fuzz Sound	DISCOVERED	https://fuzzboxes.org/parkfuzzsound	Marshall-linked brand; Park fuzz products were supplied by Sola Sound.
Carlsbro	Brand / builder + OEM	UK	1960s-1970s	Carlsbro Fuzz-Tone and Sola Sound-built fuzz products	DISCOVERED	https://fuzzboxes.org/carlsbrofuzztone ; https://www.effectsdatabase.com/model/carlsbro/colorsound/fuzzwah	Carlsbro had an earlier wedge fuzz before later Sola Sound-supplied models, so the same brand spans different physical builders.
Sperrin	Builder	UK	1960s	Sperrin Fuzz Box	DISCOVERED	https://fuzzboxes.org/sperrinfuzzbox	Family-built Southport operation; no known surviving fuzz pedal cited by source.
G. P. Electronics	Builder	UK	1960s	Harmonic Generator	DISCOVERED	https://fuzzboxes.org/harmonicgenerator	Duplicate canonical spelling check; preserve exactly as G. P. Electronics in builder entity layer.
Exel / Barnes & Mullins	Brand / distributor	UK	1960s-1970s	Exel Shatterbox and other effects	DISCOVERED	https://fuzzboxes.org/exelshatterbox	Cross-reference to Barnes & Mullins entity; do not create duplicate manufacturer identity.
Rotosound	Brand / manufacturer	UK	1960s-1970s	Rotosound Fuzz Box and Sola Sound OEM fuzz	DISCOVERED	https://fuzzboxes.org/rotosoundfuzzbox	String manufacturer that also sold Sola Sound-built effects; builder/brand distinction required.
Vox	Brand / manufacturer / OEM	UK/Italy	1960s-present	Large historical and modern effects catalog	DISCOVERED	https://fuzzboxes.org/voxdistortionbooster ; https://www.effectsdatabase.com/	Multiple manufacturing branches, including JMI, Sola Sound and JEN. Must not be treated as a single manufacturing lineage.
Dallas-Arbiter	Brand / corporate lineage	UK	1960s-1970s	Fuzz Face and Rangemaster ecosystem	DISCOVERED	https://fuzzboxes.org/fuzzface ; https://fuzzboxes.org/fuzzbug	Corporate/brand relationship with Arbiter and Dallas; individual products require manufacturer attribution.
CBS-Arbiter	Corporate / brand lineage	UK	1970s	Doubler and Fuzz Face-era products	DISCOVERED	https://www.effectsdatabase.com/model/arbiter/cbs/doubler	Track as corporate lineage rather than assuming it is a separate physical builder for every product.
D*A.M.	Builder / revival specialist	UK	2000s-2010s	Modern Sola Sound/Tone Bender reissues	DISCOVERED	https://www.effectsdatabase.com/	Already represented in product depth; retain separate revival builder identity from historical Sola Sound.
