name	entity_type	region	era_bucket	dirt_evidence	research_status	priority	source_refs	notes
Dwarfcraft Devices	Builder	USA	2008-present	Great Destroyer; Eau Claire Thunder; Robot Devil; The Internet; Baby Thundaa; Secret Destroyer	CANONICAL_BASELINE	P0	https://www.effectsdatabase.com/model/dwarfcraft	Effects Database indexes 46 products. Timeline anchors Great Destroyer 2008, HAX/Eau Claire/Robot Devil 2009, The Internet and Ronald Raygun 2010, Baby Thundaa and Secret Destroyer 2011. Preserve later non-dirt products separately.
Smallsound/Bigsound	Builder	USA (Philadelphia)	2008-present	Team Awesome Fuzzmachine; Year 2525; Fuck Overdrive; Poly-Grace; Hawk	CANONICAL_BASELINE	P0	https://www.effectsdatabase.com/model/smallsoundbigsound ; https://www.effectsdatabase.com/interviews/brands/smallsoundbigsound	Brian Hamilton. Effects Database indexes 14 products; contemporaneous records establish core dirt releases from 2008-2012.
Fuzzrocious Pedals	Builder	USA (New Jersey)	2008-present	Grey Stache; Green Stache; Oh See Demon; Terrordactyl; Mail Order Muff; Ram The Manparts; Rat King	CANONICAL_BASELINE	P0	https://www.effectsdatabase.com/model/fuzzrocious ; https://www.effectsdatabase.com/interviews/brands/fuzzrocious	Ryan and Shannon Ratajski. First pedal work began around 2008; early kit/mod work evolved into original products. Effects Database indexes 43 products.
Crazy Tube Circuits	Builder	Greece	2009-present	Black Magic; Pin Up Fuzz; Motherload; Doctor Boogey; Heatseeker	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/crazytube	Athens builder run by Christos Ntaifotis. Black Magic indexed July 2009 and Pin Up Fuzz November 2011 provide early dirt anchors; lifetime catalog requires further pass.
FuzzHugger(fx)	Builder	USA	2009-present	Phantom Octave; Phantom Ring; Phantom Arcade; AB-Synth Dream	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/fuzzhugger	Mansfield, Ohio-area builder; Effects Database indexes 31 products. 2010 press releases provide clean chronological anchors for several fuzz/hybrid products.
Monsterpiece Fuzz	Micro-builder	USA	2008-present	Fuzz MkIII; Puma; Ge Fuzz; Mk1.5	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/monsterpiece	One-person handmade builder with limited production. Product records from 2009-2012 establish multiple distinct fuzz states.
Anarchy Audio	Builder	Australia (Perth)	2011-present	Distortion/fuzz production line	DISCOVERED_BASELINE	P1	https://anarchyaudioaustralia.com/ ; https://australianguitarreview.com/featured-builder-anarchy-audio/	Established in 2011. Current company states pedals are designed, hand wired and assembled in Western Australia. Early individual model chronology remains follow-up work.
Dr. Scientist	Builder	Canada	2006-present	The Elements and early gain catalog	CANONICAL_BASELINE	P0	https://www.effectsdatabase.com/interviews/brands/drscientist ; https://www.drscientist.ca/pedals/the-elements/	Ryan and Tanya Clarke. Officially selling from August 2006 after developing an initial seven-pedal lineup; early production was personally built/tested by Ryan.
Heavy Electronics	Builder	USA (Minneapolis)	2007-present	Red Eyes; Radio Havana; El Oso Bass Distortion	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/heavy ; https://www.effectsdatabase.com/interviews/brands/heavy	Company founded July 2007 after prototype development. Early handmade catalog and 2011 El Oso establish a useful dirt chronology.
Black Arts Toneworks	Builder	USA	2010-present	Pharaoh	CANONICAL_BASELINE	P0	https://blackartstoneworks.blogspot.com/2010_05_16_archive.html ; https://www.blackartstoneworks.com/news/page/35/	Pharaoh is documented in 2010 and active production/dealer expansion is documented January 2011. Broader catalog completion remains pending.
Red Panda	Builder	USA	2009-present	Primarily digital; dirt excluded unless qualifying hybrid appears	CANONICAL_SCOPE_BOUNDARY	P2	https://www.redpandalab.com/company/ ; https://support.redpandalab.com/support/solutions/articles/43000663591-what-is-the-audio-quality-of-your-pedals-	Important modern builder but current documented catalog is primarily digital effects; retain in wider census while keeping central dirt count conservative.
British Pedal Company	Builder / revival lineage	United Kingdom	2014-present	Tone Bender/Power Boost/Compact Series fuzz and overdrive	CANONICAL_LINEAGE	P1	https://www.britishpedalcompany.com/information/Company-History	Builder team states it developed/designed/re-created pedals for JMI in the early 2000s, cut ties in 2011, and launched its own British Pedal Company range in 2014. Keep revival identity separate from historical JMI.
