canonical_builder	identity_status	region	era_bucket	dirt_catalog_signal	catalog_status	priority	relationship_notes	source_refs
Carlsbro	CANONICAL	United Kingdom	1966-1970s	Fuzz-Tone	PARTIAL	P0	The early 1966 Carlsbro Fuzz-Tone appears to have been a Carlsbro-made, three-transistor fuzz; later Carlsbro fuzz boxes were supplied by Sola Sound. Preserve the manufacturing transition rather than treating every Carlsbro fuzz as one factory story.	https://fuzzboxes.org/carlsbrofuzztone; https://fuzzboxes.org/timeline; https://www.effectsdatabase.com/model/carlsbro/fuzztone
Seamoon Inc.	CANONICAL	USA (California)	1973-1970s	Fresh Fuzz	DISCOVERED	P0	Berkeley effects company launched by Craig Anderton and John Lang. The Fresh Fuzz was a documented company release and was hand-built in its earliest production. Keep the Anderton designer identity separate from the Seamoon builder entity.	https://www.effectsdatabase.com/model/seamoon/freshfuzz; https://www.tonemachinesblog.com/2015/06/so-fresh-but-not-so-clean-its-1973-in.html; https://jhspedals.info/products/berkeley
Rosac / Sierra Electronics	CANONICAL_CANDIDATE	USA (California)	Late 1960s-1970s	Nu-Fuzz; Nu-Wa-Fuzz; Nu-Fuzz Distortion Blender	VERIFIED_DIRT_MAKER	P0	Already qualified in the builder audit. Keep Sierra/Rosac naming transition and Ed Sanner designer lineage separate from the basic dirt-maker qualification.	https://www.vintageguitar.com/18381/ed-sanner/; https://hallmarkguitars.com/pedals/nu-fuzz.shtml; https://www.effectsdatabase.com/model/rosac
Aul Instruments	CANONICAL_CANDIDATE	USA	1967-1968	Aul Instruments Fuzz; Guild Foxey Lady production	VERIFIED_DIRT_MAKER	P0	Already qualified in the builder audit as a physical manufacturer. Guild, Mike Matthews and Foxey Lady remain separate marketed/designer/OEM relationship records.	https://www.effectsdatabase.com/model/aul/fuzz; https://kitrae.net/music/History_of_OEM_Big_Muffs.html
Chunk Systems	CANONICAL_CANDIDATE	Australia	1990s-2000s	FZ002 Gated Bass Fuzz; Brown Dog Gated Bass Fuzz	VERIFIED_DIRT_MAKER	P1	Already qualified in the builder audit. Preserve FZ002 to Brown Dog as a later product-succession story rather than a second builder.	https://www.chunk.com.au/fz002.htm; https://www.effectsdatabase.com/interviews/brands/chunk; https://www.chunk.com.au/bd.htm
Montarbo	CANONICAL_CANDIDATE	Italy	1970s-1980s?	Sinfhoton fuzz/distortion	VERIFIED_DIRT_MAKER	P1	Already qualified in the builder audit. Historical production dating remains open, but the existence of a Montarbo dirt product is established.	https://www.effectsdatabase.com/model/montarbo/sinfhoton; https://alfajeba.com/wp-content/uploads/2016/07/CATALOGO-MONTARBO2015.pdf
Jennings Electronic Industries (JEI)	CANONICAL	United Kingdom	1968-early 1970s	FP.1 Fuzz / Pedal Control Fuzz	DISCOVERED	P0	Previously documented in the census. JED and JEI naming should be represented as one corporate lineage with dated name states, not duplicate builders.	https://fuzzboxes.org/jenningsfuzz
Lemon StudioSound	CANONICAL	Germany	1970s-early 1980s	Zuzz Thainer	DISCOVERED	P1	Previously documented in the census. Karlsruhe manufacturer founded by Gerard Daleiden; Zuzz Thainer is strong dirt evidence independent of larger OEM family trees.	https://www.tonehome.de/lemon-studiosound/; https://www.tonehome.de/lemon-studiosound/zuzz-thainer/
Morley / Tel-Ray Electronics	CANONICAL_LINEAGE	USA (California)	Late 1960s-1980s	Power Wah Fuzz PWF	DISCOVERED	P0	Previously documented. Keep Tel-Ray as manufacturer lineage and Morley as the marketed effects identity, with the PWF as the qualification anchor.	https://www.morleyproducts.com/the-morley-history/; https://www.guitarplayer.com/gear/morley-pwf-power-wah-fuzz
fOXX / Ridinger Associates Inc.	CANONICAL_LINEAGE	USA (California)	Early 1970s	Tone Machine; Clean Machine	DISCOVERED	P0	Previously documented. Preserve fOXX as the marketed identity and Ridinger Associates Inc. as the physical manufacturing identity; do not treat the modern Danelectro revival as original production.	https://www.tonehome.de/foxx/; https://www.tonehome.de/foxx/clean-machine/; https://danelectro.com/pedals/3699-fuzz/
Kelly Amplification	PROVISIONAL_DIRT_MAKER	United Kingdom	1966	Kelly Fuzz Box	RESEARCH_ONLY	P2	Period advertising establishes a Kelly fuzz box, but surviving attribution is uncertain: family testimony allows either Kelly manufacture or a Macari/Sola Sound arrangement. Do not promote until physical manufacturing evidence is improved.	https://fuzzboxes.org/kellyfuzzbox; https://fuzzboxes.org/timeline
