canonical_builder	known_names_or_aliases	region	dirt_catalog_scope_estimate	research_status	priority	why_queue_first	source_refs
Tym Guitars	Tym Guitars	Australia	76 indexed total products; extensive dirt catalog	INDEXED_BASELINE_MAPPED	P0	Indexed catalog mapped; individual pedal archaeology remains later work.	https://www.effectsdatabase.com/model/tym
EFX Custom Effects	EFX Custom Effects; Eugenio Gregorio	Brazil	72 indexed total products; substantial fuzz/OD/distortion catalog	INDEXED_BASELINE_MAPPED	P0	Indexed historical catalog plus current dirt categories mapped; individual pedal archaeology remains later work.	https://www.effectsdatabase.com/model/efxcustom
Boot-Leg Hand Made Effects	Boot-Leg Hand Made Effects; Boot-Leg Effectors	Japan	18 indexed total products; multiple OD/distortion/fuzz	INDEXED_BASELINE_MAPPED	P0	18-product indexed catalog mapped with utilities/compressor separated and ambiguous gain roles preserved for review.	https://www.effectsdatabase.com/model/bootleg
Ovaltone	Ovaltone	Japan	22 indexed products; deep dirt catalog	INDEXED_BASELINE_MAPPED	P0	22-product indexed catalog mapped with dirt, boost, buffer, compressor and preamp boundaries separated.	https://www.effectsdatabase.com/model/ovaltone
GoosoniqueWorx	GoosoniqueWorx; Ravi Goose	Singapore	10 indexed products; several fuzz/OD/distortion	INDEXED_BASELINE_MAPPED	P0	10-product indexed catalog mapped, including dated Seventheaven runs and early MangoJuice/Pixie/Fudge 73 lineage.	https://www.effectsdatabase.com/model/goosonique
Shin's Music	Shin's Music; Shin Suzuki	Japan	27 indexed products; multiple OD/fuzz/signature states	INDEXED_BASELINE_MAPPED	P0	27-product indexed catalog mapped; dirt products separated from utilities, modulation, compressors and boosts.	https://www.effectsdatabase.com/model/shinsmusic
JAM Pedals	JAM Pedals	Greece	33 indexed products; substantial OD/fuzz plus modulation catalog	INDEXED_BASELINE_MAPPED	P0	33-product indexed catalog mapped and dirt/modulation boundaries separated; builder chronology begins in 2005 according to Jannis Anastasakis Marinos.	https://www.effectsdatabase.com/model/jampedals
Sobbat	Sobbat	Japan	Multiple Drive Breaker and overdrive generations	DISCOVERED	P0	Long-lived Japanese builder; full indexed catalog still requires a dedicated pass.	https://www.effectsdatabase.com/model/sobbat
Human Gear	Human Gear; Hiroshi Yagi	Japan	Multiple Fine DS/OD products	INDEXED_BASELINE_MAPPED	P0	15-product indexed catalog mapped; Fine DS/OD dirt states separated from utilities and ambiguous entries.	https://www.effectsdatabase.com/model/humangear
Leqtique	Leqtique; Shun Nokina design lineage	Japan	Multiple OD/DS families	INDEXED_BASELINE_MAPPED	P0	Five indexed products mapped while preserving Leqtique versus Shun Nokina Design lineage and boost boundary.	https://www.effectsdatabase.com/model/leqtique
Plan-9	Plan-9	Brazil	19 indexed products; overwhelmingly dirt-focused	INDEXED_BASELINE_MAPPED	P0	19-product indexed catalog mapped; tremolo/vibe products held outside central dirt count.	https://www.effectsdatabase.com/model/plan9
Cluster Effects	Cluster Effects	Argentina	Multiple distortion/OD families	DISCOVERED	P0	Strong Argentine regional builder with several distinct dirt families; full catalog pass still required.	https://www.effectsdatabase.com/model/cluster
Hudson Electronics UK	Hudson Electronics; Michael Hudson	United Kingdom	22 indexed products; extensive fuzz/OD	DISCOVERED	P0	Large UK boutique catalog with model-name continuity and production-era questions.	https://www.effectsdatabase.com/model/hudson
Pigdog	Pigdog; Steve Williams	United Kingdom	14+ indexed dirt/custom models	DISCOVERED	P0	Long-running small UK builder with custom/mod history and many fuzz-family products.	https://www.effectsdatabase.com/model/pigdog
Guyatone	Guyatone	Japan	26 indexed products; broad fuzz/OD/distortion families	INDEXED_BASELINE_MAPPED	P0	Large Japanese historical catalog now mapped at builder level, including FS, PS, Micro Effects and bass dirt boundaries.	https://www.effectsdatabase.com/model/guyatone
Shin-Ei	Shin-Ei; Companion; major Japanese OEM families	Japan	Core FY-2/FY-6/WF-8/WF-24 dirt families plus many rebrands	INDEXED_BASELINE_MAPPED	P0	OEM/rebrand density makes Shin-Ei a critical duplicate-prevention node; marketed names remain relationship records.	https://www.tonehome.de/shin-ei/; https://www.effectsdatabase.com/model/shinei/companion
Univox	Univox; Unicord distribution lineage	USA-marketed / Japan-made relationships	26 indexed products; Super-Fuzz and Uni-Fuzz dirt core	INDEXED_BASELINE_MAPPED	P0	Retail identity is historically important but manufacturing/distribution roles must not be conflated.	https://www.effectsdatabase.com/model/univox
Ace Tone	Ace Tone	Japan	11 indexed products; FM-1/FM-2/FM-3 fuzz family plus boundaries	INDEXED_BASELINE_MAPPED	P0	Early Japanese fuzz lineage; Ace Tone is historically connected to the Roland/BOSS corporate lineage and must remain distinct from later BOSS-branded products.	https://www.effectsdatabase.com/model/acetone
Elk	Elk; ELK Gakki	Japan	11 indexed products; Big Muff Sustainar, Super Fuzz Sustainar and Wau Fuzz family	INDEXED_BASELINE_MAPPED	P0	Important Japanese Big Muff/Super Fuzz interpretation lineage and OEM/branding questions warrant builder-level mapping before specimen archaeology.	https://www.effectsdatabase.com/model/elk
Teisco	Teisco	Japan	Wau Wau Fuzz and related marketed/OEM effects	DISCOVERY	P1	Teisco Wau Wau Fuzz is documented as a Japanese OEM product with a reported Shin-Ei manufacturing relationship; retain attribution as discovery pending deeper reconciliation.	https://www.effectsdatabase.com/model/teisco/wauwaufuzz
Walco	Walco	Japan	Fuzz Tone Generator	INDEXED_BASELINE_MAPPED	P1	Rare Japanese belt-clip fuzz expands the low-cost/portable 1960s-70s stratum; factory attribution remains cautious.	https://www.effectsdatabase.com/model/walco/fuzz
Nisshin Onpa / Maxon	Nisshin Onpa; Maxon; Maxon Effects	Japan	Wedge-fuzz antecedents plus large D&S/OD/SD/9-Series/Fuzz Elements catalog	INDEXED_BASELINE_MAPPED	P0	Critical Japanese manufacturer/OEM node. Early Greco/Sekova wedge-fuzz attribution remains evidence-qualified; later Maxon dirt catalog is extensive and needs full enumeration before pedal-depth work.	https://www.tonemachinesblog.com/2025/06/mystery-of-the-japanese-wedge-fuzz.html; https://www.effectsdatabase.com/model/maxon
Greco	Greco; Kanda Shokai	Japan	No.35 Haztone plus SD-100 and related fuzz identities	DISCOVERY	P1	Greco is a key marketed-brand node in the early Nisshin Onpa story. Keep retail identity distinct while factory/OEM relationships are reconciled.	https://www.effectsdatabase.com/model/greco/fuzzbooster; https://www.effectsdatabase.com/model/greco/sd100
Honey	Honey Co., Ltd.	Japan	Baby Crying; Special Fuzz; FY-6-family antecedents	INDEXED_BASELINE_MAPPED	P0	Important early Japanese fuzz node preceding or overlapping the later Shin-Ei/Companion FY-6 family; generation boundaries require careful reconciliation.	https://www.effectsdatabase.com/model/honey/babycrying; https://www.effectsdatabase.com/model/honey/specialfuzz
Rands	Rands	Japan-marketed/export	FY-6 Fuzz	DISCOVERY	P1	Retail/export identity in the FY-6 family; do not count as a separate factory without evidence.	https://www.effectsdatabase.com/model/rands/fuzz
Shaftesbury	Shaftesbury; Rose-Morris	United Kingdom / Japan-made	Duo Fuzz and related export/OEM products	DISCOVERY	P1	Important importer/marketed identity crossing the Japanese OEM web; historical production must be separated from 2025 revival editions.	https://www.effectsdatabase.com/model/shaftesbury/duofuzz
Zenta	Zenta	Japan/export	FY-6 Fuzz Master and other OEM/export products	DISCOVERY	P1	Useful searchable retail node within the FY-6 web; exact factory attribution remains unresolved.	https://www.effectsdatabase.com/model/honey/specialfuzz
