record_id	builder	country	period	product_or_family	builder_status	confidence	status	evidence_summary	source_1	source_2
BLDR-NEW-001	David Sperrin	UK	1966	Sperrin Fuzz Box	independent builder / manufacturer	HIGH	RESEARCH_VALIDATED	Fuzzboxes identifies the Sperrin Fuzz Box as made by David Sperrin in Southport. His son Simon Sperrin is cited for the production history, including assembly at the family home and fulfillment by David and Beryl Sperrin. The model was advertised repeatedly in the British music press during 1966.	https://fuzzboxes.org/sperrinfuzzbox	https://fuzzboxes.org/timeline
BLDR-NEW-002	Sierra Electronics	USA	1969	Nu-Fuzz	manufacturer	MEDIUM	RESEARCH_ONLY	Specialist Rosac research identifies Sierra Electronics as the pre-Rosac company that released the Nu-Fuzz around 1969. The evidence is strong for a distinct manufacturing company, but the chronology and exact corporate transition remain partly reconstructed rather than fully primary-source anchored.	https://www.tonemachinesblog.com/2025/06/rosac-nu-fuzz-chaos-of-order.html	https://www.effectsdatabase.com/model/sierra/nufuzz
BLDR-NEW-003	Rosac Electronics	USA	1969-1970s	Nu-Fuzz	manufacturer	HIGH	RESEARCH_VALIDATED	Rosac operated its own manufacturing facility and made effects as well as amplifiers and PA equipment. Its dirt products include Nu-Fuzz, Nu-Wa-Fuzz, Distortion Blender and related effects. Fuzzboxes and Effects Database both document Rosac as the physical producer; Tone Machines provides additional production chronology and period advertising.	https://www.effectsdatabase.com/model/rosac	https://www.tonemachinesblog.com/2025/06/rosac-nu-fuzz-chaos-of-order.html
BLDR-NEW-004	Rosac Electronics	USA	late 1960s-1970s	Nu-Wa-Fuzz	manufacturer	HIGH	RESEARCH_VALIDATED	Effects Database catalogs the Rosac Nu-Wa-Fuzz as a Rosac product combining the Nu-Fuzz and wah functions. Tone Machines documents the Nu-Wa Fuzz in the Rosac production line and period advertising by November 1969.	https://www.effectsdatabase.com/model/rosac/nuwafuzz	https://www.tonemachinesblog.com/2025/06/rosac-nu-fuzz-chaos-of-order.html
BLDR-NEW-005	Rosac Electronics	USA	late 1960s-1970s	Distortion Blender	manufacturer	HIGH	RESEARCH_VALIDATED	Effects Database identifies the Rosac Distortion Blender as a Rosac product using a Nu-Fuzz-based design with a blend function. Tone Machines documents the Distortion Blender in the early Rosac product run and period advertising by November 1969.	https://www.effectsdatabase.com/model/rosac/nufuzz/distortionblender	https://www.tonemachinesblog.com/2025/06/rosac-nu-fuzz-chaos-of-order.html
BLDR-NEW-006	Rosac Electronics	USA	late 1960s-1970s	Nu-Wa	manufacturer	HIGH	RESEARCH_VALIDATED	Effects Database catalogs Rosac Nu-Wa as a Rosac effect. Rosac company history states the firm produced effects in its own warehouse/factory, supporting builder-level identification rather than a mere branded relationship.	https://www.effectsdatabase.com/model/rosac/nuwa	https://www.effectsdatabase.com/model/rosac
BLDR-NEW-007	Sierra Electronics / Rosac	USA	1969-1970s	Wehr Fuzz-Tone	OEM candidate / marketed supplier state	LOW	HOLD_FOR_REVIEW	Tone Machines identifies an early 1969 Don Wehr's Music City advertisement and proposes a Sierra/Rosac OEM relationship, but explicitly labels portions of the reconstruction as speculation. Keep as a candidate product/supplier relationship, not a verified builder record.	https://www.tonemachinesblog.com/2025/06/rosac-nu-fuzz-chaos-of-order.html	https://www.effectsdatabase.com/model/wehr/fuzz
BLDR-NEW-008	Fi-Sonic	Australia	1960s	Fuzz-Blender MK IV	manufacturer candidate	MEDIUM	RESEARCH_ONLY	OzValveAmps documents a Fi-Sonic Fuzz-Blender MKIV and reports that company founder/operator Phil Dreoni confirmed the pictured pedal was one of his. Tone Machines identifies Fi-Sonic as an Australian amplifier brand that offered at least two fuzz effects during the 1960s, but notes the surviving evidence is sparse.	https://ozvalveamps.org/fisonic.htm	https://www.tonemachinesblog.com/2024/07/fi-sonic-fuzz-blender-other-australian.html
BLDR-NEW-009	Electro-Harmonix	USA	1968-1970s	LPB-1 / Muff Fuzz / Big Muff Pi / Screaming Bird / Mole	manufacturer	HIGH	RESEARCH_VALIDATED	Electro-Harmonix was founded by Mike Matthews in New York in 1968. The early product run included LPB-1, Muff Fuzz and Big Muff Pi, with Screaming Bird Treble Booster and Mole Bass Booster also documented as early products. EHX and period-history sources provide direct builder-level attribution for the company's own effects.	https://www.ehx.com/topic/big-muff-history-mike-matthews-and-jimi-hendrix/	https://www.reverb.com/news/a-brief-history-of-electro-harmonix
BLDR-NEW-010	Electro-Harmonix	USA	1968-1970s	Axis Fuzz	manufacturer	HIGH	RESEARCH_VALIDATED	Reverb and EHX historical material place the Axis fuzz in the early Electro-Harmonix period. It is a distinct EHX marketed product and should be enumerated under the builder rather than treated only as a Guild OEM relationship.	https://www.reverb.com/news/a-brief-history-of-electro-harmonix	https://www.kitrae.net/music/History_of_OEM_Big_Muffs.html
