builder	status	image_url	source_page	source_type	note
Schaller	FOUND	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Logo_Schaller_%26_Partner_Mannheim_Werbeagentur.svg/960px-Logo_Schaller_%26_Partner_Mannheim_Werbeagentur.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://commons.wikimedia.org/wiki/File:Logo_Schaller_%26_Partner_Mannheim_Werbeagentur.svg	Wikimedia Commons	Candidate passed logo-context, identity, and source scoring; review attribution before treating as definitive brand mark.
Höfner	FOUND	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dc/Hofner_bass_logo.jpg/500px-Hofner_bass_logo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://commons.wikimedia.org/wiki/File:Hofner_bass_logo.jpg	Wikimedia Commons	Candidate passed logo-context, identity, and source scoring; review attribution before treating as definitive brand mark.
Bell Electrolabs	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Firstman / Hillwood	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
JEN Elettronica	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Jennings Electronic Industries (JEI)	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
EKO	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Morley / Tel-Ray Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Blackfield Orchester-Elektronik	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Kay / Uecks	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Top Gear	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Lemon StudioSound	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Gretsch Expandafuzz	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Herald Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Selmer (UK)	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Cav. Giovanni Moreschi / Moreschi	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
fOXX / Ridinger Associates Inc.	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Earth Sound Research	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Chicago Stompworks	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Free The Tone	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Providence	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
SEHAT Effectors	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
EFX Custom Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Plan-9	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
builder-census-23.tsv; builder-catalog-plan-9-01.tsv	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Hudson Electronics UK	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
builder-census-23.tsv; builder-catalog-hudson-electronics-uk-01.tsv	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Pigdog	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
builder-census-22.tsv; builder-catalog-pigdog-01.tsv	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Tym Guitars	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Boot-Leg Hand Made Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Ovaltone	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
GoosoniqueWorx	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Shin's Music	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
JAM Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Human Gear	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Leqtique	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Sobbat	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
DOD	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
BOSS	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Electro-Harmonix	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Ibanez / Maxon	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
MXR	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
ProCo	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Roger Mayer Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Sola Sound / Colorsound	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Mosrite Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Tychobrahe	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Dan Armstrong	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Guild / Foxey Lady	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Jordan Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
DeArmond	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Arion	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Rocktek	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Westbury	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Fulltone	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Wampler	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
ZVEX Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
JHS Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
EarthQuaker Devices	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Walrus Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Catalinbread	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Death By Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Skreddy Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Black Arts Toneworks	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Keeley Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Gamechanger Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
GFI System	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Drunk Beaver Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Ceriatone Amplification	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Fuzzrocious Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Spaceman Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Red Panda	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Caroline Guitar Company	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
KMA Machines	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Albit	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Limetone Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Organic Sounds	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
RoShi Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
