pedal_id	builder	model	photo_count	primary_source	status
PED-0006	Sola Sound	Tone Bender Professional MKII	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0007	Vox	Tone Bender Professional MKII	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0008	Vox	Tone Bender MKIII	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0009	Sola Sound	Tone Bender MKIV	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0010	Rotosound	Rotosound Fuzz Box	10	Fuzzboxes.org	FOUND
PED-0011	Park	Park Fuzz Sound	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0012	Marshall	Marshall SupaFuzz	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0013	Carlsbro	Carlsbro Fuzz-Tone	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0014	Electro-Harmonix	Triangle Big Muff Pi	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0015	Electro-Harmonix	Ram's Head Big Muff Pi	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0016	Electro-Harmonix	Op-Amp Big Muff Pi	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0017	Electro-Harmonix	Sovtek / Russian Big Muff Pi	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0018	Ibanez / Hoshino	TS808 Tube Screamer	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0019	Ibanez / Hoshino	TS9 Tube Screamer	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0020	Ibanez / Hoshino	TS10 Tube Screamer	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0021	Ibanez / Hoshino	TS5 Tube Screamer	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0022	Ibanez / Hoshino	TS7 Tube Screamer	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0023	ProCo	RAT2	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0024	ProCo	Turbo RAT	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0025	ProCo	You Dirty RAT	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0026	ProCo	Vintage RAT	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
PED-0027	ProCo	1985 Whiteface RAT	0	Effects Database	NO_IDENTITY_SAFE_IMAGE_EXTRACTED
