pedal_id	builder	model	photo_count	primary_photo_source
PED-0001	Dallas-Arbiter	Fuzz Face	6	Wikimedia Commons
PED-0002	Sola Sound	Tone Bender	6	Wikimedia Commons
PED-0003	Electro-Harmonix	Big Muff Pi	6	Wikimedia Commons
PED-0004	Ibanez / Hoshino	Tube Screamer	6	Wikimedia Commons
PED-0005	ProCo	RAT	0	
PED-0006	Sola Sound	Tone Bender Professional MKII	0	
PED-0007	Vox	Tone Bender Professional MKII	0	
PED-0008	Vox	Tone Bender MKIII	0	
PED-0009	Sola Sound	Tone Bender MKIV	0	
PED-0010	Rotosound	Rotosound Fuzz Box	0	
PED-0011	Park	Park Fuzz Sound	0	
PED-0012	Marshall	Marshall SupaFuzz	0	
PED-0013	Carlsbro	Carlsbro Fuzz-Tone	0	
PED-0014	Electro-Harmonix	Triangle Big Muff Pi	0	
PED-0015	Electro-Harmonix	Ram's Head Big Muff Pi	0	
PED-0016	Electro-Harmonix	Op-Amp Big Muff Pi	0	
PED-0017	Electro-Harmonix	Sovtek / Russian Big Muff Pi	0	
PED-0018	Ibanez / Hoshino	TS808 Tube Screamer	0	
PED-0019	Ibanez / Hoshino	TS9 Tube Screamer	0	
PED-0020	Ibanez / Hoshino	TS10 Tube Screamer	0	
PED-0021	Ibanez / Hoshino	TS5 Tube Screamer	0	
PED-0022	Ibanez / Hoshino	TS7 Tube Screamer	0	
PED-0023	ProCo	RAT2	0	
PED-0024	ProCo	Turbo RAT	0	
PED-0025	ProCo	You Dirty RAT	0	
PED-0026	ProCo	Vintage RAT	0	
PED-0027	ProCo	1985 Whiteface RAT	0	
DISC-0028	D*A*M	Colorsound Fuzz Box (D*A*M reissue)	0	
DISC-0029	D*A*M	Colorsound Wow Fuzz (D*A*M/Castledine Reissue)	0	
DISC-0030	D*A*M	D*A*M 1965 - Tone Bender MkI Replica	0	
DISC-0031	D*A*M	D*A*M 1966 - Tone Bender Replica	0	
DISC-0032	D*A*M	D*A*M Drag'n'Fly - Hybrid Fuzz Tones	0	
DISC-0033	D*A*M	D*A*M Ezekiel 25:17 - Low Frequency Distortion Generator	0	
DISC-0034	D*A*M	D*A*M Fleshhead	0	
DISC-0035	D*A*M	D*A*M FS-75 Fuzz Sound Jr.	0	
DISC-0036	D*A*M	D*A*M Fuzz Sound MkIII	0	
DISC-0037	D*A*M	D*A*M Fuzz Sound MkIV	0	
DISC-0038	D*A*M	D*A*M Fuzzaround	0	
DISC-0039	D*A*M	D*A*M FUZZrong	0	
DISC-0040	D*A*M	D*A*M FZ-673	0	
DISC-0041	D*A*M	D*A*M Grease Box - Solid State Pre-Amplified Germanium Overdrive	0	
DISC-0042	D*A*M	D*A*M Head Buzz	0	
