variant_id	parent_model	variant_label	photo_count	primary_photo_source	status
VAR-0001	Tone Bender Professional MKII	Sola Sound 1966 short-board / MK1.5 conversion	12	Fuzzboxes.org	FOUND
VAR-0002	Tone Bender Professional MKII	Sola Sound 1966-1968 conventional large-board	12	Fuzzboxes.org	FOUND
VAR-0003	Tone Bender Professional MKII	Vox-branded silver Hammerite period	12	Fuzzboxes.org	FOUND
VAR-0004	Tone Bender Professional MKII	Sola Sound MKII D*A*M/Macari Vintage Series reissue	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0005	Tone Bender MKIII	Vox standard black/orange MKIII	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0006	Tone Bender MKIII	Vox MKIII with Treble 'n' Bass Boost	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0007	Tone Bender MKIII	Vox Hastings MKIII	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0008	Tone Bender MKIV	Sola Sound early white/orange 'bendy' graphic	12	Fuzzboxes.org	FOUND
VAR-0009	Tone Bender MKIV	Sola Sound later 'Batman' graphic	12	Fuzzboxes.org	FOUND
VAR-0010	Rotosound Fuzz Box	RotoSound Fuzz Box MkIII	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0011	Rotosound Fuzz Box	RotoSound Fuzz Box full historical version gallery	12	Fuzzboxes.org	FOUND
VAR-0012	Park Fuzz Sound	Vintage Sola Sound/Colorsound Park Fuzz Sound	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0013	Park Fuzz Sound	Park by Colby Amplification / EarthQuaker Devices reissue	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0014	Park Fuzz Sound	Park Custom Shop Fuzz Sound	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0015	Marshall SupaFuzz	Marshall Supa Fuzz early Sola Sound-supplied period	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0016	Marshall SupaFuzz	Marshall Supa Fuzz later Marshall-produced appearance	12	Collector/dealer archive	FOUND
VAR-0017	Carlsbro Fuzz-Tone	Carlsbro Fuzz-Tone vintage gallery	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0018	Big Muff Pi	Triangle Big Muff V1	0	Reverb	NO_IMAGE_EXTRACTED
VAR-0019	Big Muff Pi	Triangle Big Muff family	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0020	Big Muff Pi	Ram's Head 1970s large enclosure	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0021	Big Muff Pi	Op-Amp 1978 silver/black graphic	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0022	Big Muff Pi	Sovtek/Russian historical family	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0023	Tube Screamer	TS808 narrow-box / Flying Fingers vintage	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0024	Tube Screamer	TS808 wide-box vintage/reissue	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0025	Tube Screamer	TS808 35th Anniversary narrow-box reissue	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0026	Tube Screamer	TS9 original 1980s green enclosure	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0027	RAT	RAT2	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0028	RAT	Turbo RAT	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0029	RAT	You Dirty RAT	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0030	RAT	1985 Whiteface RAT	0	Effects Database	NO_IMAGE_EXTRACTED
VAR-0031	RAT	Vintage Big Box RAT	0	Effects Database	NO_IMAGE_EXTRACTED
