pedal_id	model	builder	photo_count	duplicate_urls	unsafe_urls	weak_identity_urls	source_count	status
PED-0006	Tone Bender Professional MKII	Sola Sound	0	0	0	0	1	NO_PHOTOS
PED-0007	Tone Bender Professional MKII	Vox	0	0	0	0	1	NO_PHOTOS
PED-0008	Tone Bender MKIII	Vox	0	0	0	0	1	NO_PHOTOS
PED-0009	Tone Bender MKIV	Sola Sound	0	0	0	0	1	NO_PHOTOS
PED-0010	Rotosound Fuzz Box	Rotosound	10	0	0	0	1	PASS
PED-0011	Park Fuzz Sound	Park	0	0	0	0	1	NO_PHOTOS
PED-0012	Marshall SupaFuzz	Marshall	0	0	0	0	1	NO_PHOTOS
PED-0013	Carlsbro Fuzz-Tone	Carlsbro	0	0	0	0	1	NO_PHOTOS
PED-0014	Triangle Big Muff Pi	Electro-Harmonix	0	0	0	0	1	NO_PHOTOS
PED-0015	Ram's Head Big Muff Pi	Electro-Harmonix	0	0	0	0	1	NO_PHOTOS
PED-0016	Op-Amp Big Muff Pi	Electro-Harmonix	0	0	0	0	1	NO_PHOTOS
PED-0017	Sovtek / Russian Big Muff Pi	Electro-Harmonix	0	0	0	0	1	NO_PHOTOS
PED-0018	TS808 Tube Screamer	Ibanez / Hoshino	0	0	0	0	1	NO_PHOTOS
PED-0019	TS9 Tube Screamer	Ibanez / Hoshino	0	0	0	0	1	NO_PHOTOS
PED-0020	TS10 Tube Screamer	Ibanez / Hoshino	0	0	0	0	1	NO_PHOTOS
PED-0021	TS5 Tube Screamer	Ibanez / Hoshino	0	0	0	0	1	NO_PHOTOS
PED-0022	TS7 Tube Screamer	Ibanez / Hoshino	0	0	0	0	1	NO_PHOTOS
PED-0023	RAT2	ProCo	0	0	0	0	1	NO_PHOTOS
PED-0024	Turbo RAT	ProCo	0	0	0	0	1	NO_PHOTOS
PED-0025	You Dirty RAT	ProCo	0	0	0	0	1	NO_PHOTOS
PED-0026	Vintage RAT	ProCo	0	0	0	0	1	NO_PHOTOS
PED-0027	1985 Whiteface RAT	ProCo	0	0	0	0	1	NO_PHOTOS
