REC-052	Maestro	Fuzz-Tone FZ-1	Original	1962	Foundational chronology	Gibson's Maestro timeline dates the FZ-1 Fuzz-Tone to 1962, making it one of the foundational commercial solid-state guitar effects.	VERIFIED	https://www.maestroelectronics.com/en-US/Page/maestro-timeline	Treat 1962 as the builder-published introduction year; preserve later FZ-1 variants separately.
REC-053	Sola Sound	Tone Bender MKI	Original	1965	Foundational chronology	Gary Hurst developed the original Tone Bender in 1965 after the commercial appearance of the Maestro Fuzz-Tone, with Macari/Sola Sound bringing the product to market in the UK.	VERIFIED	https://fuzzboxes.org/features/tonebenders	The earliest MKI enclosure was wedge-shaped; avoid over-precise first-batch dates.
REC-054	Sola Sound	Tone Bender MKI	Early enclosure	1965	Specimen state	Early Tone Bender MKI production used a gold-and-black wedge-shaped steel enclosure, providing a strong external identification marker.	VERIFIED	https://fuzzboxes.org/features/tonebenders	Use enclosure shape and finish as specimen clues, not as a sole chronological proof.
REC-055	Sola Sound	Tone Bender MK1.5	Original	1965-1966	Generation / transition	The MK1.5 emerged soon after the original Tone Bender and used a rounded sand-cast enclosure; this state is commonly called MK1.5 even though the case itself did not carry that designation.	VERIFIED	https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender	Preserve the community designation as a useful historical discriminator while noting that the original product labeling differed.
REC-056	Sola Sound	Tone Bender MK1.5	OEM / Rotosound branch	1966	OEM / branding	The MK1.5 design was supplied in different branded forms, including Rotosound, and became the historical basis for later Italian Vox Tone Bender production.	VERIFIED	https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender	Keep OEM branding relational rather than treating every badge as a new family.
REC-057	Dallas-Arbiter	Fuzz Face	Germanium transition lineage	1966-1969	Lineage / transition	The early Fuzz Face belongs to the same two-transistor historical branch as the Sola Sound MK1.5, with germanium production preceding and overlapping the later silicon transition.	VERIFIED	https://fuzzboxes.org/fuzzface	Use overlap windows rather than a fabricated single transition date.
REC-058	Sola Sound	Tone Bender Professional MKII	Original	1966	Generation / chronology	Sola Sound's Professional MKII was introduced in 1966 and became the major three-transistor Tone Bender platform supplied to multiple brands as an OEM product.	VERIFIED	https://fuzzboxes.org/tonebendermkii	Sola Sound itself is the builder/OEM; Vox, Marshall and Rotosound should remain distinct retail objects.
REC-059	Marshall	Supa Fuzz	Sola Sound OEM state	1966-1968	OEM / generation	Early Marshall Supa Fuzz examples were supplied by Sola Sound and belong to the Tone Bender MKII family; Marshall began its own manufacturing around 1968.	VERIFIED	https://fuzzboxes.org/marshallsupafuzz	Enclosure geometry can distinguish Sola Sound-supplied units from later Marshall-built production.
REC-060	Rotosound	Fuzz Box	MKII OEM state	1966-1968	OEM / branding	Rotosound received Sola Sound's MKII-family fuzz design as an OEM-branded Fuzz Box during the 1966-1968 period.	VERIFIED	https://fuzzboxes.org/tonebendermkii	Preserve Rotosound as a retail/OEM object inside the MKII family.
REC-061	Sola Sound	Tone Bender MKIII	Original	1968	Generation / control change	The MKIII introduced a different three-transistor Tone Bender state with a tone-control function and appeared across Sola Sound, Vox, Park and Rotosound branding.	VERIFIED	https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender	The added tone control is a strong external identification clue.
REC-062	Sola Sound	Tone Bender MKIV	Original	1969-1970s	Generation / enclosure	The MKIV retained the MKIII-era product family while moving into a distinct smaller enclosure; MKIII and MKIV forms overlapped during the 1970s.	VERIFIED	https://fuzzboxes.org/timeline	Do not use enclosure change alone to imply a single exact production cutoff.
REC-063	Park	Fuzz Sound	MKIII OEM state	1969	OEM / branding	Park Fuzz Sound examples appear in the 1969-era Sola Sound OEM network and use the Tone Bender MKIII family.	VERIFIED	https://fuzzboxes.org/timeline	Preserve Park as the retail brand and Sola Sound as the OEM lineage.
REC-064	WEM	Project V	1968-1969	Chronology / specimen	Early Project V examples date to 1968, while the model is documented in WEM advertisements and catalog material from 1969; surviving examples provide useful physical dating evidence.	VERIFIED	https://fuzzboxes.org/projectv	Date codes alone are insufficient for an exact launch date; preserve 1968-1969 as the evidence-backed window.
REC-065	Electro-Harmonix	Big Muff Pi	Triangle / first production	1969-1970	Foundational chronology	Mike Matthews and Bob Myer place the Big Muff's release in 1969, with early documentation advertising it in 1970; early examples are associated with the plain-metal Triangle enclosure.	VERIFIED	https://www.ehx.com/topic/big-muff-history-mike-matthews-and-jimi-hendrix/	Preserve 1969 release claim and 1970 advertising evidence rather than forcing a single documentation date.
REC-066	Electro-Harmonix	Muff Fuzz	Original	1969	Chronology / precursor	Electro-Harmonix historical material identifies Muff Fuzz as an earlier dirt product sold in a compact LPB-1-style enclosure before the larger Big Muff Pi.	VERIFIED	https://www.ehx.com/topic/big-muff-history-mike-matthews-and-jimi-hendrix/	Keep Muff Fuzz as a separate product family/precursor rather than treating it as a Big Muff enclosure variant.
REC-067	Electro-Harmonix	Big Muff Pi	Triangle control layout	1969-1973	Specimen / generation	The earliest Big Muff examples are commonly identified by their triangular control layout and plain metallic enclosure before the larger graphic-era cases.	RESEARCH	https://www.ehx.com/topic/big-muff-versions/	Use control layout and enclosure together for specimen identification; exact serial cutoffs remain a separate research task.
